date,title,text,rating,visitor_origin,visit
Date of experience: December 2019,A fantastic football arena,"Allianz arena is an architectural miracle.It is even better at night when it is lightened red.Inside you can find Bayern Munich shop,restaurants,the museum of the team",50,"Athens, Greece",
Date of experience: August 2020,Allianz Arena at night,"In the future we will come back to check out the Allianz Arena inside, now we were just looking at it outside during the night. It really looks impressive!",50,"Berlin, Germany",
Date of experience: February 2020,Munich bayern tour ,I had a nice time on the bayern Munich tour and museum lovely stadium once again lovely walk from trainstation to the stadium lol ,50,"Newcastle upon Tyne, United Kingdom",
Date of experience: November 2019,Beautiful football ground. ,Went to watch a Bayern Munich football match.. Really good atmosphere and an amazing stadium which looks even better when lit up at night. ,50,"Great Barr, United Kingdom",
Date of experience: February 2020,Home of FC Bayern Munchen,"Great place for a football fan to buy official souvenir, you can also join the tour and have a quick bite in the restaurant.",40,"Hong Kong, China",
Date of experience: February 2020,cup game,stunning stadium.good food and drinks and the football was great as well .thoroughly enjoyed our visit,50,"Edinburgh, United Kingdom",
Date of experience: February 2020,An excellent stadium,"Our tour guide was Bernhard who was incredibly informative and helpful on our tour. The Arena is a must visit for the kombiticket which allows visits to the club museum and a guided tour for just 19 euros. The stadium is stunning both inside and out, and the access on the tour",50,"Manchester, United Kingdom",
Date of experience: February 2020,Good,"Being a football fan this is a must, easy to get to on train, tour lasted about an hour, tour guide was good and informative ",50,"Farnham, United Kingdom",
Date of experience: January 2020,Not amazing,"The tour lasts a bit too much and for a cold day it isn't very pleasant. I don't recommend you to take the kids in a cold day. If i knew how it is, i would have taken only the museum entrance for 3 euros. Souvenirs shop too expensive. A restaurant is open if you get hungry",30,"Bucharest, Romania",
Date of experience: November 2019,First Soccer/Futbol Match,"Our family attended a FC Bayern match here and wow, it was just what we expected in terms of hype and noise and excitement!  Although we are Americans, attending a match in another country being surrounding by German speaking (or cheering) fans was an experience we'll never",50,,
Date of experience: January 2020,Münchens wahre Liebe ,"Super Daniel, the Tour Guide. A very majestic arena with a superb Erlebniswelt. Combi Ticket price is normal. Fan shop prices and bistro prices a bit higher than they should. Allaround a 5 star experience.",50,"Veroia, Greece",
Date of experience: January 2020,View from the outside,I have now had the opportunity to admire this beautiful stadium from the outside.  You cannot miss it.,40,"Perth, Australia",
Date of experience: October 2019,gigantic stadium,a beautiful stadium and if you are a FC Bayern fan you will love it more. you can but the clubs souvniers here. ample parking and access to the subway.,40,"Kuala Lumpur, Malaysia",
Date of experience: December 2019,Great Visit to the Arena.  Not positive customer service ,"I visited the Arena and took the stadium tour with my Son as he was a FC Bayern fan.  It was a great tour of the Roman style Gladiator Arena, and were brought to see the locker room, Press Conference Room in addition to the actual stadium itself.  There are restaurants on site,",40,"Singapore, Singapore",
Date of experience: December 2019,Soccer Game,"Wonderful place to view a soccer game.  Facility is very organized and easy to get in and out!  A bit of a walk from the subway, but well worth the walk.",50,"Raleigh, North Carolina",
Date of experience: January 2020,Münchens wahre Liebe ,"Super Daniel, the Tour Guide. A very majestic arena with a superb Erlebniswelt. Combi Ticket price is normal. Fan shop prices and bistro prices a bit higher than they should. Allaround a 5 star experience.",50,"Veroia, Greece",
Date of experience: January 2020,View from the outside,I have now had the opportunity to admire this beautiful stadium from the outside.  You cannot miss it.,40,"Perth, Australia",
Date of experience: October 2019,gigantic stadium,a beautiful stadium and if you are a FC Bayern fan you will love it more. you can but the clubs souvniers here. ample parking and access to the subway.,40,"Kuala Lumpur, Malaysia",
Date of experience: December 2019,Great Visit to the Arena.  Not positive customer service ,"I visited the Arena and took the stadium tour with my Son as he was a FC Bayern fan.  It was a great tour of the Roman style Gladiator Arena, and were brought to see the locker room, Press Conference Room in addition to the actual stadium itself.  There are restaurants on site,",40,"Singapore, Singapore",
Date of experience: December 2019,Soccer Game,"Wonderful place to view a soccer game.  Facility is very organized and easy to get in and out!  A bit of a walk from the subway, but well worth the walk.",50,"Raleigh, North Carolina",
Date of experience: January 2020,Münchens wahre Liebe ,"Super Daniel, the Tour Guide. A very majestic arena with a superb Erlebniswelt. Combi Ticket price is normal. Fan shop prices and bistro prices a bit higher than they should. Allaround a 5 star experience.",50,"Veroia, Greece",Trip type: Traveled as a couple
Date of experience: January 2020,View from the outside,I have now had the opportunity to admire this beautiful stadium from the outside.  You cannot miss it.,40,"Perth, Australia",
Date of experience: October 2019,gigantic stadium,a beautiful stadium and if you are a FC Bayern fan you will love it more. you can but the clubs souvniers here. ample parking and access to the subway.,40,"Kuala Lumpur, Malaysia",
Date of experience: December 2019,Great Visit to the Arena.  Not positive customer service ,"I visited the Arena and took the stadium tour with my Son as he was a FC Bayern fan.It was a great tour of the Roman style Gladiator Arena, and were brought to see the locker room, Press Conference Room in addition to the actual stadium itself.There are restaurants on site, as well as a Museum, and a big shop selling FC Bayern merchandise If you’re planning to do the stadium tour and can plan the time in which you want to do it - consider booking the tickets online as the queue was very long when we were there on a Saturday morning.  But do be careful to book the tour in the right language.  I had incorrectly booked the German tour instead of an English one.  When I tried to change my tour on the day, I was chastised by at least 2 customer service employees!  I just had to apologise.  Do note that the tour does not seem accessible for people with mobility issues as we were climbing up and down stairs, and baby strollers were not allowed Also Budget sufficient time to walk from the metro station to the start point of the tour (we have no mobility issues and took at least 15 min)",40,"Singapore, Singapore",Trip type: Traveled with family
Date of experience: December 2019,Soccer Game,"Wonderful place to view a soccer game.  Facility is very organized and easy to get in and out!  A bit of a walk from the subway, but well worth the walk.",50,"Raleigh, North Carolina",Trip type: Traveled with family
Date of experience: August 2020,Groot!!!,Echt een heel mooi stadion. Parkeren als bezoeker kan gewoon voor de deur. We hadden een stadion tour geboekt en museum tour. Zo’n combi ticket kost €19. Op het eind kom je in de shop. Al met al wel leuk om te doen!,40,"Bergen op Zoom, The Netherlands",
Date of experience: July 2020,Stadion,"Voetbalstadion...😐 van Bayern München... heel groot, maar niet zo groot als dat van BD.   Toegang duurder dan een bioscoopkaartje. ",20,"The Hague, The Netherlands",
Date of experience: July 2020,Toller Einblick in die Geschichte des FCB + der Allianz Arena,"Trotz einiger Coronabedingter Einschränkungen bei der Besichtigung der Allianz Arena, ist es sehr imposant in das Stadion zu blicken, auf der Videoleinwand, auf Infotafeln oder von den Guides die ganzen Informationen zu bekommen. Der nachfolgende Besuch des FCB Museums ist zeigt",50,"Salem, Germany",
Date of experience: July 2020,Arena Tour ohne Arena-Tour,"Eine absolute Frechheit bietet die Allianz-Arena Stadion-Tour. Es ist zwar auf der Seite des FC Bayern beschrieben, dass eine Besichtigung der Zeit nicht möglich ist. Nichts desto trotz wird diese vor Ort für 8 Euro pro Person angeboten. Das einzige was man für dieses Geld",10,"Siegen, Germany",
Date of experience: June 2020,FC Bayern,Schönes 🏟 Stadion Ist wirklich einen Besuch Wert . Werde wieder kommen wenn es wieder spiele mit Zuschauern gibt ,50,,
Date of experience: August 2020,Groot!!!,Echt een heel mooi stadion. Parkeren als bezoeker kan gewoon voor de deur. We hadden een stadion tour geboekt en museum tour. Zo’n combi ticket kost €19. Op het eind kom je in de shop. Al met al wel leuk om te doen!,40,"Bergen op Zoom, The Netherlands",Trip type: Traveled with family
