date,title,text,rating,visitor_origin,visit
Date of experience: August 2020,Fun to watch,Allow time to idle and watch the local young folk try and ride/surf the waves. Quite fun to watch as you pass on your way somewhere.,50,"Maidenhead, United Kingdom",
Date of experience: July 2020,Wow,You just have to visit this wave surfing in a park.  Grab a Wetsuits and a board queue up either side of this FAST flowing river jump in and see how many seconds you can stand before catapulted down the river very entertaining for the onlookers. ,40,"Glasgow, United Kingdom",
Date of experience: August 2020,Surfer’s Den in Munich,"🌊 🏄 𝗦𝘂𝗿𝗳𝗲𝗿’𝘀 𝗗𝗲𝗻 🏄 🌊  𝖮𝗇 𝗌𝗎𝗇𝗇𝗒 𝖽𝖺𝗒𝗌 𝗅𝗂𝗄𝖾 𝗍𝗈𝖽𝖺𝗒, 𝗉𝖾𝗈𝗉𝗅𝖾 𝗂𝗇 𝖬𝗎𝗇𝗂𝖼𝗁 𝗀𝖺𝗍𝗁𝖾𝗋 𝗂𝗇 𝖺𝗇𝖽 𝖺𝗋𝗈𝗎𝗇𝖽 𝖤𝗇𝗀𝗅𝗂𝗌𝖼𝗁𝖾𝗋 𝖦𝖺𝗋𝖽𝖾𝗇 𝖻𝗒 𝗍𝗁𝖾 𝖨𝗌𝖺𝗋 𝖱𝗂𝗏𝖾𝗋, 𝖽𝗂𝗉 𝗍𝗁𝖾𝗂𝗋 𝗍𝗈𝖾𝗌 𝗂𝗇 𝗍𝗁𝖾 𝗐𝖺𝗍𝖾𝗋, 𝗈𝗋",50,"Munich, Germany",
Date of experience: July 2020,Cool,Really cool to watch this . We enjoyed it . If you can surf it would be better ! Friendly family atmosphere ,40,,
Date of experience: October 2019,River Surfing,A very unique sport in a setting! These athletes are super talented and put on a great show for viewers. Also the English garden is stunning. ,40,Canada,
Date of experience: August 2020,Fun to watch,Allow time to idle and watch the local young folk try and ride/surf the waves. Quite fun to watch as you pass on your way somewhere.,50,"Maidenhead, United Kingdom",
Date of experience: July 2020,Wow,You just have to visit this wave surfing in a park.  Grab a Wetsuits and a board queue up either side of this FAST flowing river jump in and see how many seconds you can stand before catapulted down the river very entertaining for the onlookers.,40,"Glasgow, United Kingdom",
Date of experience: August 2020,Surfer’s Den in Munich,"🌊 🏄 𝗦𝘂𝗿𝗳𝗲𝗿’𝘀 𝗗𝗲𝗻 🏄 🌊 𝖮𝗇 𝗌𝗎𝗇𝗇𝗒 𝖽𝖺𝗒𝗌 𝗅𝗂𝗄𝖾 𝗍𝗈𝖽𝖺𝗒, 𝗉𝖾𝗈𝗉𝗅𝖾 𝗂𝗇 𝖬𝗎𝗇𝗂𝖼𝗁 𝗀𝖺𝗍𝗁𝖾𝗋 𝗂𝗇 𝖺𝗇𝖽 𝖺𝗋𝗈𝗎𝗇𝖽 𝖤𝗇𝗀𝗅𝗂𝗌𝖼𝗁𝖾𝗋 𝖦𝖺𝗋𝖽𝖾𝗇 𝖻𝗒 𝗍𝗁𝖾 𝖨𝗌𝖺𝗋 𝖱𝗂𝗏𝖾𝗋, 𝖽𝗂𝗉 𝗍𝗁𝖾𝗂𝗋 𝗍𝗈𝖾𝗌 𝗂𝗇 𝗍𝗁𝖾 𝗐𝖺𝗍𝖾𝗋, 𝗈𝗋 𝗌𝗐𝗂𝗆, 𝗈𝗋 𝖼𝗈𝗆𝖾 𝖿𝗈𝗋 𝗉𝗂𝖼𝗇𝗂𝖼𝗌.. 𝖮𝗇𝖾 𝗈𝖿 𝗍𝗁𝖾 𝗆𝗈𝗌𝗍 𝗂𝗇𝗍𝖾𝗋𝖾𝗌𝗍𝗂𝗇𝗀 𝖾𝗑𝗉𝖾𝗋𝗂𝖾𝗇𝖼𝖾𝗌 𝗈𝖿 𝖺𝗅𝗅 𝗂𝗌 𝗍𝗁𝗂𝗌 𝖲𝗎𝗋𝖿𝖾𝗋’𝗌 𝖣𝖾𝗇, 𝗐𝗁𝖾𝗋𝖾 𝗉𝖾𝗈𝗉𝗅𝖾 𝖼𝗈𝗆𝖾 𝗍𝗈 𝗉𝗋𝖺𝖼𝗍𝗂𝖼𝖾 𝗌𝗎𝗋𝖿𝗂𝗇𝗀. 𝖨 𝖺𝗆 𝗌𝗎𝗋𝖾 𝗍𝗁𝗂𝗌 𝗂𝗌 𝖽𝖾𝖿𝗂𝗇𝗂𝗍𝖾𝗅𝗒 𝗍𝗈𝗎𝗀𝗁𝖾𝗋 𝗍𝗁𝖺𝗇 𝗂𝗍 𝗅𝗈𝗈𝗄𝗌...For more such photos, follow me on Instagram here:Instagram.com/sucheta.s5 #munichblogger #Munich#TravelAddiction#TravelCaptures#TravelForever#TravelPhotoOfTheDay#GlobeTravelgram#TravelTheWorldWithMe#travelobsessed#passportlife#traveleverywhere#travelpost#traveltoExplore#traveltherenext#traveldames#dametravel#thewanderingtourist#travelgirlsgo#wanderlustlife#travelgirlshub#dametraveller#womentravel#girlsabroad#shewhowanders#traveltagged#travelgrammer#traveltheglobe#travelette#igpassport#travelfever",50,"Munich, Germany",Trip type: Traveled solo
Date of experience: July 2020,Cool,Really cool to watch this . We enjoyed it . If you can surf it would be better ! Friendly family atmosphere,40,,Trip type: Traveled with family
Date of experience: October 2019,River Surfing,A very unique sport in a setting! These athletes are super talented and put on a great show for viewers. Also the English garden is stunning.,40,Canada,
