date,title,text,rating,visitor_origin,visit
Date of experience: August 2020,Beautiful place,Such a huge place to wander about with plenty of seating here and there. A popular place to picnic or watch people play Boules!,50,Notts,
Date of experience: June 2020,Little oasis in the heart of the city,"Lovely park, full of families and locals enjoying the nature. Was a great break from the heat and bustle of the city",50,,
Date of experience: August 2020,Really Big!,"Surprised at just how big this urban park is. Very leafy and cool in the hot summer weather, and also safe and clean and well maintained.",50,"Maidenhead, United Kingdom",
Date of experience: August 2020,Great open space,"Fantastic huge park in the city we had a great time lounge, splashing in the river and people watching (not too closely as there are people sunbathing naked - you have been warned). We also hired some Lime electric scootres and had a great time whizzing about - responsibly. Then",50,"Kinross, United Kingdom",
Date of experience: August 2020,Magical Park that Stretches Back in Time for Miles and Miles,This is a fantastic park with a tangle of walking paths and bike trails that stretch for miles along streams and meadows where the locals surf and sunbathe respectively. It's as if someone took the best of 1969's Woodstock and coastal California and then combined the two with,50,"Stuttgart, Germany",
Date of experience: July 2020,Must see in summer,On a warm summer day bring your swimmers. Great rivers flowing through the park and everyone is in the fresh water swimming... little waterfalls and the like... it is a must see!!,50,"Antwerp, Belgium",
Date of experience: May 2020,Impossible not to like it,"Just a massive garden all for you!  You can chill, play volleyball or any other sport with your friends. Even take a bath or try surfing",50,milano,
Date of experience: July 2020,Large park plenty to do,"If the weather is good bring a picnic and your swim wear.  Great park,  plenty for young children and adults alike.  Food, drinks ice cream what more could you ask for",50,"Glasgow, United Kingdom",
Date of experience: July 2020,Big and beautiful,Super big park with lots to do. There are many different places to sit and have something to eat and drink. If you're not up to walking all the way there all also bicycle taxis which is really fun. ,50,,
Date of experience: July 2020,Walk in the park,To crowdy during Coroba period. To many people on one spot. Quicly returned home. It was nice to see youngsters have fun on their boards and in te water. ,40,"Oirschot, The Netherlands",
Date of experience: July 2020,Must see in summer,On a warm summer day bring your swimmers. Great rivers flowing through the park and everyone is in the fresh water swimming... little waterfalls and the like... it is a must see!!,50,"Antwerp, Belgium",
Date of experience: May 2020,Impossible not to like it,"Just a massive garden all for you! You can chill, play volleyball or any other sport with your friends. Even take a bath or try surfing",50,milano,
Date of experience: July 2020,Large park plenty to do,"If the weather is good bring a picnic and your swim wear.  Great park,  plenty for young children and adults alike.  Food, drinks ice cream what more could you ask for",50,"Glasgow, United Kingdom",
Date of experience: July 2020,Big and beautiful,Super big park with lots to do. There are many different places to sit and have something to eat and drink. If you're not up to walking all the way there all also bicycle taxis which is really fun.,50,,Trip type: Traveled as a couple
Date of experience: July 2020,Walk in the park,To crowdy during Coroba period. To many people on one spot. Quicly returned home. It was nice to see youngsters have fun on their boards and in te water.,40,"Oirschot, The Netherlands",
Date of experience: January 2020,Great place for a walk,Much better than New Yorks central park. Our hotel was is walking distance and we had some great walks thought this park. Don't forget to make a stop at Eisbachwelle to watch some hot surfer as well the famous beer garden for some beers,50,"Melbourne, Australia",Trip type: Traveled as a couple
Date of experience: September 2019,It's English Garden 🤷,"I mean not alot to say, it's a beautiful garden in the city of Munich, if the sun is shinning then it's great and if it's snowing it's beautiful. I don't recommend it during rain unless that's your thing.You can surf in the man made wave city side or swim in the rivers that run through it and there are multiple food and drink establishments throughout. My favourite being Seehaus.",40,"London, United Kingdom",Trip type: Traveled with family
Date of experience: March 2020,HUGE!,"You can spend the whole day walking around here! There isn’t many places to buy food or drinks, but you can spend hours at playground with kids, picnics, or just relaxing. Definitely a wonderful place in heard of Munich.",50,"Chicago, Illinois",Trip type: Traveled with family
Date of experience: February 2020,Great for a bike ride ,"Rented a bike for a couple of hours and took a ride in this HUGE park. There are a number of things here, for one the American embassy, some historical buildings, which I unfortunately did not have a lot of time to look at closely, a lot of nice little paths full of dogs, joggers and families, a river that had some people surfing and a lot of really interesting duck types. Only thing that could have made it better is warmer weather, but I guess cold weather is to be expected in February...",50,"New York City, New York",Trip type: Traveled with friends
Date of experience: June 2020,Great Place to relax,My wife and I had a wonderful time on vacation. Sadly the corona ruins most travel plans.  Enjoy your visit.,50,"Sicily, Italy",
Date of experience: June 2020,Best place for a sunny day,Plenty of options here. Surf the Eisbach wave. Float in the Eisbach for a while and then walk back or take the subway back. Relax on a blanket next to the river. Nice walk through the park. Some food options as well. Always a guy with a bicycle selling beer out of his trailor.,50,,Trip type: Traveled with family
Date of experience: September 2019,Relaxing place,It is a relaxing place where you can sit on the lawn or drop in a Beergarden for a Bavarian Beer etc. Similar to London's Hyde Park you relax after an exiting town visit.,50,,
Date of experience: June 2019,Beautiful gem in Munich!,This is a great place to visit after you have had your fill of tours. Rent a bike to make the most of all that the park has to offer.  You can find a lake with beautiful outdoor restaurants or quaint little beer gardens within the park.  Look for the mini Hofbrauhaus Beer garden and grab a quick lunch and beer while visiting with the local that like to stop here as well.  This is a great escape for some relaxation.,50,"Crystal Lake, Illinois",
Date of experience: March 2020,Beautiful gardens,"We explored these gardens on our final day visiting Munich. What a beautiful area, it was so lovely to walk around and there was plenty to explore as well.You could easily spent all day there if the weather was good enough.We walked from near the train station and it took about 40 minutesThe beer garden which is in the gardens was also great, a huge space with tables and benches in lovely surroundings where you can have food and drink.Would recommend a visit",50,"Lancashire, United Kingdom",
Date of experience: April 2019,Natural paradise deep in the city,"The English Garden is like an onion with many layers to explore. We started our adventure from the side that meets up with the Hilton Múnich Park hotel and thought it was simply tree lined trails to walk but wow were we wrong! We came across a beer garden that served tasty food cafeteria style. After enjoying dinner and beer we continued our walk and came up on people surfing in the canal that runs through the Gardens. Once we reached the other side (leading into the historic section of the city) we found miles of green spaces and many people walking their dogs. It is definitely worth a visit when in town. We could’ve spent several days in town and still wouldn’t have seen all the water features, trails, restaurants or green spaces to explore.",50,"Yucaipa, California",Trip type: Traveled as a couple
Date of experience: March 2020,Incredible oasis in Munich,"On our last day in Munich we decided to take a stroll to the English Garden, to be truthful at this time of year it wasn’t much to see but the walk through the park to get there was stunning and can imagine it will be even better once spring weather is upon us. There were tons of people out running, walking, playing with their children or pets but you never felt crowded. The chinese pagoda is quite unique nearbyWell worth a wander on a pleasant day",50,"Lund, Sweden",Trip type: Traveled with friends
Date of experience: March 2020,Great open area,Not currently at best due to cleaning g up work going on at 'pond' but should be finished in a few weeks time.Music as usual at beer garden at Chinese Tower weather permitting and surfers about as usual but hardly any geese,40,Edinburgh area,
Date of experience: January 2020,... great to visit all year round!,"Going in winter for a mulled wine at the pagoda, or in summer for a civilized cup of german coffe and cake, its always a treat at the english garden. Personally, i like the proximity of the old vet school and the riding area - and one day I will swim in the 'Eisbach' - but only with at least 3 mm of neoprene and a floating device on me:).",50,"Munich, Germany",
Date of experience: March 2020,Most beautiful inner city park I have ever seen,"There is everything, much green 🌴🌳🌳, water🌊🌊, silence🙏🏼, monuments🏯🏰🗿and the most impressive static surfer’s wave on the planet 💥💥🌊🧜🏼‍♀️🏄🏼‍♀️🏄🏻‍♂️",50,"Munich, Germany",Trip type: Traveled with friends
Date of experience: May 2019,Photo session in English Garden,"Super nice green areas, Family friendly with play yards, beer gardens, creeks and small waterfalls. Possible horse carriage, bike, on foot. Visit the Chinese tower and the surfers at Eisbach!",50,"Munich, Germany",Trip type: Traveled on business
Date of experience: August 2019,The best place to be when the Summer arrives,Every weekend that is sunny in the summer I come here at least once. I recommend to bring some food and beverages and a good book.,50,"Munich, Germany",
Date of experience: November 2019,Great place to walk around and chill out. ,"Beautiful park, great area to unwind and take a stroll.Has a great little lake in the middle of the park.",50,"Great Barr, United Kingdom",Trip type: Traveled solo
Date of experience: September 2019,Perfect way to enjoy at beautiful day!,"My husband and I enjoyed a lovely lunch at the English Garden on a beautiful sunny September afternoon.  The place was busy, but we got our food quickly and it was pretty good.  Prices were OK, too.",40,"Saint Paul, Minnesota",
Date of experience: February 2020,Worth checking out ,We really enjoyed walking through the gardens it was quite beautiful and pleasant to walk through and different beautiful scenery along the way,50,"Northmead, Australia",Trip type: Traveled as a couple
Date of experience: February 2020,Beautiful,"A huge green space in the middle of a crowded city. I wish I had more time to walk all along it and enjoy the open space and the nature. The river surfers are a plus, quite entertaining. Totally worth it.",50,"St. John's, Canada",
Date of experience: August 2019,Green lung in the heart of Munich,"A huge park in the center of Munich, a wonderful place to stroll on clear and not too cold days. On hot days you can sunbathe and even swim in the small lakes in the park.",50,"Tel Aviv District, Israel",
Date of experience: February 2020,I didnt find any lake? It seems empty ? Anyone can confirm,Nice place almost beergarden but the lake was empty or under work ? So i dont know if anyone could confirm,40,,Trip type: Traveled solo
Date of experience: December 2019,English Garden,Lovely open area right by the city. Great walking/running tracks and stream running through. You can even see daredevil surfers at the entrance which is quite entertaining.,40,"Wilton, Australia",
Date of experience: February 2020,Magical Munich ,Munich is a magical place and I would recommend every visitor goes to the English Garden On a sunny winters day it’s magical,50,,Trip type: Traveled as a couple
Date of experience: January 2020,A walk on the cold side.,Generally referred to as Munich’s green lung this is a peaceful place to spend a couple of hours. Most people tend to gravitate to the Chinese Tower and even on the day we visited with the temperature barely above freezing there were plenty of people sat outside enjoying a beer or gluhwein. However if you are entering the park from the corner of Prinzregenten and Lerchenfeld Strasse there is a lovely little cafe which seems to be in a converted public convenience. Don’t be put off it is very popular with local office workers and has a welcoming atmosphere and log fire. Ideal on a cold day. One of the more bizarre sights was a young man surfing downstream of a weir on the Eisbach. Keep a lookout for Red Squirrels.,40,"Warrington, United Kingdom",Trip type: Traveled as a couple
Date of experience: January 2020,Great Park!,Great location in the heart of Munich. Plenty of things to discover like the pagoda and the Biergarten! You might Even find surfers !,50,"Yerevan, Armenia",Trip type: Traveled solo
Date of experience: February 2020,A treasure in the heart of Munich,"Walking through this park is an absolute delight. In nice weather (we had nice weather in February), it's packed full of people running, biking, eating, drinking and just generally lounging. Plus they have surfing in the river. One of the highlights of our time in Munich.",50,Los Angeles,
Date of experience: October 2019,Amazing Park,"Do not miss the English Garden!!!  It is a great place to enjoy a stroll.  We were lucky to have the leaves changing in the fall which only added to the experience - lucky us.Many people come to run, walk, play soccer and just enjoy the area.  There are rentals at the lake for paddle boats.  There are restaurants, restrooms and a bier garden within the park.To give perspective, this park is larger than Central Park in NYC.  So make sure you take the time to experience it all!",50,"Pittsburgh, Pennsylvania",
Date of experience: February 2020,"River surfing, ducks and more",Such a lovely walk on a mild winter afternoon in the green lungs of Munchen! We walked along the river and chanced on the river surfers having a fine time though I’m sure the water was cold!Very relaxing and beautiful walk!,50,"Singapore, Singapore",Trip type: Traveled with friends
Date of experience: February 2020,Beautiful!,We had a leisurely stroll through the garden in the afternoon. We saw the surfers and lots of locals that were exercising and walking dogs. They take their dog training seriously in Europe! Most dogs were off leash and well behaved. The park is a beautiful way to experience local culture and get a breath of fresh air.,50,,Trip type: Traveled as a couple
