date,title,text,rating,visitor_origin,visit
Erlebnisdatum: Juli 2020,Überwältigend,"Einfach nur überwältigend, gerade die Einbindung in eine Häuserreihe macht sie zusätzlich besonders. Hoffentlich vergißt man bei all der Pracht nicht, dass es eine Kirche ist. Und hält mal für einen Moment inne im Dauerknipsen und Herumhuschen fürs beste Motiv",50,"Dresden, Deutschland",
Erlebnisdatum: Mai 2020,Barocke Kirche,Es handelt sich um eine Barocke Kirche direkt in der Einkaufsstraße. In der Häuserzeile eingefasst fällt die Kirche gar nicht so auf. Innen erwartet den Besucher ein barockes Kunstwerk.,40,"Essen, Deutschland",
Erlebnisdatum: Mai 2020,Ein verstecktes Kleinod,"das man zwischen den unmittelbar angebauten Häusern so nicht vermuten würde. Ein Schritt aus der geschäftigen Sendlinger Strasse und man taucht ein in die tief verwurzelte bayrisch-barocke kirchliche Lebens- und Glaubenskultur. Klein, heimelig und etwas mystisch. Kühle, Ruhe und",50,"München, Deutschland",
Erlebnisdatum: März 2020,Hammer,"Ja, da hat eienr mal sehr tief in die Tasche gegriffen. Wahnsinn was da verbaut worden ist. Ansehen und nur staunen.",50,Sta. Maria,
Erlebnisdatum: Februar 2020,Klein und fein!,"Ein absoluter Muss, wenn man München besucht. Barockes Highlight, die Asambrüder bildeten eine erfolgreiches Familienunternehmen und dies Kirche war ihre Visitenkarte.",50,"Weilheim, Deutschland",
Erlebnisdatum: Januar 2020,Ein Kleinod,"Diese Kirche ist für jeden der in der Nähe ist ein absolutes Muss, es gibt immer wieder etwas zu entdecken. ",50,"München, Deutschland",
Erlebnisdatum: Februar 2020,Amazing... so was habe ich noch nie gesehen,"Trotz aller Kunstgeschichte im Unterricht, allen Kirchen die ich besucht und gesehen habe ... solch eine gibt es nicht, nur hier. Auf jeden Fall besuchen.",50,"Rijeka, Kroatien",
Erlebnisdatum: Januar 2020,KIRCHE,Meiner Meinung nach zu viel Kitsch ich bin eher der schlichtere Mensch aber jedem das sein. Sollte man schon gesehen haben ,40,,
Erlebnisdatum: Februar 2020,Herrliche Barockkirche,"Die Asamkirche ist ein MUSS in München. Herrliche Arbeiten können hier besichtigt werden. Allerdings muss man sich zunächst ein bisschen an das Dämmerlicht gewöhnen, bevor sich einem die ganze künstlerische Herrlichkeit offenbart.",50,Nürnberg ,
Erlebnisdatum: Dezember 2019,Eine der schönsten Kirchen Münchens,Die Asamkirche ist ein Kleinod und für mich eine der schönsten Kirchen Münchens. Unbedingt reinschauen oder einen Gottesdienst dort besuchen. Es lohnt sich!,50,"Basel, Schweiz",
Erlebnisdatum: Januar 2020,Ein Kleinod,"Diese Kirche ist für jeden der in der Nähe ist ein absolutes Muss, es gibt immer wieder etwas zu entdecken.",50,"München, Deutschland",
Erlebnisdatum: Februar 2020,Amazing... so was habe ich noch nie gesehen,"Trotz aller Kunstgeschichte im Unterricht, allen Kirchen die ich besucht und gesehen habe ... solch eine gibt es nicht, nur hier.Auf jeden Fall besuchen.",50,"Rijeka, Kroatien",
Erlebnisdatum: Januar 2020,KIRCHE,Meiner Meinung nach zu viel Kitsch ich bin eher der schlichtere Mensch aber jedem das sein. Sollte man schon gesehen haben,40,,
Erlebnisdatum: Februar 2020,Herrliche Barockkirche,"Die Asamkirche ist ein MUSS in München. Herrliche Arbeiten können hier besichtigt werden. Allerdings muss man sich zunächst ein bisschen an das Dämmerlicht gewöhnen, bevor sich einem die ganze künstlerische Herrlichkeit offenbart.",50,Nürnberg ,
Erlebnisdatum: Dezember 2019,Eine der schönsten Kirchen Münchens,Die Asamkirche ist ein Kleinod und für mich eine der schönsten Kirchen Münchens. Unbedingt reinschauen oder einen Gottesdienst dort besuchen. Es lohnt sich!,50,"Basel, Schweiz",
Erlebnisdatum: November 2019,Ein Kleinod erbaut von den Gebrüdern Asam,"Die Gebrüder Asam zählen zu den wichtigsten Künstlern Münchens. Kosmas Damian und Egid Quirin Asam schufen die ursprünglich als private kleine Kirche neben dem Wohnhaus der Brüder in der Sendlinger Straße geplante Kirche in der ersten Hälfte des 18. Jahrhunderts. In der geschäftigen Sendlinger Straße zwischen Läden , Cafes und Lokalen ist die Asamkirche unübersehbar, man sollte es nicht versäumen sich diese Kirche anzusehen.",50,,
Erlebnisdatum: Januar 2020,Aussergewöhnlich schöne Kirche,"Die Kirche ist von weitem eher unscheinbar ,Doch wenn man näher kommt ist sie von Aussen auch sehr schön.Als wir dann ins Innere kamen waren wir soo überrascht. Ich habe noch nie eine so prunkvolle Kirche gesehen.Ein absolutes Muss",50,"Felben, Schweiz",
Erlebnisdatum: Januar 2020,Sehr schöne Kirche im Zentrum ,"Sehr schöne Kirche im Zentrum und inmitten der Einkaufsstraße. Die Asamkirche besticht durch ihren unglaublich schönen Innenraum und auch durch das barocke Eingangsportal. Es lohnt sich auf jeden Fall, hier hereinzuschauen und die barocken Darstellungen zu betrachten.",50,,Reiseart: als Paar
Erlebnisdatum: Dezember 2019,Etwas voll / überladen aber absolut sehenswert,Ich finde diese kleine Kirche hat etwas Besonderes und ich sehe mir sie bei jedem Besuch in München gerne an. Sie erschlägt das Auge auf den ersten Blick mit ihrer üppigen Pracht.,50,"Prag, Tschechien",
Erlebnisdatum: November 2019,Absolut sehenswert ,Atemberaubende und beeindruckende kleine Kirche in der Sendlinger Straße umgeben von Geschäften. Wir waren total begeistert von der schmuck- und prunkvollen Gestaltung des Innenraums. Aus unserer Sicht absolut sehenswert.,50,Deutschland,Reiseart: als Paar
Erlebnisdatum: Oktober 2019,Atemberaubend für Rokoko Fans,"Einschlägige Bekannte, in Bayern anzutreffen sind die Gebrüder Asam. Nix wie rein, wenn's interessiert!",50,"Zürich, Schweiz",
Erlebnisdatum: September 2019,Kleine aber schöne Kirche! ,"Die Kirche liegt zwischen Wohnhäusern und ist von außen nicht sehr auffällig. Innen ist nicht sehr viel Platz, jedoch gibt es überall wo man hinschaut etwas zu sehen. Bestimmt ist die Kirche nicht jedermanns Geschmack, trotzdem ist sie sehr beeindruckend!",40,,
Erlebnisdatum: September 2019,Spätbarock,Von den Brüder Asam von 1733-1746 erbaut. Nähe Marienplatz im späten Barock. Ein glänzendes Bauwerk im sünddeutschem Raum dieses Stiel,50,"Frankfurt am Main, Deutschland",
Erlebnisdatum: November 2018,Barock,"Dieses Gotteshaus - zwischen Wohnhäusern gelegen - überwältigt die Besucher durch seine überladene, barocke Ausstattung.",50,"München, Deutschland",
Erlebnisdatum: September 2019,Absolut sehenswerte etwas andere Kirche,"Ein Muss für jeden München-Touristen, lebst wenn man nicht auf das Morbide „steht“, doch sehr beeindruckend",50,,Reiseart: als Paar
Erlebnisdatum: Mai 2019,Hübsche kleine Kirche,Sehr hübsche kleine Kirche die man ohne Eintritt besichtigen kann. Sehr zentral gelegen so dass ein kleiner Abstecher problemlos möglich ist.,40,"Zülpich, Deutschland",Reiseart: allein
Erlebnisdatum: Juli 2019,Baudenkmal,"Von außen fast unscheinbar, innen ein GestaltungswunderGleichzeitig ein Ort der innerlichen Einkehr und Ruhe",50,,
Erlebnisdatum: Juli 2019,Wunderbare kleine Kirche im Herzen von München,"Die Kirche wirkt beim Betreten auf den ersten Blick relativ überladen, dennoch kann ich jedem Besucher einen Besuch dieser schöne Kirche ans Herz legen, um vor Ort dann jedes Kunstwerk auf sich wirken lassen zu können. Die Kirche befindet sich mittig und etwas versteckt zwischen Geschäftshäusern in der Sendlinger Straße.",50,"Hamburg, Deutschland",
Erlebnisdatum: August 2019,Das Highlight in München,"Zu München gehört für mich ein Besuch der Asamkirche, da ich bisher keine schönere Kirche gesehen habe.",50,"Gelsenkirchen, Deutschland",
Erlebnisdatum: August 2019,Jenseits aller Hektik ,"Hier ist es - abgesehen von den vielen Menschen,  die sich das prunkvolle Werk ansehen wollen - relativ ruhig. Man kommt allerdings nicht sitzend zur Ruhe. Ein Gitter trennt die Kirchenbesucher vom Prunk der Kirche. Aber dennoch: In der Einkaufsstraße gibt es keinen derartigen Ruhepol an anderer Stelle.",50,,Reiseart: als Paar
Erlebnisdatum: Juni 2019,Barocker Ort der Ruhe mitten in der geschäftigen Einkaufspassage,"Ein Meisterwerk barocker Baukunst der Gebrüder Asam. Ein ""Muss"" für Münchenbesucher. Ein Einkaufsbummel durch die Sendlinger Strasse mit seinen Kaffees und traditionellen bayerischen Gaststätten und einem Besuch der Asamkirche.",50,"München, Deutschland",
