date,title,text,rating,visitor_origin,visit
Erlebnisdatum: Januar 2020,"Zeit mitbringen, ein Tag wenn es regnet, zu geniesen",Bitte viel Zeit mitbringen. Das Bayr. Nationalmusem birgt viele Schätze. Hier kann man u.a.  bei schlechtem Wetter ohne Reue seine Zeit verbringen. Es sind Lektüren und Bücher vorhanden um mehr Einblick zu erhalten.,40,"München, Deutschland",
Erlebnisdatum: März 2020,"Ausstellung ""Treue Freunde - Hunde und Menschen""","Kunst- und kulturgeschichtlich angelegte Ausstellung mit 220 Exponaten in zwölf Unterabteilungen, sehr gut gemacht und für einen Hundefreund unbedingt sehenswert!",40,,
Erlebnisdatum: Januar 2020,Eines der schönsten Museen Bayerns,"Ein wunderbares Museum um die Geschichte Bayerns nach zu verfolgen. Eine herrliche Ausstellung zum Thema treue Freunde, Hunde zu diversen Gelegenheiten - witzig präsentiert. Nicht unbedingt das, was man in diesem Museum erwarten würde. Aber das ist vielleicht genau der Clou.",50,"Frankfurt am Main, Deutschland",
Erlebnisdatum: September 2019,Interessante Sammlung alterExponate,"Für einen Regentag ist der Besuch im Bayrischen Nationalmuseum zu empfehlen. Im Eintritt von bis zu 7€ ist bereits ein Audioguide enthalten. Leider waren nicht alle Ausstellungen geöffnet, aber ich bekam auch so genug zu sehen. Wenn man sich wirklich alle ansehen und",50,"Hamburg, Deutschland",
Erlebnisdatum: August 2018,Bavorské národné múzeum / Bavarian National Museum / Bayerisches Nationalmuseum / Museo Nacional Bávaro,"Síce to nie je must-see, celkom pekne dokáže vyplniť hodinku-dve. Nachádzajú sa tu prevažne sošky, glóbusy, gobelíny a podobne. Určite odporúčam využiť nedeľný vstup za 1€.  Not a must, but it's a pretty good place to spend an hour or two. The collection contains mainly",30,Slowakei,
Erlebnisdatum: Februar 2019,"Sehr umfangreiches, erstklassiges Museum zur bayerischen Geschichte","Das Bayerische Nationalmuseum ist in einem weitläufigen, klassizistischen Gebäude auf drei Etagen untergebracht und einfach mit öffentlichen Verkehrsmitteln (z.B. Bus 100 ""Museumslinie"" vom Hauptbahnhof Nordseite aus) zu erreichen. Die Themen sind so vielfältig und die Exponate",50,"Germering, Deutschland",
Erlebnisdatum: November 2018,Nicht alles an einem Tag machbar!,"Macht einen alten Eindruck, haben nicht alles gesehen, da dieses Museum sehr sehr viel zu bieten hat! Deshalb ev. an mehreren Tagen kommen! Sehr interessant: die Schiffsausstellung -besonders das U-Boot; die begehbare Zelle und der Z3....wir wollen wieder kommen, um noch mehr zu",30,"London, Vereinigtes Königreich",
Erlebnisdatum: Juli 2018,Bewegte Zeiten,Eine der tollsten Ausstellung  die in München zur Zeit ist. Solche Schnitzereien wie die Figuren von Grasser haben wir noch nie gesehen. Die Maserungen der Ungefassten Chorfiguren- Ich meine Weltweit einzigartig. Ein muss zum hingehen ,50,"München, Deutschland",
Erlebnisdatum: Juli 2018,Riesiges Museum mit großartigen Kunstschätzen,"Das bayrische Nationalmuseum ist ein riesiges großes Museum, das mehrere Besuche erfordert. Es liegt am Englischen Garten und ist mit dem Museumsbus 100 erschlossen. Das Gebäude im historistischen Stil verfügt über eine Vielzahl historisch gestalteter Ausstellungsräume. Zu sehen",50,"Regensburg, Deutschland",
Erlebnisdatum: Juli 2018,Leicht erreichbar ... schwer zu fassen,"100er Bus, Tram, U-Bahn, bloss nicht mit dem Auto hierhin anreisen.  Stolze 8,- € zahlt der Rentner für die Erasmus Grasser Ausstellung .. und darf dann nicht einmal fotografieren. Sehenswerte Exponate, fürwahr, eine kleine und feine Ausstellung.  Uralt Filme in einem Nebenraum",40,"Grafing, Deutschland",
