date,title,text,rating,visitor_origin,visit
Erlebnisdatum: August 2020,Spannendes Abenteuer mitten in München,"Es macht fast schon süchtig, den Surfern zuzuschauen, wie sie die Eisbachwelle meistern. Im Sommer ist es voll, sowohl was die Anzahl der Surfer als auch der Zuschauer betrifft. ",50,,
Erlebnisdatum: Juli 2020,Macht Spaß für Surfer und Beobachter,Die Eisbachwelle findet man an einem der Eingänge des Englischen Gartens. Quer über die Straße befindet sich in etwa 5 Minuten Entfernung auch der Hofgarten. Hier lässt sich München von seiner entspannten Seite erleben. Sich an das Ufer zu setzen oder an die Brücke zu stellen,50,"Kassel, Deutschland",
Erlebnisdatum: August 2020,Einfach mal abschalten,"Die Surfer an der Eisbachwelle sind definitiv ein Must-See in München.  Hier kann man sich einfach mal ans Ufer setzen und dem Treiben für eine gewisse Zeit zuschauen.   Von Alt - Jung Von Anfänger - Profi  Alles ist dabei, ein bunter Haufen und schön zu betraxhteb",50,"Hammersbach, Deutschland",
Erlebnisdatum: August 2020,Must see!,Cooler Platz mit coolen Leuten. Beim nächsten München Besuch unbedingt wieder. Und danach in den Englischen Garten. Perfekt.,50,"Berlin, Deutschland",
Erlebnisdatum: August 2020,Ein Ausflug lohnt sich.,Mein Lebensgefährte und ich sind bei einen Spaziergang durch den Park an der Eisbachwelle vorbeigelaufen.  Es lohnt sich auf jeden Fall dort mal kurz anzuhalten und den Surfern zuzugucken.,50,"Bielefeld, Deutschland",
Erlebnisdatum: März 2020,Surf na Cidade,"Muito interessante assistir esses surfistas no meio da cidade em um onda que vem de uma tubulação. Fui no inverno , dia de semana e tinha surfista lá.   Vale a visita é legal de ver.   Sem contar que ficam no maravilhoso Englischer Garten.",50,"São Paulo, SP",
Erlebnisdatum: August 2020,Spannendes Abenteuer mitten in München,"Es macht fast schon süchtig, den Surfern zuzuschauen, wie sie die Eisbachwelle meistern. Im Sommer ist es voll, sowohl was die Anzahl der Surfer als auch der Zuschauer betrifft.",50,,
Erlebnisdatum: August 2020,Surf en pleine ville!,"Il est étonnant de voir des gens surfer au milieu d'une grande ville mais grâce à un phénomène naturelle, c'est devenu possible! Grâce à certaines émissions et autres vidéos internet, cet endroit est devenu ""THE place to see""! Il y a plus de gens qui regardent que de surfeurs à certains moments! ;-) Mais on doit aller le voir!",40,"Brüssel, Belgien",
Erlebnisdatum: August 2020,Fun to watch,Allow time to idle and watch the local young folk try and ride/surf the waves. Quite fun to watch as you pass on your way somewhere.,50,"Maidenhead, Vereinigtes Königreich",
Erlebnisdatum: Juli 2020,Macht Spaß für Surfer und Beobachter,"Die Eisbachwelle findet man an einem der Eingänge des Englischen Gartens. Quer über die Straße befindet sich in etwa 5 Minuten Entfernung auch der Hofgarten.Hier lässt sich München von seiner entspannten Seite erleben. Sich an das Ufer zu setzen oder an die Brücke zu stellen und den Surfern zuzuschauen, ist entspannend und interessant. Auch den Surfern selbst scheint es Spaß zu machen, die Welle dort so gut es geht zu reiten.Anschließend kann man durch den Englischen Garten spazieren oder in den Hofgarten wechseln. Dort findet man auch die U-Bahn-Anbindung ""Odeonsplatz"".",50,"Kassel, Deutschland",
Erlebnisdatum: August 2020,Einfach mal abschalten,"Die Surfer an der Eisbachwelle sind definitiv ein Must-See in München.Hier kann man sich einfach mal ans Ufer setzen und dem Treiben für eine gewisse Zeit zuschauen. Von Alt - JungVon Anfänger - ProfiAlles ist dabei, ein bunter Haufen und schön zu betraxhteb",50,"Hammersbach, Deutschland",Reiseart: als Paar
