date,title,text,rating,visitor_origin,visit
Erlebnisdatum: Juli 2020,Für uns einer der Top-Zoos Europas,"Der Tierpark Hellabrunn spielt definitiv in den Top Ten europäischer Zoos mit. Wunderschön an der Isar gelegen, von Bachläufen durchzogen und naturnah überzeugt der Zoo vor allem in der Gestaltung der Gehege und der Pflege der Tiere. Sofort beim Betreten fallen die großzügig",50,"Kassel, Deutschland",
Erlebnisdatum: August 2020,"Sehr, sehr schön. Mit Kids und Hund","Es ist ruhig und gut organisiert, es gibt viele Wege, so kann man gut Abstand halten. Die Gehege sind groß und gepflegt. Man darf seinen Hund mitnehmen. Gebucht wird in Covid-19 Zeiten ein Tag zuvor. Ticket gilt nur am gebuchten Tag, ist auch richtig so, der Zoo muss ja die",50,Bad Wildbad,
Erlebnisdatum: August 2020,Immer wieder schön 👍.,"Wenn man in München ist muss man auch mal in den Tierpark Hellabrunn! Dort gibt es verschiedenste Tierarten. Zum Beispiel Tieger, Kronkodile, ...... Für die Kinder gibt es einen Streichelzoo, Spielplätze und ein Kinderland. Wenn man den Rundgang geht kann man kein Tier",50,"Dachau, Deutschland",
Erlebnisdatum: August 2020,Unverschämt!!!,"Unter aller Sau!!! Habe Karten gebucht, leider hat es sehr geregnet, mit einem 4. Monate alten Baby natürlich blöd. Na gut angerufen und gefragt ob man zwei Tage später umbuchen kann. „Funktioniert nicht.“ versteh ich natürlich irgendwo, also habe ich neu gebucht und habe aus",10,,
Erlebnisdatum: Juli 2020,Schöner großer Zoo,"Der Tierpark München ist ein schöner großer Zoo. Wir wussten als wir die Eintrittskarten gekauft haben, dass aufgrund der Coronaregeln aktuell die Tierhäuser gesperrt sind. Aber auch in den Außengehgen sind genug Tiere zu sehen. Also lohnt sich auch zur Zeit ein Besuch!",40,"Essen, Deutschland",
Erlebnisdatum: Juli 2020,Für uns einer der Top-Zoos Europas,"Der Tierpark Hellabrunn spielt definitiv in den Top Ten europäischer Zoos mit. Wunderschön an der Isar gelegen, von Bachläufen durchzogen und naturnah überzeugt der Zoo vor allem in der Gestaltung der Gehege und der Pflege der Tiere. Sofort beim Betreten fallen die großzügig gestalteten Gehege und die Beschäftigungsmöglichkeiten für die Tiere auf (außer bei den Löwen, da ist räumlich noch Luft nach oben). Die Gehege sind oft abtrennbar, sodass mal der eine, mal der andere Bereich für die Tiere zur Verfügung steht und überall ist zu erkennen, dass die Tiere beschäftigt werden. Das reicht von einfach Futtersäcken für die Grasfresser, die sich so das Heu aus den Löchern der baumelnden Säcke erarbeiten müssen, bis hin zu umfangreicheren Spiel- und Denkaufgaben für die Menschenaffen.Der Zoo sowie alle Wege, Gastronomie, Außenbereiche etc. sind ausgesprochen gepflegt und sehr schön angelegt. Den überwiegend freundlichen Tierpflegern darf man auch mal eine Frage stellen, welche kompetent und sehr nett beantwortet wird.Überall finden sich Möglichkeiten zur kurzen oder längeren Einkehr und ansprechende Angebote für die Kinder. Für die Besucher, die sich ihr Brotzeit mitbringen, stehen entsprechende Picknickmöglichkeiten zur Verfügung.  Besonders gut hat uns der Bauernhofbereich gefallen, in dem man auch Bauernhofprodukte wie z. B. Honig kaufen kann.Hunde dürfen mitgeführt werden und über den Zoo verteilen sich strategisch ausreichende ""Hundetankstellen"".Dies ist ein Zoo, den man gerne und mit gutem Gewissen besuchen und in dem man  auch ohne Probleme mehrere Stunden verbringen kann",50,"Kassel, Deutschland",
Erlebnisdatum: August 2020,"Sehr, sehr schön. Mit Kids und Hund","Es ist ruhig und gut organisiert, es gibt viele Wege, so kann man gut Abstand halten. Die Gehege sind groß und gepflegt. Man darf seinen Hund mitnehmen.Gebucht wird in Covid-19 Zeiten ein Tag zuvor. Ticket gilt nur am gebuchten Tag, ist auch richtig so, der Zoo muss ja die Auflagen einhalten. Wir hatten einen schönen Urlaub Tag. Mit Löwen und Wölfen. Immer wieder schön.",50,Bad Wildbad,Reiseart: mit der Familie
Erlebnisdatum: August 2020,Immer wieder schön 👍.,"Wenn man in München ist muss man auch mal in den Tierpark Hellabrunn! Dort gibt es verschiedenste Tierarten. Zum Beispiel Tieger, Kronkodile, ...... Für die Kinder gibt es einen Streichelzoo, Spielplätze und ein Kinderland. Wenn man den Rundgang geht kann man kein Tier verpassen. Möglichkeiten zum Essen gibt es auch. Und am Ende kann man sich ein schönes Souvinier im Shop aussuchen. Immer wieder schön 👍.",50,"Dachau, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: August 2020,Unverschämt!!!,"Unter aller Sau!!! Habe Karten gebucht, leider hat es sehr geregnet, mit einem 4. Monate alten Baby natürlich blöd. Na gut angerufen und gefragt ob man zwei Tage später umbuchen kann. „Funktioniert nicht.“ versteh ich natürlich irgendwo, also habe ich neu gebucht und habe aus Versehen wieder den gleichen Tag gebucht. Dann habe ich nochmal angerufen und trotzdem wurde nicht gemacht, keine Kulanz oder sonstiges!!! Man hätte die Karten nur 2 Tage später eingeben müssen. Nun habe ich 4 Erwachsenen Tickets bezahlt und kann keine davon nutzen! Sehr schwach und meiner Meinung nach unter aller würde!!!!",10,,Reiseart: allein
Erlebnisdatum: Juli 2020,Schöner großer Zoo,"Der Tierpark München ist ein schöner großer Zoo. Wir wussten als wir die Eintrittskarten gekauft haben, dass aufgrund der Coronaregeln aktuell die Tierhäuser gesperrt sind. Aber auch in den Außengehgen sind genug Tiere zu sehen. Also lohnt sich auch zur Zeit ein Besuch! Allerdings machten einige (leere?) Gehge einen relativ ungepflegten Eindruck. Zumal die Schilder noch dran hingen und man veruscht hat das Tier zu finden. Aber vermutlich war es in manchen Gehegen tatsächlich nicht da.",40,"Essen, Deutschland",
