date,title,text,rating,visitor_origin,visit
Erlebnisdatum: August 2020,Super schöner Platz,"Grandioser Platz eingerahmt von Baudenkmälern wie Residenz, Hofgarten, Feldherrnhalle ect.  Liegt am Rande der Fußgängerzone kommt man aber auch gut mit der U-Bahn hin (gleichnamige Haltestelle) und kann gut zum englischen Garten übergehen. Alternativ einfach die Ludwigstr.",50,"Saarbrücken, Deutschland",
Erlebnisdatum: März 2020,Vom Odeonsplatz zum Siegestor,Die 1.300 Meter lange Ludwigstraße beginnt am Odeonsplatz und führt von der Residenz in Richtung Norden bis zum Siegestor. Erste Planungen erstellte Leo von Klenze bereits im Jahr 1816. 1827 übernahm die Aufgabe Friedrich von Gärtner. Die Bauarbeiten begannen zwei Jahre später.,40,"München, Deutschland",
Erlebnisdatum: Juni 2020,Der Platz lebt ,"Zwischen Hofgarten,  Residenz und Feldherrenhalle liegt dieser Platz auf dem immer was los ist, und auf dem immer für oder gegen irgendwelche Sachen mobil gemacht wird. Von den Aussenplätzen der fränkischen Weinstube aus kann man das herrlich beobachten und kommentieren. Auf dem",50,"Andernach, Deutschland",
Erlebnisdatum: Oktober 2019,Relax pur...,"Ein sehr schöner Platz umsäumt von Baudenkmälern wie Residenz, Hofgarten, Feldherrnhalle u.s.w. Am Rande der Münchener Fußgängerzone in Richtung Schwabing gelegen, bietet dieser sehr belebte Platz einen Blick auf das pulsierende Leben der Weltstadt mit Herz. Die",40,"Heidelberg, Deutschland",
Erlebnisdatum: November 2019,"Tolle Ecke, sehr imposant","Sehr imposant mit Feldherrnhalle, Theatinerkirche, der Residenz. Unweit vom Bayrischem Hof und dem Michael Jackson Denkmal. Hat sich gelohnt. ",50,,
Erlebnisdatum: August 2020,Grande piazza,Piazza carina a Nord del centro di Monaco.  Qualche foto vale la pena scattarla. Dietro c’è un bel parco per fare una passeggiata,40,"Cantello, Italien",
Erlebnisdatum: August 2020,Une place sympathique ,"Habitant près de l’Odeon à Paris, l’Odeonsplatz revêt un intérêt fort pour cette place. Entre église, et Feldherrnhalle, la place vaut un petit peu l’attention. Mais sans trop y attarder tant le passage de vélos est agaçant. ",30,,
Erlebnisdatum: August 2020,Super schöner Platz,"Grandioser Platz eingerahmt von Baudenkmälern wie Residenz, Hofgarten, Feldherrnhalle ect.  Liegt am Rande der Fußgängerzone kommt man aber auch gut mit der U-Bahn hin (gleichnamige Haltestelle) und kann gut zum englischen Garten übergehen. Alternativ einfach die Ludwigstr.",50,"Saarbrücken, Deutschland",
Erlebnisdatum: März 2020,Vom Odeonsplatz zum Siegestor,Die 1.300 Meter lange Ludwigstraße beginnt am Odeonsplatz und führt von der Residenz in Richtung Norden bis zum Siegestor. Erste Planungen erstellte Leo von Klenze bereits im Jahr 1816. 1827 übernahm die Aufgabe Friedrich von Gärtner. Die Bauarbeiten begannen zwei Jahre später.,40,"München, Deutschland",
Erlebnisdatum: Juni 2020,Der Platz lebt ,"Zwischen Hofgarten,  Residenz und Feldherrenhalle liegt dieser Platz auf dem immer was los ist, und auf dem immer für oder gegen irgendwelche Sachen mobil gemacht wird. Von den Aussenplätzen der fränkischen Weinstube aus kann man das herrlich beobachten und kommentieren. Auf dem",50,"Andernach, Deutschland",
Erlebnisdatum: August 2020,Grande piazza,Piazza carina a Nord del centro di Monaco. Qualche foto vale la pena scattarla. Dietro c’è un bel parco per fare una passeggiata,40,"Cantello, Italien",Reiseart: mit der Familie
Erlebnisdatum: August 2020,Une place sympathique ,"Habitant près de l’Odeon à Paris, l’Odeonsplatz revêt un intérêt fort pour cette place. Entre église, et Feldherrnhalle, la place vaut un petit peu l’attention. Mais sans trop y attarder tant le passage de vélos est agaçant.",30,,
Erlebnisdatum: August 2020,Super schöner Platz,"Grandioser Platz eingerahmt von Baudenkmälern wie Residenz, Hofgarten, Feldherrnhalle ect. Liegt am Rande der Fußgängerzone kommt man aber auch gut mit der U-Bahn hin (gleichnamige Haltestelle) und kann gut zum englischen Garten übergehen. Alternativ einfach die Ludwigstr. durchschlendern.",50,"Saarbrücken, Deutschland",
Erlebnisdatum: März 2020,Vom Odeonsplatz zum Siegestor,"Die 1.300 Meter lange Ludwigstraße beginnt am Odeonsplatz und führt von der Residenz in Richtung Norden bis zum Siegestor. Erste Planungen erstellte Leo von Klenze bereits im Jahr 1816. 1827 übernahm die Aufgabe Friedrich von Gärtner. Die Bauarbeiten begannen zwei Jahre später. Die Feldherrnhalle bildet die Abgrenzung zur Altstadt.  Sie wurde in den Jahren 1841 bis 1844 durch Friedrich von Gärtner als  klassizistische Loggia aus Kelheimer Kalkstein erbaut. Der Bau sollte in Grundform und Abmessungen der „Loggia dei Lanzi“ in Florenz ähneln. Gärtner erhöhte aber die Freitreppe, so dass die Feldherrnhalle monumentaler wirkt als ihr italienisches Vorbild. In der dem bayerischen Heer gewidmeten Bauwerk befinden sich zwei bronzene Standbilder von Ludwig von Schwanthaler: Die zwei Hauptfiguren der bayerischen Militärgeschichte, Graf Tilly und Fürst Wrede. Auf einem Spaziergang von der Feldherrnhalle zum Siegestor entlang der Prachtstraße kommen wir zunächst an einigen Staatsministerien vorbei, Im Haus Odeonsplatz 3 ist das Innenministerium beheimatet, am Odeonsplatz 4 das Finanzministerium und in der Ludwigstraße 2 das Landwirtschaftsministerium. Auf meiner Reisewebsite toeightycountries.com  finden sie mehr über die klassizistischen Gebäude von Ludwig I. in München.",40,"München, Deutschland",
Erlebnisdatum: Juni 2020,Der Platz lebt ,"Zwischen Hofgarten,  Residenz und Feldherrenhalle liegt dieser Platz auf dem immer was los ist, und auf dem immer für oder gegen irgendwelche Sachen mobil gemacht wird. Von den Aussenplätzen der fränkischen Weinstube aus kann man das herrlich beobachten und kommentieren. Auf dem Weg zur Innenstadt kommt man an den Residenz Löwen vorbei......Schnäuzchen streicheln,  und schon hat man den ganzen Tag Glück.",50,"Andernach, Deutschland",Reiseart: als Paar
Erlebnisdatum: August 2019,One of the most beautiful places in Munich,"Odeonsplatz (with its own underground station) is a square in Munich's old town at the southern end of Ludwigstrasse.The space is limited by the former Odeon, the current seat of the Bavarian Ministry of the Interior and the Leuchtenberg Palace, the current seat of the Bavarian Ministry of Finance, and the bazaar building.The Feldherrnhalle, the Theatinerkirche, the Residenz and the Hofgarten are also on Odeonsplatz.Certainly one of the beautiful and visitable places in Munich, which is also on the way to the Königsplatz.",40,,
Erlebnisdatum: Dezember 2019,Interesting Buildings,"We came to this plaza from Marienplatz passing the Max-Joseph Platz. There are a few really interesting looking buildings around this square, particularly the Feldherrnhalle and Theatinerkirche. An entrance to the Hofgarten is also at the Plaza. There are quite a few cafes and shops in the area too.This is a nice place to go if you like historic buildings.",40,"Auckland, Neuseeland",
Erlebnisdatum: September 2019,Una delle piazze storiche della città,"E' una delle piazze più importanti della città. Dal punto di vista della storia recente molto cara ai raduni nazisti. Dal punto di vista artistico su di essa si prospettano la Feldherrnhalle, un edificio in stile rinascimentale che riproduce la famosa Loggia dei Lanzi di Firenze, un'ala del Residenz e la Theatinerkirche (Chiesa dei Teatini). Per raggiungerla basta farsi un bella passeggiata a piedi se si è nei pressi del Residenz o della Frauenkirche (la cattedrale).",40,,
Erlebnisdatum: Mai 2019,Одеонсплац,"Просторную Одионсплатц окружают монументальные здания в классическом стиле.Площадь получила свое название с 1827 года от концертного зала Одеон, где сегодня  находится Министерство внутренних дел.  Рядом с западной стороны во Дворце Лейхтенберг находится Министерство финансов. Рядом с Театинеркирхе находится Дворец Мой и Фельдхеррнхалле, или Зал баварских полководцев. Напротив – часть ансамбля Резиденции с парком и удлиненное здание Базара. На площади установлена конная статуя короля Людовика I. Одионсплатц - место проведения культурных мероприятий и парадов.",40,"St. Petersburg, Russland",
Erlebnisdatum: Januar 2020,Cena de filme,"Este local parece um set de filmagem. Realmente as construções daquela época eram megalomaníacas, mas de uma perfeição estonteante. Só não dei nota máxima para este local pois está faltando mais cuidado, precisando de limpeza. As esculturas estão se descaracterizando pelas fezes dos pássaros.",40,"Brasilia, DF",
Erlebnisdatum: Januar 2020,ティアテアー教会やフェルトヘルンハレ,広場としては大した広場ではありませんでしたが、ティアテアー教会やフェルトヘルンハレ (将軍堂)が近くにあって、観光するには良い場所です。,40,,
Erlebnisdatum: November 2019,Viagem a Munique,"Foi ótima a viagem. Gostei imensamente da cidade. Fomos passear no parque municipal muito lindo, a vista do alto da prefeitura é espetacular. O sistema metro funciona muito bem.",50,"Conselheiro Lafaiete, MG",Reiseart: mit Freunden
Erlebnisdatum: Dezember 2019,Venda de pinheiros no Natal,"A praça é enorme e tem vários monumentos imponentes. No Natal, um atrativo a mais: ali se vendem pinheiros naturais para fazer sua árvore de Natal!",50,"Belo Horizonte, MG",
Erlebnisdatum: Dezember 2019,Imposing Monument,"We passed through here during a larger walking tour of central Munich. While there is a bit of history surrounding this square, the main activity we observed while we were here (December) was a Christmas tree market. There are some other nice buildings in the square, which can make for some good photos.",30,"Arlington, Virginia",
Erlebnisdatum: Dezember 2019,Поездка в Баварию,"Добраться до Одеонплатц можно пешком  от Марианплатц или от Карлплатц, идти 10-15 минут.  Очень красивое место, где расположены церковь Тецианцев, монумент полководцев. С площади можно пройти в королевский сад, то там можно увидеть конную статую баварскому герцогу Отто фон Виттельбаху, а также рядом с ним монумент павшим в Первую мировую войну. Во время Рождественских ярмарок рядом с Одеонплац находится несколько ярмарок, где можно отведать глювайн и попробовать куртас или жареный миндаль в сахаре и корице.",40,,
Erlebnisdatum: November 2019,Che leoni,Piazza molto grande circondata da palazzi e chiesa storica. Qui si affaccia il palazzo reale mentre alle spalle di trova il teatro con la sua piazza. Il monumento con colonnato presenta due enormi leoni in bronzo.,40,"Trento, Italien",Reiseart: als Paar
Erlebnisdatum: Oktober 2019,Bons locais para visitar no entorno da praça Odeon (Odeonplatz),"No entorno da praça Odeon há muitos locais interessantes para se visitar a pé: Hofgarten, alte Pinakotheke, etc.",40,"Brasilia, DF",
Erlebnisdatum: Dezember 2019,Several interesting buildings and monuments at Odeonsplatz,"Odeonsplatz is a 19th-century square located just west of Residenz and Hofsgarten which has several interesting attractions to see when spending time in this area of Munich. Here you will find an equestrian statue of King Ludwig I, Feldenhalle, a Florence style loggia with other monuments and the attractive Theatinerkirche church. There are other attractive buildings around Odeonsplatz as well as access into Residenz and Hofsgardten mentioned above. During our recent December 2019 visit, there was a small Christmas tree market taking place at Odeonsplatz, a good opportunity for locals to purchase trees to decorate their homes during the holiday season. Of historical note, Odeonsplatz is the location of Hitler's Putsch, a failed coup attempt by Adolf Hitler in 1923.This is worth reading up on prior to visiting if you want to learn more about historical events that happened here in the past.",30,"Hongkong, China",
Erlebnisdatum: Dezember 2019,Praça muito imponente,"Bem no centro de Munique a poucos metros da marionplatz e dos jardins. Cheia de monumentos imponentes, com muita animação, tem nesta altura dois mercados de natal bem perto, um deles medieval.  Não faltam bares e restaurantes, bem como muito comércio.",50,"Coimbra, Portugal",
Erlebnisdatum: November 2019,Step back through history ,"You get a sense of history as you visit this square when you remember what the Munich citizens had to do when going past the monument at the start of the NS era. Traces of where the memorial to NS stood still remain in the forms of shadows on the walls, but the best way to honour the victims is to take a walk down shirkers alley and follow the bronzed trail behind the monument. This is more visible at night when the bronzed cobbles really shine.",40,"Macclesfield, Vereinigtes Königreich",Reiseart: als Paar
Erlebnisdatum: Oktober 2019,Relax pur...,"Ein sehr schöner Platz umsäumt von Baudenkmälern wie Residenz, Hofgarten, Feldherrnhalle u.s.w. Am Rande der Münchener Fußgängerzone in Richtung Schwabing gelegen, bietet dieser sehr belebte Platz einen Blick auf das pulsierende Leben der Weltstadt mit Herz. Die Gastro-Außenbewirtschaftungsbetriebe entsprechen den Anforderungen des  ""sehen und gesehen werden""",40,"Heidelberg, Deutschland",
Erlebnisdatum: November 2019,"Tolle Ecke, sehr imposant","Sehr imposant mit Feldherrnhalle, Theatinerkirche, der Residenz. Unweit vom Bayrischem Hof und dem Michael Jackson Denkmal. Hat sich gelohnt.",50,,Reiseart: geschäftlich
Erlebnisdatum: November 2019,A relaxing wander ,A great place to wander around and or have a cafe and watch the world go by. Buildings and monuments are interesting.,40,"Auckland, Neuseeland",Reiseart: als Paar
Erlebnisdatum: September 2019,A piece of Italy.,"The 'Odeonsplatz' is a large square in the northern part of Munich's town center and is surrounded by some beautiful buildings such as the Feldherrnhalle and the Italian-looking Theatinerkirche. It is also bordered by the Hofgarten, a royal garden. The Ludwigsstrasse is an extension of the square, a monumental street that leads to the Siegestor (Victory Gate).It's only a five minutes walk from the Marienplatz (wit town hall) an definitely worth a visit when you are in central Munich.",40,"Maastricht, Niederlande",
Erlebnisdatum: Mai 2019,Para conocer algo de la historia de Munich.,"Es el centro de interés histórico del sur de Alemania. Se encuentra la Residence, la iglesia barroca de los teatinos con columnas corintias, El Hofgarten o Court Garten.",40,"Buenos Aires, Argentinien",
Erlebnisdatum: September 2019,Muchas cosas de interes,"Es sin duda uno de los puntos neurálgicos de la ciudad, donde casi siempre hay algún tipo de actividad y mucho movimiento de personas.Por un lado tenemos el Feldherrnhalle, monumento en honor del ejército Bávaro. Por otro lado la iglesia barroca Theatinerkirche gestionada por los teatinos.Finalmente la imponente Residencia real que se encuentra al otro lado junto al parque Hofgarten construido entre 1613 y 1617 por Maximiliano I de Baviera imitando el estilo renacentista italiano.Durante el Tercer Reich, este lugar se convirtió en un espacio de homenaje nazi.En el subsuelo hay una importante parada de metro, resulta una buena puerta de acceso y salida del centro histórico.Hay muchas cosas de interés en la plaza y alrededores.",40,ZARAUTZ,Reiseart: mit der Familie
Erlebnisdatum: November 2019,"Des bâtisses énormes, une place de démesure ","L’Odeonsplatz se laisse facilement visiter car directement desservi par les transports publics. Vous pouvez parfaitement combiner la promenade sur cette place avec le Marienplatz un peu plus loin.Personnellement, j’étais impressionnée par la taille des bâtiments se trouvant ici, on a de quoi se sentir plutôt très petit.",40,"Obernai/Oberehnheim, Frankreich",Reiseart: mit der Familie
