date,title,text,rating,visitor_origin,visit
Erlebnisdatum: Juli 2020,Da müsst ihr hoch!,"Eine tolle Aussicht, aus 181 Metern Höhe, durch die Scheiben oder etwas höher unter freiem Himmel. Aber haltet Eure Hüte fest!",50,"Düsseldorf, Deutschland",
Erlebnisdatum: März 2020,tolle Aussicht über München,"grandiose Aussicht über München und bei gutem Wetter bis zur Zugspitze und weiter. Auf jeden Fall auch die offene Aussichtsplattform über der verglasten besuchen, auch wenn's etwas windig ist, top!",50,"München, Deutschland",
Erlebnisdatum: März 2020,Must do,An einem wolkenfreien Tag geht der Blick in die Alpen und die südliche Hallertau (das Bordeaux des Bieres). Auch der Olympiapark kann hier mit seiner ganzen Pracht beobachtet werden.,50,"Freising, Deutschland",
Erlebnisdatum: September 2019,Unglaublicher Ausblick,Wer sich hier die Mühe macht der wird dafür belohnt. Der Ausblick ist überraschend und überwältigend. Bei klarem Wetter kann MSN fast bis in die Berge schauen. ,50,"Gelsenkirchen, Deutschland",
Erlebnisdatum: Oktober 2019,Super Aussicht,In wenigen Sekunden auf der Plattform des Turms hatten wir bei schöner Herbstsonne einen super schönen Ausblickauf die Umgebung. Auch das kleine Rockmuseum im Inneren sowie die Cafebar können wir sehr empfehlen. Wir kommen gerne nochmal wieder.,50,"Hamburg, Deutschland",
Erlebnisdatum: August 2019,Einer der schönsten Ausblicke über München,"Ein Muss für Münchenbesucher. Am besten ist die  Auffahrt bei Schönwetter und bei Fernsicht. Was ist was (Kirchen, Gebäude, Bergspitzen, ..) ist sehr gut und transparent im Panoramabereich beschrieben. Einfach toll.",50,"Linz, Österreich",
Erlebnisdatum: April 2019,Faszinierend,"Wir waren total begeistert von dieser Aussicht! Man sieht so weit und München von oben ist so schön! Außerdem wurden Sticker mit Namen von Großstädten und umliegenden, kleineren Städten sowie Sehenswürdigkeiten von München am Fenster angebracht und so weiß man genau in welcher",50,"Bad Bleiberg, Österreich",
Erlebnisdatum: Januar 2020,Weitblick,"Wenn man in der Gegend ist, lohnt es sich, auf den Turm zu fahren und den Ausblick über München samt Umland bis in die Alpen hinein zu genießen. Sehr interessant, mit Beschriftung auf den Fenstern zur Orientierung.",50,"Salzburg, Österreich",
Erlebnisdatum: Dezember 2019,Toller Aussichtsturm ,Sind schon zeitig früh hinaufgefahren es waren noch wenige Leute oben deshalb hat man mit Ruhe diesen wunderbaren Ausblick genießen gekonnt ,50,"Riscone, Italien",
Erlebnisdatum: Oktober 2019,Schöne Architektur:,"1936 - Berlin; 1972 - München. Zum 2. Mal Olympiade in Deutschland. Und die doppelte Jahreszahl sozusagen. Berühmt sind die Dächer, die man übrigens auch begehen kann! Großartig. ",50,"Berlin, Deutschland",
Erlebnisdatum: Juli 2019,Tolle Aussicht über München und Umgebung,Vom Olympiaturm aus hat man bei gutem Wetter eine Topaussicht über München (Stadt und Kreis). Ein einmaliger Blick.,40,"München, Deutschland",
Erlebnisdatum: September 2019,Sehr schöner Ausblick ,Es ist beeindruckend.  Allerdings ist 9 Euro schon sehr teuer für Aufzugsfahrt. Denoch lohnt es sich. Wurden unten abgeholt und auch wieder runter war ein Wärter dabei .,50,"Ingolstadt, Deutschland",
Erlebnisdatum: September 2019,Hoch hinaus,Natürlich bei schönem Wetter ein Muß auf den Turm. Auf verschiedenen Aussichtsplatformen ein wunderbarer Blick über München bis in die Alpen.,40,"Frankfurt am Main, Deutschland",
Erlebnisdatum: September 2019,Olympiaturm München - ein Muss für jeden München Besucher !,"Olympiaturm München - ein Muss für jeden München Besucher ! Meine Mädels und ich besuchen regelmäßig den Olympiapark und natürlich auch den Olympiaturm in München, ein perfekter Ort zum verweilen und entspannen, aber auch zum Überblick über München und bei guten Wetter bis zu",50,"Landshut, Deutschland",
Erlebnisdatum: April 2019,Weitsicht,"Herrliche Aussicht während dem Essen, 1x rundherum, Top Service! War bereits das 3 Mal oben, sicher nicht das letzte mal.",50,,
