date,title,text,rating,visitor_origin,visit
Erlebnisdatum: Februar 2020,"Musical, Oper, Operette.... ",Ein tolles Haus mit Aufführungen für jeden Geschmack.  Von Musical über Oper und Operette ein voller Genuss ,50,"München, Deutschland",
Erlebnisdatum: Januar 2020,Zum ersten aber bestimmt nicht zum letzten Mal!,"Wir hatten Karten für La Bohème und waren völlig begeistert. Bis jetzt kannten wir nur die üblichen, taditionellen Inszenierungen. Hier war bis auf den Schnee alles anders, . Fantastische Sänger, tolles Bühnenbild und das Theater ist richtig schnuckelig.",50,"Portoferraio, Italien",
Erlebnisdatum: Oktober 2019,"Schönes Theater, tolle Aufführung",Wir waren im Pumuckl Musical und waren begeistert. Tolle Umsetzung. Schönes Ambiente. Sehr freundliche Mitarbeiter. Wir kommen wieder.,50,"München, Deutschland",
Erlebnisdatum: September 2019,Das kleine Staatstheater,"Imposante Rekonstruktion des alten Theaters, eine Besichtigung wert. Aber auch das Programm des Mehrspartenhauses bietet für viele Kulturfreunde ein interessantes Programm, von klassischen Repertoireopern und manchem Werk der Neuen Musik bis hin zu Ballett, Musical und",50,"Dachau, Deutschland",
Erlebnisdatum: Juli 2019,Ein netter Ort in München ,"Der Gärtnerplatz mit seinem Theater ist ein sehr schöner Ort in München. Es gibt hier einige Restaurants und Cafés, wo man gut sitzen kann. Im Sommer echt nett.",40,"München, Deutschland",
Erlebnisdatum: Mai 2019,Tolles Erlebnis,"Wir hatten das Privileg, eine Führung durch das Theater mitzumachen und durften den gesamten Theaterbetrieb besichtigen. Die Dame die diese Führung veranstaltete war sehr freundlich, kompetent und super informiert. Nach der Führung konnten wir das Musical ""On the Town"" genießen. Eine exzellente Aufführung mit sehr guten Künstlern, tollem Bühnenbild, super Choreographie. Es war einfach alles exquisit. Wir kommen gerne wieder und können dieses Etablissement nur wärmstens weiterempfehlen,",50,"Bregenz, Österreich",Reiseart: mit der Familie
Erlebnisdatum: Dezember 2018,Einfach toll,"Super cool, vor allem mit Kids. Sehr gelungen und hat viel Spaß gemacht. Tolle Aufführung und super Ambiente",40,"Dublin, Irland",
Erlebnisdatum: November 2018,Eine breite Palette ,"Seit der Wiedereröffnung bietet dieses Theater eine große Palette an Veranstaltungen...es ist für jeden etwas dabei. Die Persönlichkeit von Josef E. Köpplinger, dem Intendanten mit der Kappe, strahlt auf das ganze Haus aus.",50,"München, Deutschland",Reiseart: mit Freunden
Erlebnisdatum: Mai 2018,Sehr schönes Theater,"Fünf Jahre lang wurde das Theater am Gärtnerplatz renoviert, mittlerweile wird wieder dort gespielt. Wir durften uns die Premiere von Pumuckl - Das Musical ansehen und waren begeistert. Es wurde wirklich sehr schön renoviert. Hut ab!",50,"München, Deutschland",Reiseart: mit Freunden
Erlebnisdatum: Juli 2018,Wundervoll,"Soeben war ich zum ersten Mal seit dem Umbau dort. Es ist wunderbar geworden. Der Orchestergraben ist auf die Bühne in den Hintergrund gewandert, alles ist sehr schön und durchaus klassisch geworden. Das passt zum Haus und ist wirklich gut umgesetzt worden. Grundsätzlich ist alles sehr gepflegt und einladend, das Personal freundlich und hilfsbereit. Die Umsetzung von ""Jesus Christ Superstar"" war musikalisch ganz exzellent. Sehr gute Darsteller (etwa Armin Kahl), vor allem, aber noch nur in den Hauptrollen.",50,"München, Deutschland",Reiseart: allein
Erlebnisdatum: Mai 2018,Schönes Theater....aber,"Wir waren am 10.5. zum ersten Mal im Theater am Gärtnerplatz.Zauberflöte.  Sehr schönes Ambiente ,bequeme Sitze.Leider hatten wir Pech , von unseren Sitzen hatten wir keinen Blick auf die Bühne,leider nur Hörplätze. Es waren viele Kinder im Theater ,alle vorbildlich ruhig. Das junge Mädel neben mir ,die Mutter hatte  nur unten einen Platz bekommen,war super lieb, leise, aufmerksam und absolut konzentriert .Das Paar neben uns und junge Frau mit Kind hinter uns auf Stehplatz leider sehr unruhig und  sie haben dauert geredet . Es war total störend. In der Pause haben wir versucht einen freien Platz unten zu bekommen, es waren einige frei. Leider hat uns das Personal dies untersagt. Die beiden Herren waren sehr unfreundlich und unflexibel.Eine junge Dame ,wohl die Leiterin ,mit Handy ,war total bemüht und hat versucht uns  noch irgendwo zu platzieren. Danke dafür. Leider fing die Vorstellung ohne uns an und wir sind frustriert aus dem Theater. Schade. Für alle die dieses Theater besuchen wollen,....Achtung bei der Platzwahl ! Sonst können es nur Hör/ oder Stehplätze sein. Theater und Musik lohnen sich auf jeden Fall.",40,"Mörfelden-Walldorf, Deutschland",Reiseart: als Paar
Erlebnisdatum: November 2017,"sehr schön renoviert, lohnend","wir waren direkt vor der Schließung vor 5 Jahren da und jetzt wieder. Die Sanierung ist gelungen, das Programm sehr ansprechend, die Sitze sind sehr bequem , die Akustik ist hervorragend. Wir werden wiederkommen.",40,"Dreieich, Deutschland",Reiseart: als Paar
Erlebnisdatum: Dezember 2017,Hänsel und Gretel auf höchstem Niveau ,"Der familiäre Besuch einer Hänsel und Gretel Vorstellung im Staatstheater am Gärtnerplatz gehört für mich und sicher viele andere zu prägenden Opernersterlebnissen.Die Freude und die Erwartungen, den eigenen Kindern dies bieten zu können, waren gross.Im keinem Punkte wurden sie an diesem Abend enttäuscht!!Erwartungsgemäß auf höchstem Standard runderneuert, fallen schon die überaus freundlichen und hilfsbereiten Einlass- und Kassenkräfte auf.Das neue, überwiegend sehr junge Sängerensemble, präsentiert sich auf durchgängig höchsten sängerischem wie darstellerischem Niveau. Die Akustik des neuen Orchestergrabens ist eine massive Verbesserungen zu früher, ebenso wie die neue Sitzordnung des Orchesters, welche vieles deutlich plastischer hören lässt.Das Niveau des Orchesters - über die Jahre stetig gewachsen - ist nicht anders als weit überdurchschnittlich zu bezeichnen.Ein rundum erfreulicher Abend für uns und die Kinder, die schwer beeindruckt  von ihrem ersten ""Theatersingabend"" waren.Einzig in der Pause wäre etwas mehr Platzangebot wünschenswert. Wir empfehlen das Staatstheater am Gärtnerplatz vorbehaltlos weiter!!",50,"München, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: Oktober 2017,Strahlend wieder auferstanden,"Vor 5 Jahren habe ich hier bedauern Abschied genommenund in der zwischenzeit bewundernd gesehen wie  Team das Programm für die vielen Spielstätten hervorragend jonglierte und das hohe Niveau beibehielt.Gestern war unser lang ersehnter erster Besuch im strahlend wieder erstandenen Gärtnertheater. Hervorragend renoviert, viele Verbesserungen z.B. der behindertengerechte  Aufzug. Der tiefe Orchestergraben ist noch etwas ungewohnt, aber die Akustik hat gewonnen.Wir sahen La Cerentola. Eine Wiederaufnahme einer  sehenswerten Inzenierung.  Die Aufführung war ein grosser Spass , die zum Teil erstmals eingesetzten Darsteller wurden bejubelt.Theater wie Aufführung sind einen Besuch wert.",50,"Gräfelfing, Deutschland",Reiseart: als Paar
Erlebnisdatum: Oktober 2017,nach der Renovierung wieder Spielbetrieb,"Mehr als fünf Jahre hat die Renovierung gedauert, aber seit Oktober 2017 kann das traditionelle Haus am Gärtnerplatz wieder bespielt werden. Der Zuschauerraum erstrahlt in neuer alter Pracht, die Bühnentechnik erfüllt die Ansprüche eines mehr oder weniger Repertoiretheaters. Neu sind die großen Proberäume für Chor und Orchester und eine Probebühne mit den exakten Maßen der Spielbühne. Neu auch der Trakt für Werkstätten und Administration.Mit zwei Galakonzerten wurde das Haus am 14. und 15. Oktober eröffnet und am 19. Oktober folgte mit der ""Lustigen Witwe"" die erste Premiere.   Noch nicht ganz glücklich bin ich mit der Akustik des Hauses. Obwohl ich beim Eröffnungskonzert und bei der Premiere auf unterschiedlichen Plätzen gesessen bin, hat mich die Klangbalance zwischen Bühne und Orchester an beiden Abenden nicht überzeugt. Aber da ich noch öfter komme, werde ich schon noch einen passenden Platz finden.",40,"Wien, Österreich",Reiseart: als Paar
Erlebnisdatum: Oktober 2017,"Nach fünf Jahren, ENDLICH wieder offen!","Fünf Jahre dauerte die Renovierung des Gärtnerplatztheaters. Ursprünglich sollte das Haus schon 2016 wieder aufmachen.Jetzt aber ist es vollbracht!!Am 08.Oktober 2017 konnten Fans und Neugierige leider nur das Foyer und den Zuschauerraum besichtigen, bei den Werkstätten und Probebühnen seien die Bauarbeiten noch nicht abgeschlossen. Diese sollen zu einem späteren Zeitpunkt zugänglich sein.Da großes Interesse bestand, mußte man lange Wartezeiten hinnehmen.Es wurde ein Film über den Verlauf der Renovierungsarbeiten gezeigt und Indendant Köpplinger begrüßte und führte die Zuschauer auch auf die Drehbühne.",40,"München, Deutschland",Reiseart: allein
Erlebnisdatum: Juni 2017,Wird das Theater am Gärtnerplatz eine Dauerbaustelle?,"Leider ist die Renovierung des Theaters immer noch nicht abgeschlossen.Die Fertigstellung war für 2016 vorgesehen, nun in 2017, aber so wie die Baustelle heute aussieht, wird es auch dieses Jahr nicht klappen.Ist eben ein Vorhaben einer öffentlichen Einrichtung -und hier wird es immer teurer unddie Bauzeit immer länger- . (siehe Flughafen Berlin!!)",10,"München, Deutschland",Reiseart: allein
