date,title,text,rating,visitor_origin,visit
Erlebnisdatum: Juli 2020,Expressionisten - Blaue Reiter,Umfangreiche Ausstellung der deutschen Expressionisten - Blaue Reiter. Haus und Garten wunderschön. Viel Zeit einplanen !!!,50,,
Erlebnisdatum: Juni 2020,Immer wieder ein Kunst-Genuss!,Durch die durch Corona-Pandemie bisher ausgebliebenen Touristen und auch durch die noch bestehenden Einschränkungen ist es sehr angenehm das Lehnbachhaus zu besuchen. Da ich eine Jahreskarte habe und  wenn ich in der Nähe bin und gehe ich und wenn es nur für eine Stunde ist und,50,"München, Deutschland",
Erlebnisdatum: November 2019,"sehenswerte Dauerausstellung, besonders der Blaue Reiter"," die Dauerausstellung genausoi wie die wechselnden Themen sehr ansprechend präsentiert, da kann ich nur die Jahreskarte empfehlen",50,,
Erlebnisdatum: Juli 2019,Einfach schön,"Eines meiner Lieblingsmuseen in München. Dort war ich schon als Kind und viele der Bilder sind alte Bekannte, man sieht sie immer wieder mit neuen Augen. Interessant - wenn dann die Bilder - wie in der Kandinsky Ausstellung vor ein paar Jahren - im Zusammenhang mit anderen",50,"München, Deutschland",
Erlebnisdatum: Februar 2020,Eine großartige Sammlung ,Eine großartige Sammlung...für jeden  Kunstgeschmack...und immer wieder hervorragende Sonderausstellungen im angegliederten Kunstbau.,50,"München, Deutschland",
Erlebnisdatum: November 2019,Immer einen Besuch wert,"Seit dem Umbau hat das Museum noch deutlich an Attraktivität gewonnen. Die Sammlung kennen wir nun schon, aber die einzelnen Ausstellungen waren bislang immer den Besuch wert. ",50,"Winterthur, Schweiz",
Erlebnisdatum: Oktober 2019,Wunderbares Kunstmuseum sehr zu empfehlen,Die Ausstellung ist sehr gut gestaltet. Die Künstler des Blauen Reiter sind sehr umfassend vertreten.,50,"München, Deutschland",
Erlebnisdatum: September 2019,Blauen Reiter,Blauen Reiter - hier sieht man diesen.  Ein herrliches Kunstmuseum für das sich man etwas Zeit nehmen muß. ,40,"Frankfurt am Main, Deutschland",
Erlebnisdatum: März 2019,Immer wieder schön,"Ein wunderbares Museum, in direkter Nähe zu schönen Bars und Restaurants. Eine bereichernde Sammlung, definitiv einen Besuch wert.",50,"München, Deutschland",
Erlebnisdatum: August 2019,Beeindruckende und liebevoll gestaltete Ausstellung,"Wer die Künstler des ""Bauen Reiter"" mag, muss das gesehen haben. Die Bilder an sich sind zumeist weltberühmt, aber auch deren Zusammenstellung gibt einem eine ausreichende Idee ihrer Entstehung und zu den Zusammenhängen/Beziehungen zwischen den Künstlern.",50,"Laatzen, Deutschland",
Erlebnisdatum: September 2018,Ist sensationell wenn man auf der Suche nach dem Mädel ist,wie die meisten kunstmuseen ist auch dieses Museum bestens dafür geeignet am Wochenende verlassene Mädels auf zu Gabeln sich ins Café zu setzen und danach... Nur zu empfehlen alles prima Kunst verbindet,40,"München, Deutschland",
Erlebnisdatum: Juli 2019,Breit angelegte Sammlung,"Das Lenbachhaus ist immer wieder einen Besuch wert. Neben der permanenten Sammlungen von ""Blauen Reiter"" und   ""Joseph Beuys"" gibt es immer wieder temporäre Ausstellungen. Zum Lenbachhaus gehört auch der in der Nähe liegende ""Kunstbau"". Hier habe ich die interessante Ausstellung",50,"Bayern, Deutschland",
