date,title,text,rating,visitor_origin,visit
Date of experience: August 2020,Amazing space,What a great park  - lots to see and do.  We did spend a fortune at the fair that was there but had a great time all the same.,50,"Kinross, United Kingdom",
Date of experience: August 2020,My favorite Park,"I have been to this park many times and every time is wonderful to spend there. You can walk long distance, go climbing, eat, drink or just sit somewhere on grass and relax. Perfect for families, friends, couples. And going up to the Olympiaturm (tower) is amazing experience.Highly recommend :)",50,"Moosburg, Germany",Trip type: Traveled as a couple
Date of experience: July 2020,Good for walking or cycling,4 adults and a 8 and 12 year old we all enjoyed our visit large park with small funfair.  Pond with boats.  The stadium was closed but the very nice security guard took photos for us.  Watch out for the cyclist.,40,"Glasgow, United Kingdom",
Date of experience: July 2020,Spirit of '72 still alive,"The Olympiapark is a great place to visit. It's got a.o. the olympic stadium, olympic hall and swimming stadium. The stadium is also known for the world cup final from '74 and european championship final 1988. For a Dutch football fan it is a must see place despite the fact that we lost the '74 final.",50,"Voorschoten, The Netherlands",Trip type: Traveled with family
Date of experience: August 2019,almost 50 years old and still impressive and beautiful,"Even without the 1972 Olympic Games, great architecture of the halls, stadiums and buildings and an impressive location / park.When the weather is nice, just go for a walk and admire the facility. A trip to the Olympic Tower is mandatory. It offers a great view of the Olympic Stadium and the BMW buildings. When the weather is nice, you can look over the whole of Munich to the Allianz Arena.Worth a visit at any time, for everyone - young, old, single, couple or family with children. Whether going for a walk or jogging. Even without events, such as sporting events or cultural, social or religious / ideological events - in good weather, a change at any time and architecturally impressive.Worth a visit during the day, like in the evening, or at night.Can be combined excellently with a tour of BMW. The BMW buildings are opposite, on the other side of the street and are easily accessible via a bridge.",50,,
Date of experience: August 2020,Хорошее место в большом городе,"Парк большой и в нем летом есть, чем заняться. Водные развлечения, поездка на паровозике, несколько аттракционов, мини-гольф. Есть что перекусить.Минус: мало скамеек в тени в жару. Почти все стоят на открытом месте и под солнцем сидеть на них невозможно. Народу в парке в хорошую погоду много и место в тени найти непросто.",40,,
Date of experience: July 2020,Echt schön!,"Viel Grün, Sitzbänke, kalte Getränke, der Olypiaturm, auf den Ihr hoch müsst (tolle Aussicht), und und und.",50,"Düsseldorf, Germany",
Date of experience: July 2020,Gerade im Sommer und bei schönem Wetter eine wunderbare Strandbar Atmosphäre,"wir können das nur empfehlen, wenn man mal aus der Hektik von München raus wieder und sich entspannen möchte und sich einfach Zeit lässt so wie es bei einem Urlaub im Süden der Fall sein sollte",50,"Ettlingen, Germany",Trip type: Traveled as a couple
Date of experience: July 2020,Spirit of '72 still alive,"The Olympiapark is a great place to visit. It's got a.o. the olympic stadium, olympic hall and swimming stadium. The stadium is also known for the world cup final from '74 and european championship final 1988. For a Dutch football fan it is a must see place despite the fact that we lost the '74 final.",50,"Voorschoten, The Netherlands",Trip type: Traveled with family
Date of experience: July 2020,"Bien pensé , bien entretenu ","Parc créé de toutes pièces pour les Jo de 1972. Superbement bien entretenu et aménager intelligemment pour durer, il est devenu un endroit où les munichois vont respirer en famille. Facile d’accès grâce au Ubahn  ou pistes cyclables, on peut se promener , faire du pédalo, se restaurer , visiter le stade. Quand nous y étions, il y avait une fête foraine. Le musée BMW et le BMW welt sont aussi juste à côté.",40,"Floreffe, Belgium",Trip type: Traveled as a couple
