date,title,text,rating,visitor_origin,visit
Date of experience: August 2020,Troppa spesa,"Bella residenza, parco grande e ad ingresso gratuito (la gente vi fa jogging tranquillamente). È gran parte esposto al sole quindi adesso è fin troppo caldo, all'interno poi è un forno. Alcune dependance sono sparse nel parco e raggiungibili a piedi dopo una lunga camminata.",30,,
Date of experience: August 2020,Schönes Schloss,"schönes Schloss (von Innen und Außen), auch in Verbindung mit dem Marstall Museum und dem großen Park. Im Moment nicht ganz so viele Besucher, so kann man die Schönheit mehr genießen.",50,"Saarbrücken, Germany",
Date of experience: August 2020,No cojan la audioguia ,"Vamos a ver, es un palacio lujoso y bonito. El problema es que cuando has visto tres o cuatro al final te parecen todos iguales.......La audioguía te da un montón de información irrelevante qué hace que la visita acabe siendo muy pesada. Obviamente, estar todo el rato con la",30,"Alicante, Spain",
Date of experience: August 2020,Mon coup de coeur à Munich,"Ce château est magnifique, surtout par beau temps. Le château lui-même se visite relativement rapidement, toutes les salles n'étant pas accessibles au public. Je recommande 4 à 5 heures pour couvrir le château, le parc et ses pavillons et le musée des carrosses.",50,"Ermenonville, France",
Date of experience: July 2020,Стоит посетить ,"Не скажу, что дворец очень впечатляет. Но, если у вас в Мюнхене достаточно времени, и, вы -любитель дворцов, посетить стоит. Не советую брать аудиогид. Информации в нем слишком много, она перегружает. Чтобы дослушать про каждый зал все до конца, придется в нем провести не менее",40,,
Date of experience: August 2020,Troppa spesa,"Bella residenza, parco grande e ad ingresso gratuito (la gente vi fa jogging tranquillamente). È gran parte esposto al sole quindi adesso è fin troppo caldo, all'interno poi è un forno.Alcune dependance sono sparse nel parco e raggiungibili a piedi dopo una lunga camminata.Sinceramente molto meno suggestivo ( solo poche camere al Nymphenburg) e parecchio più costoso (€13 camere + museo delle carrozze) rispetto alla Residenza (€6 per le 70camere).Il viaggio dal centro città poi è lungo col pullman. NI",30,,Trip type: Traveled as a couple
Date of experience: August 2020,Schönes Schloss,"schönes Schloss (von Innen und Außen), auch in Verbindung mit dem Marstall Museum und dem großen Park.Im Moment nicht ganz so viele Besucher, so kann man die Schönheit mehr genießen.",50,"Saarbrücken, Germany",
Date of experience: August 2020,No cojan la audioguia ,"Vamos a ver, es un palacio lujoso y bonito. El problema es que cuando has visto tres o cuatro al final te parecen todos iguales.......La audioguía te da un montón de información irrelevante qué hace que la visita acabe siendo muy pesada. Obviamente, estar todo el rato con la mascarilla puesta no ayudaba. Muy fácil aparcamiento gratuito por los alrededores. En comparación con el de Schonbrunn de Viena,este  es de de Segunda División, tanto el propio palacio como los jardines. En definitiva, interesante ,pero prescindible",30,"Alicante, Spain",Trip type: Traveled as a couple
Date of experience: August 2020,Mon coup de coeur à Munich,"Ce château est magnifique, surtout par beau temps. Le château lui-même se visite relativement rapidement, toutes les salles n'étant pas accessibles au public. Je recommande 4 à 5 heures pour couvrir le château, le parc et ses pavillons et le musée des carrosses.",50,"Ermenonville, France",Trip type: Traveled solo
Date of experience: July 2020,Стоит посетить ,"Не скажу, что дворец очень впечатляет. Но, если у вас в Мюнхене достаточно времени, и, вы -любитель дворцов, посетить стоит.Не советую брать аудиогид. Информации в нем слишком много, она перегружает. Чтобы дослушать про каждый зал все до конца, придется в нем провести не менее 10-15 минут. В тексте много не нужных подробностей (кто написал картину, в каком году, и так рассказывается почти про каждую картину в каждом зале). Детям все это нагромождение информации совсем сложно. Поэтому лучше не тратьте деньги и просто почитайте информационные стенды в каждом зале (на немецком и английском).Парк красивый, но не везде ухоженный. Особенно красивы клумбы.К просмотру во дворце представлено не так много залов и не везде сохранилась аутентичная обстановка.Даже больше дворца нам понравился музей. Там потрясающие кареты и сани. Музей обязателен к посещению.",40,,
