date,title,text,rating,visitor_origin,visit
Date of experience: July 2019,塔の上が混んでしまう,7月の日曜日に訪問しました。塔に上ったのですが、人が多くて塔の上で渋滞してしまい、お客様はみんないらいらしていました。それほど高くない塔なので、塔の上からマリエン広場周辺の様子がよくわかります。,20,"Kawasaki, Japan",
Date of experience: January 2020,Посетите смотровую площадку ,"Безумно красивая церковь и смотровая площадка. Виды открываются на весь город, особенно красиво на закате дня. Будьте готовы подняться туда в ручную по узкой лестнице. Но это того стоит! ",50,,
Date of experience: June 2019,Must do for the beautiful views at the top!,"This was the second time that we have visited St. Peter's Church.  The views at the top after a climb up the narrow, winding staircase never disappoint!  Definitely a must do for a perfect picture spot!",50,"Crystal Lake, Illinois",
Date of experience: August 2019,Прекрасная церковь и смотровая площадка,"Церковь святого Петра или Петерскирхе - старейшая церковь Мюнхена, первое упоминание о ней датируется 1225 годом. Первоначально церковь была построена в романском стиле, но в 1278 году была перестроена в готическую базилику. Высота колокольни церкви составляет 98 метров, на",40,"Moscow, Russia",
Date of experience: March 2020,We climbed the tower,"Nice easy climb, plenty of rest points! Normally I get vertigo but I was fine climbing the stairs up.Lovely views at the top!",50,"Seaham, United Kingdom",Trip type: Traveled as a couple
Date of experience: July 2019,塔の上が混んでしまう,7月の日曜日に訪問しました。塔に上ったのですが、人が多くて塔の上で渋滞してしまい、お客様はみんないらいらしていました。それほど高くない塔なので、塔の上からマリエン広場周辺の様子がよくわかります。,20,"Kawasaki, Japan",
Date of experience: January 2020,Посетите смотровую площадку ,"Безумно красивая церковь и смотровая площадка. Виды открываются на весь город, особенно красиво на закате дня. Будьте готовы подняться туда в ручную по узкой лестнице. Но это того стоит!",50,,Trip type: Traveled as a couple
Date of experience: June 2019,Must do for the beautiful views at the top!,"This was the second time that we have visited St. Peter's Church.  The views at the top after a climb up the narrow, winding staircase never disappoint!  Definitely a must do for a perfect picture spot!",50,"Crystal Lake, Illinois",
Date of experience: August 2019,Прекрасная церковь и смотровая площадка,"Церковь святого Петра или Петерскирхе - старейшая церковь Мюнхена, первое упоминание о ней датируется 1225 годом. Первоначально церковь была построена в романском стиле, но в 1278 году была перестроена в готическую базилику. Высота колокольни церкви составляет 98 метров, на башне сохранились уникальные часы 1371 году с восемью циферблатами. Внутреннее убранство в стиле позднего барокко 18 века мы можем видеть сейчас. дополнен по обеим сторонам небольшими капеллами. Потолок центрального нефа украшен росписями, фресками, изображающие сцены из жизни апостола Петра. Алтарь в стиле барокко 1734 года так вообще отдельная достопримечательность. В центре святой Петр с золотой тиарой на голове сидит на троне. По обеим сторонам от Петра четыре фигуры святых: Амбросий, Августин, Иоганн и Афанасий с книгами в руках. Башня церкви до середины 20 века использовалась в качестве пожарной наблюдательной башни, сегодня это одна из лучших обзорных площадок. Главная реликвия церкви - святая Мундиция (Протогения) Римская, мученица, погибшая в 310 году.Вход в церковь свободный (церковь действующая), а вход на смотровую площадку стоит 3 евро для взрослых. Оцените свои силы перед подъемом, так как подняться можно только пешком по 304 ступенькам.",40,"Moscow, Russia",
Date of experience: March 2020,We climbed the tower,"Nice easy climb, plenty of rest points! Normally I get vertigo but I was fine climbing the stairs up.Lovely views at the top!",50,"Seaham, United Kingdom",Trip type: Traveled as a couple
Date of experience: February 2020,Ausblick,"Ein Schritt vom Marienplatz, ein Muss auf den alten Peter zu steigen und den Ausblick auf die Stadtdächer zu geniesen.",40,"Freising, Germany",
Date of experience: September 2019,Salire sul campanile è necessario,"Si trova alle spalle di uno dei lati di Marienplatz, il cuore di Monaco. La Peterskirche (Chiesa di San Pietro) è una delle chiese più importanti della città e, secondo me, la più bella, meglio della Frauenkirche (la Cattedrale). Gli interni sono in stile barocco. L’ingresso è gratuito ma per accedere alla torre campanaria si deve fare il biglietto al costo di 3€. Per raggiungere i 96 metri della sommità bisogna fare gli scalini tutti di un fiato e considerati i problemi di claustrofobia di mia moglie salgo solo io. È una bella faticata però all’arrivo la vista ripaga di tutto. Girando per tutto il perimetro della torre si gode, grazie alla bella giornata, la vista di tutta la città ed in particolare dell’intera Marienplatz e il Neues Rathaus che, visto dall'alto, si impone per la sua mole (spettacolare). La fatica per la salita è ben ripagata.",40,,
Date of experience: March 2020,Endnu en udsigt,"Udsigten fra tårnet er fantastisk. Hele den indre by kan ses oppe fra. Man skal ha gode ben - for der er trapper hele vejen op. Det første stykke er meget smalt, og man kan gå en retning ad gangen.",50,"Frederiksberg, Denmark",
Date of experience: February 2020,One of the original churches in the city,"Definitely worth a visit, this is a beautiful place of worship. Baroque interior makes a terrific contrast with the austere Gothic splendor of the Frauenkirche cathedral a few blocks away.",40,"Annapolis, Maryland",
Date of experience: January 2020,"Bello, sì, però ....","Vale la pena di salire sul campanile, si gode di una vista spettacolare, il Duomo, la piazza, la città intera. La salita e da discesa sugli scalini, fanno parte dell'avventura. L'inconveniente sono le persone sulla torre, se sono tante, senza una limitazione sul numero, rendono impossibile girare attorno al campanile. Comunque, vale la pena di correre il rischio.",40,"Milan, Lombardia, Italy",
Date of experience: February 2020,兼具健身的攝影好地點,登上聖彼得教堂頂端相當爬了15層樓大樓的階梯相當有益健身（笑）教堂頂端是拍攝新市政廳的最佳地點二月登上頂時正好遇到冰霰  拍照時指頭幾乎凍到沒感覺但照片張張精彩  建議一定要上去看看,40,"Kyoto, Japan",
Date of experience: September 2019,ミュンヘン最古の教会,ミュンヘン最古の教会で、そう大きくはないですが中は重厚な重みを感じます。塔にも3ユーロで登ることができます。,30,"Osaka, Japan",Trip type: Traveled as a couple
Date of experience: February 2020,Aussichtsturm ist sehr empfehlenswert,"Die Innenausstattung der Kirche ist nicht sehr imposant, aber der Aussichtsturm ist absolut empfehlenswert. Von dort aus hat man eine perfekte Aussicht auf die ganze Stadt und seine tolle Architektur. Der Preis (3 Euro für Erwachsene) ist gerechtfertigt und eine gute Investition.",50,"Zurich, Switzerland",Trip type: Traveled as a couple
Date of experience: February 2020,Must do for 360 view!,Great view of the city from the top of the bell tower! Only 3 euros to climb 14 flights of narrow stairs to the top. Worth it!!,50,,Trip type: Traveled on business
Date of experience: June 2019,Very historical,"Since my name is Peter, we had to visit this St. Peter's Church, known in German as ""Alter Peter"", only a few steps from the central point downtown Marienplatz. It is the oldest church in Munich, dated back to 11th century, known for its gilded interior.",50,"St. Augustine, FL",
Date of experience: February 2020,çok eski ,münihin eski kilisesi kilisenin yapısı ve mimarisi diger gördüğüm kiliselere gör çok farklı iyidir huzur veren bi havası var,50,"Munich, Germany",Trip type: Traveled with friends
Date of experience: February 2020,Thick incense,Beautiful church but this is our second visit. Both times the incense to very strong. My wife had to leave both visits.,30,"O'Fallon, Illinois",
Date of experience: February 2020,Great view!,"Entry is only 3 euros (2 for students!) and well worth it for the fantastic view from the top. You can see the city and Marienplatz very close by. It is quite the climb up though on narrow stairs so be aware of that, but there are little platforms at each floor where you can stop for a rest if needed.",40,,
Date of experience: February 2020,Precious moments of peace and reflection,"Awe-inspiring and yet exuding an aura of calm! The sanctuary has withstood the ravages of time since the 16th century and looks very well preserved. Domed painted ceilings and a golden altar and statues. We were fortunate enough to attend the 930am Sunday service and though we don’t understand German, the time spent there was food for the soul and the presence of God near.",50,"Singapore, Singapore",Trip type: Traveled as a couple
Date of experience: February 2020,La mejor vista de la ciudad,"Vale la pena la espera para finalmente poder subir y admirar la ciudad desde los cielos. Podrían mejorar un poco el aspecto general de las escaleras, se encuentra un poco descuidado, pero es lo de menos. La entrada cuesta 3 euros.",50,"Buenos Aires, Argentina",Trip type: Traveled as a couple
Date of experience: January 2020,Trop de monde accepté en même temps,Pour voir Munich du haut avec le soleil à ne pas manquer mais s'armer de patience car trop de personnes sont acceptées en même temps et en haut pour faire le tour on fait du sur place. Dommage car par manque de temps je n'ai pu faire qu'un demi tour de tour de la tour !!! mais j'avais choisi le coté Alpes bavaroises. Et puis de bonnes jambes et du souffle car 299 marches par un escalier étroit et abrupt.L'église en elle même n'a rien de plus sauf la couronne sur ST PIERRE qui est enlevée le jour du décès d'u pape et remis lorsqu'un nouveau pape est élu.,40,"La Grande-Motte, France",
Date of experience: February 2020,A stunning view from the top,"We didn't visit inside when in Munich, but did climb the tower for just 3 euros per person on an incredibly windy and snowy February day. From the top of the church tower many major landmarks can be seen in incredible detail, such as the Frauenkirche, Rathaus, Olympicpark and Viktualienmarket. Well worth visiting for excellent views of this beautiful city.",50,"Manchester, United Kingdom",
Date of experience: October 2019,很大的教堂 ,一個外觀華麗，又古老的教堂。可以付錢爬上教堂頂樓。其實在教堂內就感到好安寧，所以可以逗留一般時間。建議遊客可以過去看看,40,"Hong Kong, China",Trip type: Traveled solo
Date of experience: January 2020,Climbed the tower for a good view of central Munich,"You can pay a few euros to climb the tower here. It offers good views of Marienplatz and the surrounding city. The stairs are in places single file, so there is a bit of waiting in peak periods. The top has wooden floor and metal grate. I wouldn't recommend for anyone with vertigo or scared of heights. I wasn't too keen. Worth a climb for great views!",40,"Chelmsford, United Kingdom",
Date of experience: May 2019,Приходская церковь Святого Петра,"Приход впервые документально упоминается в 1225 году. Церковь расширялась и перестраивалась в 14 и в 17 веках и реконструировалась в 1946 на средства граждан города всех вероисповеданий и политических взглядов после войны. На что стоит обратить внимание - высокий алтарь в стиле барокко первой половины 18 века. В алтаре у ног Святого Петра четыре отца церкви: два западных- Амвросий и Августин и два восточных –Афанасий и Иоанн Златоуст. Потолочные фрески изображают жизнь апостола Петра. В  этой церкви можно увидеть большое количество средневековых произведений искусства.  В храме находится реликварий Святой Мундитии- покровительницы одиноких женщин. Также можно подняться на смотровую площадку, с которой в хорошую погоду открывается обзор до 100 км. Башенные часы являются старейшими в городе и имеют 8 циферблатов.",40,"St. Petersburg, Russia",
Date of experience: January 2020,Climb the Tower,"The interior is a lovely old church opened in 1294 where i did not spend the appropriate amount of time rather had another experience.  I always enjoy climbing a tower or two for the unique perspective it gives of a city.  Also interesting to see the construction as many are hundreds of years old.  The stairs can be narrow in some places, wider wood boards in others.  There are numerous places for pasting and a short rest if needed.  As you climb and look at the walls, floors, and inner sections you can see evidence of the repairs and damages through the ages.  Once to the top (about 300 feet or 91 meters) you are rewarded with a spectacular view of the city.  I chose to climb at 5pm (closing was at 6pm) to get an evening view which was just breathtaking.   Gave an enjoyable perspective and rewarded with some great photos.  Well with the 3 euro fee.",50,"Flanders, New Jersey",Trip type: Traveled solo
