date,title,text,rating,visitor_origin,visit
Date of experience: October 2019,Must visit,The Alte Pinakothek is a must-visit in Munich. Many Italian and Flemish artists are exhibited here and on Sunday the ticket costs only 1 Euro. The neighborhood is plenty of bars and and parks where to chill.,40,milano,
Date of experience: August 2020,Intéressant ,Musée très intéressant avec des œuvres de toutes les époques. Priorité quand même à la renaissance et à Rubens. A voir dommage que certaines salles soient un peu petites.,40,"Paris, France",
Date of experience: July 2020,Breathtaking,"My other half suggested we visit here for the day so the little one stayed in bed and we visited on our own.  It's about a fifteen to twenty minute stroll from the train station.  The museum is vast with artworks on two levels.  I thin we paid about 14 Euros for the two of us and like with other museums we had to leave our bags in the lockers, for which there is a 1 Euro returnable deposit.  We started on the first floor by walking of a long steep flight of stairs.  The artworks went from the fifteenth up to the eighteenth century and contained lots of Italian works as well as art by Rembrandt, Van Dyke and Rubens, who works were wide and varied.  I think this is the largest Rubens collection outside his native country.  There were also other items by Raphael and Breugel.  the collection is vast and you need to take it all in as you walk round.  The rooms have all the doors removed so you can just walk through, and each room has lots of central seating so lovers can sit and admire the stunning works as they move round.  After completing the upstairs we went to the cafe for a spot of lunch and had coffee and cake.  I had Lavender cake and mum had a slice of lemon tart.  The portions were substantial and cost about 15 Euros in total.  All the tables in the cafe were respecting social distancing and the staff all has masks on, as did all the other staff on duty throughout the museum.   After lunch we visited the smaller collection on the ground floor of eighteenth and nineteenth century works.  this contained works by Monet, Manet, Cezanne, Degas, Gainsborough, Klimt, Rodin and an original of Van Gogh's Sunflowers.  Each painting was priceless.  I could have sat all day and admired this collection, beautiful is an understatement.  We were here for hours, the Rubens collection is magnificent on its own.  Anyone with an interest in European art needs to visit this place.  Entrance is cheap, the art is substantial and the collections are amazing.  Tourists to Munich must not pass this up an opportunity to visit this place.",50,"Worcester, United Kingdom",
Date of experience: July 2020,Wonderful collection,"Impressive collection, from Boucher to Rembrandt.  Rubens's Last Judgement alone worth the price of admission.  Highly recommend getting a guided tour, especially if you have kids/teenagers with you.  Like everywhere in Munich at the moment, masks are required inside.",50,"Geneva, Switzerland",
Date of experience: March 2020,Architektonisches Vorbild für die Eremitage,"König Ludwig I. war dem Ideal der Volksbildung verpflichtet. Er wollte die Kunstwerke aus der von Kurfürst Karl Theodors gegründeten Galerie im Hofgarten und die auf verschiedene Schlösser verteilten Bilder der Wittelsbacher, ergänzt durch zahlreiche Meisterwerke, die er durch",50,"Munich, Germany",
Date of experience: July 2020,Einfach prachtvoll,"Einfach phantastisch, man ist schier erschlagen von der Fülle der hochkarätigen Kunst. Meisterhaft präsentiert, das Cafe eine wohltuende Oase um Kraft zu schöpfen. Wunderschöne, passende Architektur. Ich kann nicht nachvollziehen, wie man das als "" Durcheinander"" bezeichnen kann, denn es werden ja Epochen präsentiert, und keine Katalogausstellung eines einzelnen Meisters.  Wir waren jedenfalls rundherum begeistert, auch von der zwanglosen Leichtigkeit, die das Museum mit sonnenbadenden auf dem gepflegten Rasen einrahmt. Alles andere als verknöchert akademisch. Und noch etwas : am Sonntag für 1€ pro Person in eine solch hochkarätige Sammlung eingelassen zu werden ( betrifft auch die neue Pin. und die Pin der Moderne ) ist einfach grandios. Da sollten sich mal Städte wie das sogenannte Elbflorenz Dresden eine Scheibe von abschneiden. So kann man auch als Familie mit Kindern Kunst genießen. Sehr gut !!!!",50,"Dresden, Germany",
Date of experience: July 2020,fantastica,"Palazzo circondato dal verde, si articola su ampi corridoi su due piani. Audioguida scaricabile sul cellulare. Prezzo di domenica € 1. La sezione italiana, come sempre, è molto ricca e bellissima.",50,"Treviso, Italy",
Date of experience: October 2019,Sehr viele verschiedene schöne werke sind hier versammelt.,Wir kamen mit der Straßenbahn an und haben fast den ganzen Tag (über 5 Stunden) in den Pinotheken verbracht. Viele verschiedene schöne Werke sind hier ausgestellt!!!,50,"Baden-Baden, Germany",
Date of experience: June 2020,"Immer wieder schön, die AltenMeister","Wir dachten, dass die Cortona-Beschränkungen uns behindern würden, aber so wenig Besucher haben wir in der Alten Pinakothek noch nie gesehen.War ein wunderbares Wiedersehen mit unseren Lieblingsbildern!",50,"Salzweg, Germany",
Date of experience: June 2020,Masse statt Klasse,"Hier hängen sehr viele Bilder durcheinander und manche über einander.  Dies wirkt sehr unübersichtlich.  Zudem sind natürlich die Aufsichtspersonal Chaoten.  Wenn man gerne in einer Flohmarkt geht, ist man hier gut aufgehoben.  Ja, es gibt ein paar Schätze zwischen den Gruscht.",40,"Stuttgart, Germany",
