date,title,text,rating,visitor_origin,visit
Date of experience: August 2020,Interesting visit,Nice museum to visit as it is also within a nice walk In the Olympic Parc. The museums offer a walk in the years of technology and design and it is quite interesting. ,40,"Rome, Italy",
Date of experience: February 2020,Super delusion,"I had great expectation from this museum and I have to say I had been highly disapponted.   The path to follow is not clear at all, and it should be, since it's arranged on multiple levels.  It doesn't exhibit so many cars and they lack of a proper historical explaination.  Alfa",20,milano,
Date of experience: August 2020,A dream,"One of the bucket list ticked off. I drove 5 hours from Slovenia to go and see it and I was not disappointed. Sure, it's a bit tedious when there are screaming kids around due to the imclement weather, but, it was really very good. The only thing, the parking isn't very well",50,"London, United Kingdom",
Date of experience: July 2020,"Great museum, missing some interaction ","Off course it’s very beautifull here, especially when you are a car enthousiast! What I am missing is the more interactive tools in this museum, it is more like an “old school museum” ",40,"Dongen, The Netherlands",
Date of experience: July 2020,Excellent Museum,"This was our first visit to the BMW Museum, and it didn't disappoint.  It was really setup well, so you circle down through the different eras of BMWs, including the early 1920's, war years and modern times. They also have a great section on innovation.  The museum's also right",50,"Stuttgart, Germany",
Date of experience: July 2020,If you like Beemers this is top of the list,"I am a huge car lover and one of my favourite manufacturers is BMW, I can't count howany I've had and they have all been amazing so this is an immediately biased review.  Fact of the matter is if you like BMW and the weather isn't all that then it doesn't get better than this. ",50,"London, United Kingdom",
Date of experience: June 2020,BMW Museum,"Amazing museum. Lot of history here. I loved the Engines sections, so much details. €10 entrance fee. ",50,"Nuremberg, Germany",
Date of experience: June 2020,One of the best tourist things for a rainy day,Absolutely worth the around 10 euro entrance. So many exciting and inspiring automobile things to discover. Try to not come in the weekends. Tends to be really bussy,50,,
Date of experience: December 2019,Petrolheads,Each petrolhead needs to visit. Fee entry is about 10€ and it's worth to see the whole history and all cars.,50,"Prague, Czech Republic",
Date of experience: March 2020,Day at BMW ,It was nice to come here on the hop on hop off busses from near the hotel  I had lunch here and had a nice look around t shirts are expensive ,50,"Newcastle upon Tyne, United Kingdom",
Date of experience: March 2020,Excellent morning out,We paid 10euros each for admission for the museum and thought that it was very reasonably priced.  Good displays and interesting exhibitions.  We also visited the welt which was fun! ,50,"Seaham, United Kingdom",
Date of experience: February 2020,"Waste of money, prefer BMW welt","It was a waste of money. Nothing special to see there. On the other hand, i suggest you to visit the bmw welt nearby (prebook it). The price is almost the same",10,"Paphos, Cyprus",
Date of experience: December 2019,Very interesting experience ,The BMW MUSEUM was an amazing experience. I took my daughter and she who is 5 years and we had a great time.   So many beautiful and interesting cars. ,50,"Far Rockaway, New York",
Date of experience: January 2020,BMW Welt,"A wonderful experience for the whole family - to see the development, the historical and political impact , as well as the technical transformation within the car industry, is truly amazing for the whole family. Easy access, parking and/or public transportation.",50,"Pullach im Isartal, Germany",
Date of experience: November 2019,Great if you like cars,"If you like cars, especially iconic German cars, this is a great place to see the history of the brand and what type of cars they have at present and stunning concept cars. ",50,"Great Barr, United Kingdom",
Date of experience: February 2020,"If you are a BMW fan, this is a must see museum","Amost all the cars and motocycles sinmce the start are available to see and ""feel"". However, I expected more from BMW. At least more interactivity with the items could be nice.",40,"Istanbul, Turkey",
Date of experience: March 2020,Worth The Money,Was a really cool experience. Also for people who don't have anything with bimmers. The entrance fee is only €10 which you'll bring to two different sections. Where as one of the sections is mostly about the future of cars/BMW. The other section is more history and technical,50,"Munich, Germany",
Date of experience: February 2020,Interesting,"I am not really into cars and bikes, but going to BMW museum was an amazing experience. I was hesitating to visit the museum because of my limited time in Munich and the lack of passion for cars, but finally, I decided to go. It ended up as a nice and not expensive experience, I",50,"Budapest, Hungary",
Date of experience: June 2019,Excellent Car Museum,"This is a part of BMW complex, which includes also BMW Welt and BMW factory. It is easily accessible by public transportation U-Bahn. There is an entrance fee, well worth the visit.",50,"St. Augustine, FL",
Date of experience: February 2020,Disappointing,"A beautiful building, but a VERY WEAK display of cars. I expected to see at least 120-150 classic BMW street and race cars. Less than 50 were on display. Only one lonely 2002 series example? One example of the most iconic sport sedan in automotive history?  Almost no race cars,",20,,
Date of experience: February 2020,"If you are a BMW fan, this is a must see museum","Amost all the cars and motocycles sinmce the start are available to see and ""feel"". However, I expected more from BMW. At least more interactivity with the items could be nice.",40,"Istanbul, Turkey",
Date of experience: March 2020,Worth The Money,"Was a really cool experience. Also for people who don't have anything with bimmers. The entrance fee is only €10 which you'll bring to two different sections. Where as one of the sections is mostly about the future of cars/BMW. The other section is more history and technical aspects. Really nice, many variations so definitely worth the money.",50,"Munich, Germany",Trip type: Traveled with friends
Date of experience: February 2020,Interesting,"I am not really into cars and bikes, but going to BMW museum was an amazing experience. I was hesitating to visit the museum because of my limited time in Munich and the lack of passion for cars, but finally, I decided to go. It ended up as a nice and not expensive experience, I paid 10Eur for a single ticket and  I just went for a quick visit (it took me around an hour) but of course, it was a fast tour. If you LOVE cars and wanna see all the details and read all the boards then probably you will need around 2 hours.",50,"Budapest, Hungary",
Date of experience: June 2019,Excellent Car Museum,"This is a part of BMW complex, which includes also BMW Welt and BMW factory. It is easily accessible by public transportation U-Bahn. There is an entrance fee, well worth the visit.",50,"St. Augustine, FL",
Date of experience: February 2020,Disappointing,"A beautiful building, but a VERY WEAK display of cars. I expected to see at least 120-150 classic BMW street and race cars. Less than 50 were on display. Only one lonely 2002 series example? One example of the most iconic sport sedan in automotive history?Almost no race cars, except for one Sauber F1 car bolted to a wall, and one 60's F1 car.I've seen much nicer private collections in both Florida and in California.A fairly decent display of classic BMW motorcycles.The static displays of sustainable engineering tech were pointless and boring. And the Cold War / Berlin Wall history section was totally out of place in a car museum.This museum was not worth the €10 admission unless you know absolutely nothing about BMW and are starting from scratch.",20,,Trip type: Traveled as a couple
Date of experience: January 2020,Excellent place.,Museum is superb and all the models of Bikes and cars right from beginning are placed. Good experience. Even future car models also placed. Must visit when in Munich. Even Factory visit also available. Take guided tour to understand better.,50,"Mumbai, India",
Date of experience: January 2020,Holy Grail for BMW fans,"The museum sets out the history of the aircraft engine-turned-car manufacturer, which is relatively short and therefore the collection of vintage cars is not as impressive as that of say grand old Mercedes Benz. If you can walk for 2 hours, join the factory tour which shows the concurrent production of 3 models in one production system from stamping, welding, painting to assembly, although you will be nowhere near where the shiny cars roll off the production line ready to be driven away. There’s a lot of walking up and down stairs and can be taxing for some people! Photo taking is not permitted inside the factory.",40,"Hong Kong, China",
Date of experience: June 2019,Nice experience ,Nice place to check some of the history of BMW brand! I was there with my kids. It was even interesting for them!,50,"Chalandri, Greece",Trip type: Traveled with family
