date,title,text,rating,visitor_origin,visit
Date of experience: August 2020,Great open space,"Fantastic huge park in the city we had a great time lounge, splashing in the river and people watching (not too closely as there are people sunbathing naked - you have been warned). We also hired some Lime electric scootres and had a great time whizzing about - responsibly. Then",50,"Kinross, United Kingdom",
Date of experience: August 2020,Engelse tuin,We hebben er een wandeling gemaakt met 30 graden. Prachtig park met veel waterpartijen. Erg veel jeugd aanwezig. Het leek wel een open zwembad. Zeker een bezoek waard. ,50,,
Date of experience: August 2020,Magical Park that Stretches Back in Time for Miles and Miles,This is a fantastic park with a tangle of walking paths and bike trails that stretch for miles along streams and meadows where the locals surf and sunbathe respectively. It's as if someone took the best of 1969's Woodstock and coastal California and then combined the two with,50,"Stuttgart, Germany",
Date of experience: August 2020,Gezellig ,Het leeft hier! Van alles te doen. Muziek sport en bier. Zwemmen in een stromende rivier en volleyballen ,50,,
Date of experience: July 2020,Must see in summer,On a warm summer day bring your swimmers. Great rivers flowing through the park and everyone is in the fresh water swimming... little waterfalls and the like... it is a must see!!,50,"Madrid, Spain",
Date of experience: August 2020,Sehenswert,"Der englische Garten erstreckt sich über mehrere Kilometer. Er ist sehr schön angelegt. Leider werden die Corona Regelungen absolut nicht berücksichtigt. Dies scheint aber in der gesamten Stadt recht locker gesehen zu werden. Schade, die Zahl der Infektionen steigt wieder ",40,"Munich, Germany",
Date of experience: August 2020,Schöm angelegter Park,"Es ist nicht schön Sauber aber das habe ich bei der Menge an Menschen, in einer Großstadt nicht erwartet. Es gibt sogar die möglichkeit ins Wasser zu gehen. Wer mit einem der escooter hingekommen sein sollte, sollte wissen, dass man denen der marke Tier zügig wie gewohnt",40,"Rottweil, Germany",
Date of experience: August 2020,Grand parc fréquenté ,"Très beau et très fréquenté des familles, beaucoup d’espace pour s’allonger. Cependant surpris des nombreux bris de verres et autres déchets qui jonchent certaines parties du parc.",30,"Toulouse, France",
Date of experience: August 2020,Urlaubsgefühle mitten in München,Der Englische Garten gehört definitiv zu den Must-See-Spots in München.  An einem schönen Tag kann man gut und gerne den ganzen Tag dort verweilen und dem Treiben zuschauen.   Es gibt Teile mit vielen Menschen wo Spiel und Spaß im Vordergrund steht. Nicht weit weg gibt es aber,50,"Hammersbach, Germany",
Date of experience: August 2020,Skuffende,"Når man kommer fra vandring i smukke og rene Garmisch Partenkirchen og sejltur på Königssee, er det en skuffende oplevelse at lande i München og besøge English Garden. Det fremgår af guidebøgerne, at den er større end Central Park og at man både kan surfe og leje vandcykler. ",30,"Frederiksberg, Denmark",
Date of experience: August 2020,Sehenswert,"Der englische Garten erstreckt sich über mehrere Kilometer. Er ist sehr schön angelegt. Leider werden die Corona Regelungen absolut nicht berücksichtigt.Dies scheint aber in der gesamten Stadt recht locker gesehen zu werden. Schade, die Zahl der Infektionen steigt wieder",40,"Munich, Germany",Trip type: Traveled as a couple
Date of experience: August 2020,Schöm angelegter Park,"Es ist nicht schön Sauber aber das habe ich bei der Menge an Menschen, in einer Großstadt nicht erwartet.Es gibt sogar die möglichkeit ins Wasser zu gehen. Wer mit einem der escooter hingekommen sein sollte, sollte wissen, dass man denen der marke Tier zügig wie gewohnt reinfahren kann, jedoch dann der Roller im gesammten Gebiet auf unter Schrittgeschwindigkeit drosselt.",40,"Rottweil, Germany",Trip type: Traveled as a couple
Date of experience: August 2020,Grand parc fréquenté ,"Très beau et très fréquenté des familles, beaucoup d’espace pour s’allonger. Cependant surpris des nombreux bris de verres et autres déchets qui jonchent certaines parties du parc.",30,"Toulouse, France",
Date of experience: August 2020,Urlaubsgefühle mitten in München,Der Englische Garten gehört definitiv zu den Must-See-Spots in München.An einem schönen Tag kann man gut und gerne den ganzen Tag dort verweilen und dem Treiben zuschauen. Es gibt Teile mit vielen Menschen wo Spiel und Spaß im Vordergrund steht. Nicht weit weg gibt es aber auch sehr ruhige Spots wo man sich gemütlich hinlegen und seine Ruhe genießen kannSehr zu empfehlen,50,"Hammersbach, Germany",Trip type: Traveled as a couple
