date,title,text,rating,visitor_origin,visit
Date of experience: August 2020,Kandinsky aside pretentiously popr,Kandinsky is always a pleasure but this place plays off his name as the rest can be missed without ruining your life. Avoid. ,20,"Huddersfield, United Kingdom",
Date of experience: June 2019,Nice museum,We had a great organized visit with a local guide. She was great and passionate and the exhibition was very interesting. I can recommend it.,50,"Munich, Germany",
Date of experience: February 2020,Excellent for history of Blue Rider Group,"This is a charming, well organized and wonderfully curated collection. Make sure that you check out whether there are special exhibits at the annex.  ",50,"Minneapolis, Minnesota",
Date of experience: December 2019,Nicely done,"Very much worth two or three hours of a tourist’s time. Art is well presented. Bold colors. Lots of seats and, pardon the rhyme, lots of little treats. We spent a late Friday afternoon strolling through this midsized museum and were smitten with its collection.  Bravo.  We had a",50,River Forest Illinois,
Date of experience: January 2020,Beautiful museum!,"Great collection of the Blue Rider movement (but not only). I love Kandinsky, so that was my main reason to go there but I really liked also some of the other artists. Quite impressed by Franz Marc and the early work of Paul Klee. All rooms and paintings have German and English",50,"Munich, Germany",
Date of experience: December 2019,Great Museum - Mediocre Reception desk,"I loved this museum! I spent two hours (until closing time) exploring their great collection of Blaue Reiter artists as well as their temporary exhibit ""Das Malerische"" and their wing about art after 1945. I had so much fun and I learnt so much and discovered artists I did not",40,Luxembourg,
Date of experience: December 2019,Extensive collection of Kandinsky,We were greeted by an impressive light hanging from ceiling in the entrance hall.  The paintings are well displayed with excellent lighting.  A must-see for Kandisky lovers but also full beautiful pieces of many other prominent painters of the era.,50,"Nice, France",
Date of experience: December 2019,Incredible museum,By far one of the best in Munich. On the second floor you can go deeper on all Kandinsky's different stages which aren't normally the 'most famous' ones and you'll be surprised by Franz Marc as well. Super recommended ,50,milano,
Date of experience: December 2019,Fantastic,Wonderful collection of Kandinsky and the Blaue Reiter group. Also 20th century German art. Really worth visiting,50,"London, United Kingdom",
Date of experience: November 2019,A visit,a great place to visit and we all 4 enjoyed the walk and views its a great place and  a must to visit ,50,,
