date,title,text,rating,visitor_origin,visit
Date of experience: June 2020,"Neues Rathaus, München",A fantastic sight in the city centre. Not too polished building and authentic place. The photo is slightly edited - taken late night with Iphone8.,50,"Cordoba, Argentina",
Date of experience: August 2019,Impressive and amazing - the dominant building of the Marienplatz,"The main attraction of Marienplatz. Impossant - built in the Gothic Revival style. I only looked at it from the outside, but this impression is already incredible. The 85 m high town hall tower is crowned by the Munich Kindl. At the top of the tower is one of the largest",50,,
Date of experience: February 2020,Amazing Gothic architecture ,The new town hall has an amazing Gothic style architecture.  The building is the main attraction of Marienplatz.  The front facade is very grand and the clock tower is very speical. ,50,"Bangkok, Thailand",
Date of experience: February 2020,"impressive frontage, we didn't go inside","We were there on a Sunday, so we didn't go inside, but the frontage on the plaza is impressive.  Incredible, really.",40,"Plymouth, New Hampshire",
Date of experience: June 2019,Beautiful architecture!,"The architecture  of this building is so amazing.  While there are tours available, just walking around it and into the courtyard makes this a lovely experience.  While the Glockenspiel on the front of the building is its centerpiece, there are so many things to observe in and",50,"Crystal Lake, Illinois",
Date of experience: August 2020,Voorbij gelopen ,"Met een overvloed aan oude gebouwen in het hart van München , wil je toch niet overal even binnen lopen. Van buiten echter ook al een pareltje om te zien.",40,"Eindhoven, The Netherlands",Trip type: Traveled as a couple
Date of experience: July 2020,Einfach prachtvoll,"Sonntags Spätnachmittags am schönsten, oder frühmorgens im Sommer. Der herrliche Blumenschmuck und die himmelstrebende Architektur einfach wunderbar.",50,"Dresden, Germany",
Date of experience: June 2020,"Wow,  da stockt einem ja der Atem ",Ein absolut gigantisch- großartiges Gebäude das allein schon einen München Besuch rechtfertigt. Bei weiss-blauem Himmel wirkte das Rathaus noch sehr viel beeindruckender und für das Glockenspiel Lohnt es sich auch bis 12 Uhr zu warten. Wahrlich ein sehenswerter Touristenmagnet .,50,"Andernach, Germany",Trip type: Traveled as a couple
Date of experience: June 2020,"Neues Rathaus, München",A fantastic sight in the city centre. Not too polished building and authentic place. The photo is slightly edited - taken late night with Iphone8.,50,"Cordoba, Argentina",Trip type: Traveled as a couple
Date of experience: October 2019,Absoluter Höhepunkt,"Es war ein besonderer und schöner Höhepunkt unserer Reise nach München und bis 11 Uhr zu warten, wann die Uhr schlägt und die Puppen-Vorführung beginnt, ist sehr sehr lohnenswert!",50,"Baden-Baden, Germany",Trip type: Traveled with family
Date of experience: August 2019,Impressive and amazing - the dominant building of the Marienplatz,"The main attraction of Marienplatz. Impossant - built in the Gothic Revival style. I only looked at it from the outside, but this impression is already incredible.The 85 m high town hall tower is crowned by the Munich Kindl.At the top of the tower is one of the largest carillon in Europe. The mechanical clock plays four different melodies one after the other on the hour. The melodies are changed throughout the year. A Munich night watchman who blows on his horn and an angel who blesses the Munich Kindl appear in the bay windows on the seventh floor of the tower.Because of the small space it is better to take photos with a wide-angle lens!",50,,
