date,title,text,rating,visitor_origin,visit
Date of experience: August 2020,Fabulous views. Well worth a visit ,Great attraction. Super views over Munich. No rush once up top so take your time. The Rock museum is a non event but that is fine. ,50,"Huddersfield, United Kingdom",
Date of experience: August 2019,An incredible sight over Munich and the surrounding area,A visit to the Olympic Tower is a must when visiting the Olympic Stadium. The view at 190 meters is fantastic. All of Munich can be seen - especially the Olympic site and the BMW buildings. In good weather you can see the Allianz Arena. But much further. The view to the Alps is,50,,
Date of experience: February 2020,"Great view of the city, well worth a visit","Fantastic 360 degree view of the city, particularly the adjacent Olympiapark, Olympiastadion and BMW Welt. Cheap entry; elevator takes just a few seconds to get to the top and then there’s plenty of space up there even if it’s busy. We got there via a short Uber ride (15-20",50,"West Bromwich, United Kingdom",
Date of experience: September 2019,Excellent,"Brilliant panoramic views of Munich and the Olympic Park! It also boasts a little rock musuem at the very top of the tower, which is also quite interesting!",50,"England, United Kingdom",
Date of experience: February 2020,Fantastic views,Visited in May 2019 and February 2020. Excellent views in May. One of the best observation towers we have visited. Highly recommend.,50,"O'Fallon, Illinois",
Date of experience: January 2020,Great views on the park and city,"Went up here on a visit to the Olympic park. Bit expensive, but has great views of the city. Unlike a lot of towers, you can go outside. There is a central area away from the edge where the barrier is low for good photos with no barriers of glass in.",50,"Chelmsford, United Kingdom",
Date of experience: December 2019,Surprisingly enjoyable,"It was New Years Eve, not much was open so we decided to be all touristy and go up the Olympic Tower.  My husband had been there in 1972 and had even had dinner in the revolving restaurant but I had never been.  The line for tickets moved surprisingly quickly and we got in the",50,"Warrington, Pennsylvania",
Date of experience: December 2019,Olympic Park Munich,Spent the best part of a day here. Lovely grounds to wander in. Stunning architecture from the 1972 Olympic venue. The tower is excellent and the viewing platforms (Inside and out) give stunning views of the city. Seeing the BMW museum from this height is excellent. Well worth a,40,"Derbyshire, United Kingdom",
Date of experience: December 2019,"Very interesting, kept in immaculate condition","Very interesting. The view from the Olympic Tower is fabulous. Grounds are immaculate, very well kept. Well worth a visit",50,"County Cork, Ireland",
Date of experience: November 2019,Nice view , You can see the whole city and the alp mountain. If there's a clear weather this among the things to do in Munich. The ticket is 9€ and it's free if it's your birthday. ,40,"Istanbul, Turkey",
Date of experience: July 2019,Cool to see,Nice relic from a historical place that once hosted the summer olympics.  Worth seeing if you are in Munich.,40,,
Date of experience: November 2019,A Day out, this Olympic tower and and grounds were amazing we were very pleased that we came and had a look around  ,50,,
Date of experience: November 2019,Amazing views,Great value entry which is discounted with the Munich card. The tower offers vertigo inducing views of Munich and the surrounding countryside. We were able to see the snow capped mountains in the distance on our afternoon trip. For those of you with a fear of heights there is a,40,"Macclesfield, United Kingdom",
Date of experience: November 2019,Spectacular,"Wow, I don’t know how else to say it! The views are amazing and if you have visited other places first it is so much fun to find them from here. It was a particularly windy day, but we did venture out to the open air viewing points  too.  My son enjoyed watching how quickly the",50,,
Date of experience: August 2019,An excellent view point from the TV tower,"The TV Tower is inside the Olympic Tower, the tallest tower in Munich has excellent views to offer of the city. There is also a 5* restaurant on the top level for some romantic dinner. The entrance ticket to the tower is separate than of the entrance ticket to the Olympic park.",40,"Dubai, United Arab Emirates",
Date of experience: July 2019,Cool to see,Nice relic from a historical place that once hosted the summer olympics.  Worth seeing if you are in Munich.,40,,
Date of experience: November 2019,A Day out,this Olympic tower and and grounds were amazing we were very pleased that we came and had a look around,50,,
Date of experience: November 2019,Amazing views,"Great value entry which is discounted with the Munich card. The tower offers vertigo inducing views of Munich and the surrounding countryside. We were able to see the snow capped mountains in the distance on our afternoon trip. For those of you with a fear of heights there is a coffee shop and a small rock museum with some memorabilia and a juke box. Although most of the tower is enclosed, there is a further open air viewing platform accessible via a staircase. Great value but avoid if you hate heights.",40,"Macclesfield, United Kingdom",Trip type: Traveled as a couple
Date of experience: November 2019,Spectacular,"Wow, I don’t know how else to say it! The views are amazing and if you have visited other places first it is so much fun to find them from here. It was a particularly windy day, but we did venture out to the open air viewing points  too.  My son enjoyed watching how quickly the elevator made its ascent, I’d say less than a minute to go 185 m.  I felt the price was reasonable too.  When we came down it had started to rain, otherwise the park would have been nice to spend some time in",50,,
Date of experience: August 2019,An excellent view point from the TV tower,"The TV Tower is inside the Olympic Tower, the tallest tower in Munich has excellent views to offer of the city. There is also a 5* restaurant on the top level for some romantic dinner. The entrance ticket to the tower is separate than of the entrance ticket to the Olympic park.",40,"Dubai, United Arab Emirates",
Date of experience: November 2019,Olympic Tower,"The Olympic Tower does not  appear so big nowadays but was surely quite impressive in the past. Nearby, there was a nice restaurant with local food.It was interesting to see how the locals spent their Sunday afternoon .",40,Mauritius,
Date of experience: November 2019,Amazing views!,This place has amazing views of the city! With a few levels to view from either behid glass or right at the top you are going to get the perfect shot.,50,"Perth, Australia",
Date of experience: September 2019,Great views of the city,"Couldn't believe how empty it was! felt like we had the whole tower to ourselves (not complaining!). I felt the admission price was fairly reasonable; in line with what we have paid for similar experiences in other cities. What made this one better is that Munich is a low height city, so we could see further all the way around. Also with this tower located in the northwest corner of the city, with late day sun, most of the city is highlighted fairly well; no shots or views looking in to the sun. We didn't eat at the restaurant up here.The ""rock museum"" ; good thing I didn't know of it before I came, otherwise I might have expected something. I came for the views and was not disappointed.",40,"Omaha, Nebraska",
Date of experience: October 2019,Stunning views and not too crowded,At least on a Sunday mid day in October there were no lines and not too many tourists up in the tower. With 9e per adult I'd say it was really cheap. The place has excellent views from 3 different decks. Lowest deck is inside 2 others outside.,50,"Helsinki, Finland",Trip type: Traveled with friends
Date of experience: September 2019,Great View Over Munich,"Getting to the Olympic Tower can be a bit of a hassle - you can catch the U Bahn to Olympia Zentrum and then walk for about 5 minutes (past BMW World which is also worth a visit).The view form the tower over Munich, the Olympic park and BMW world is spectacular - one of the main attractions in Munich - NOT to be MISSED",50,"Sydney, Australia",
Date of experience: October 2019,Olympiaturm,€9 entry for adult. Great views of wider Munich area. There are 3 stages to the observation deck; 1 inside and 2 outside with stairs. Make sure to get right to the top on the outside level!,40,"Surrey, United Kingdom",Trip type: Traveled on business
Date of experience: October 2019,What a View!,"We went here after visiting the BMW Museum and BMW Worlt, and it was breathtaking how high up this tower is!",50,"Lodi, New Jersey",
Date of experience: October 2019,Must see,I make a point to visit viewing platforms and towers on any trip and this tower was very worthwhile for great views of the city. There are display outlines on the glass surrounding the lower level platform. The highest platform held a surprise for us in very strong cold winds! A must-see.,50,"Avondale, Arizona",
Date of experience: September 2019,Surpisingly interesting visit,"We went out to BMW World and discovered by accident that the Olympic Centre was just across the freeway!  So we went across and took a look around.  Amazing grounds, gardens, lakes and stadia!  But the best way to appreciate it all is from the top of this tower.  You also get fantastic 360 degree views of greater Munich and a sense of what this city is about.  Well worth a visit.",40,"Melbourne, Australia",
Date of experience: October 2019,Views and history,"I can't say anything different from others in all honesty. Views are stunning and a nice little touch is the names on the windows showing places of interest in the distance including summits on the Alps. There are they viewing machines for 1 Euro and they really bring things into focus. Also tit bits of information about some of the things you can see in the distance. And so many trees in Munich, who had thought it. The old Olympic stadium looks great from up high as does the athletes old Olympic village.Small rock museum on the top with the restaurant (seemed pricey, undoubtedly paying for the view). Well worth a visit.",40,"Grimsby, United Kingdom",
Date of experience: October 2019,A Marvel not to be missed,Not only does it cover the whole city at the height and have sights worth seeing it is most impressive modern structure for the Olympic Games of 1972. The elevator is so swift that you do not feel the huge climb.Also a restaurant at the summit,50,"Mumbai, India",
Date of experience: October 2019,Beautifull,"The view is amazing.I didn't think that Munich have so much threes haha.I love the park,nature everythink",50,"Schwäbisch Hall, Germany",Trip type: Traveled with friends
Date of experience: June 2019,Amazing view!,Amazing view and a great way to see what and where from a great view-point in the city! As we were walking around in the tower there were pictures on the windows/top-windows telling us what was where like the highest mountains and different landmarks in and around the city. We also have the perfect view of the whole olympic park area right at the bottom of the tower!,50,"Bergen, Norway",
