date,title,text,rating,visitor_origin,visit
Date of experience: August 2020,Some amazing rooms but a lot not available ,"Due to Covid 2/3 of the attractions are closed with only the house open to visit. This is still very much worth the trouble. Great light show in one room, worth the admission on its own. Guides are very officious if you struggle to hear your audio guide - lighten up you are",40,"Huddersfield, United Kingdom",
Date of experience: August 2020,Disappointing,"TBH our stop in Munch during a three week tour of southern Germany was more about the shopping but we thought we'd take an hour to see the centrally located Residenz, overall turned out to be a mistake. There is one room worth seeing, the Antiquarium which is usually pictured,",20,Gibraltar,
Date of experience: December 2019,Residenz - fantastic,"Residenz - fantastic. We were in Munich before our Uniworld River Cruise out of Passau. We experienced the Christmas Markets , a tour of the BMW Museum, Welt and Factory.  The Resisenz was icing on the cake. ",50,"Indian Rocks Beach, Florida",
Date of experience: August 2020,Enormous!,"Though badly damaged in the war, this is still worth a tour. There remain lots of amazing interiors, and restored rooms. Full of history, and well interpreted, but allow enough time.",50,"Maidenhead, United Kingdom",
Date of experience: July 2020,Interesting history,"Unfortunately, most of the rooms have been reconstructed as it was almost all destroyed during WWII. I'd still recommend for anyone who loves royal history",40,"Spring, Texas",
Date of experience: July 2020,Great ,We enjoyed the vastness of this palace . It was difficult to find the entrance . Lots of lovely clocks . We didn’t see the theatre but everything else was o,50,,
Date of experience: July 2020,Don't miss this palace!,We visited Munich's Residenz after finding it on TA. You can choose to tour the Treasury or Palace/Residenz or both (~€18/person). I recommend you do both. The Treasury portion provides an audio device in multiple languages.  Each of the exhibits has a number and you simply type,50,"Stuttgart, Germany",
Date of experience: June 2020,Was exactlz what you expect,"Love the place, however due to corona virus, will not be back.  I recommend visit once, but nothing special.",30,"Sicily, Italy",
Date of experience: June 2020,Beautiful palace,"Such a beautiful palace in the middle of Munich!  The staff was friendly even though still a bit confused about the whole new system they had to put in place for dealing with the new covid health restrictions. The rooms are beautiful, lots of things to see. I thought it's very",50,"Munich, Germany",
Date of experience: December 2019,Nice Garden,"We came by to see what was inside. The interior garden was quite interesting, mostly gravel but there were grassy areas as well as a statue of Poseidon (based on the trident). The actual entrance to the museum is past the garden. It was however too busy when we arrived so we",40,"Auckland Central, New Zealand",
Date of experience: May 2019,Sadly a bad visit,Fantastic place to walk around but sadly some members of staff were incredibly rude. I was treated and stared at like I shouldn't be there and my questions were irritable. I visited this place with my partner and I was followed around and grimaced at. Very sad to have been,10,"London, United Kingdom",
Date of experience: December 2019,Not to be missed! ,"Make time for this palace!! It was amazing to see, even with no prior knowledge of the history. Tourist information in Munich really underplays how stunning this place is. And it’s an easy walk from Marienplatz. My only regret is that we had only reserved a few hours to see it.",50,"Chicago, Illinois",
Date of experience: March 2020,Huge- and quite magnificent!,"So, I got really lost in here. It is huge. If you were to take the long tour and listen to every part of the audio tour I think that you could easily spend the whole day exploring it. The main part of the tour was incredibly interesting, with a large selection of items to few",50,"Glasgow, United Kingdom",
Date of experience: March 2020,It's big. Probably bigger than Versailles,"This place is dripping gold. Amazing opulence and architectural beauty. Did I say how BIG it is ?    The only negatives are that it closes quite early in the winter, and it can be hard to actually find the way IN",40,"Basingstoke, United Kingdom",
Date of experience: February 2020,Awesome,The Residenz is a very large palace which is a must see. The insides are beautifully decorated with the rooms differently set out and richly ornate. The whole complex is extremely well presented with lavish furniture and beautiful pictures everywhere. Due to the size it does,50,"Upholland, United Kingdom",
Date of experience: February 2020,Gaste = flabbered,"This place is monumentally huge! There is so much to see it is hard to know where to begin.  Actually it was quite easy to know where to begin because a helpful member of staff pointed me in the right direction. But that isn't quite what I mean. What I mean is, it is difficult",50,Scotland,
Date of experience: February 2020,Breathtaking!,"A breathtaking visit! Everything inside the museum is gorgeous and you don’t have to pay extra for an audio guide. Just remember to go there with time, the place is huge. I would recommend 2 hours or more.",50,"Berlin, Germany",
Date of experience: February 2020,Excellent visit,Visiting in February was the key. Far fewer patrons than in high tourist times. Excellent exhibits and helpful staff. Very close to Marienplatz.,50,"O'Fallon, Illinois",
Date of experience: January 2020,Must see,"The Residenz is a huge complex with ornate and lavishly decorated state rooms, period furniture and paintings on par. You need at least half a day to stroll through the Museum and let these wonders sink in. The Treasury and the Cuvilliés Theatre which charge separate admission",50,"Hong Kong, China",
Date of experience: February 2020,Worth a visit but it will take a couple of hours,Finding the correct entrance was challenging as sign posing is very poor. Once in we enjoyed the visit.   Sumptuously decorated rooms that go on forever. Once your on the route you pretty much have to carry on to the end. Probably at least an hour and more likely two.,40,"New York City, New York",
Date of experience: February 2020,Residenz,"This place has so much history. The entrance is in the main Residence plaza next to the theater and it has many buildings to see, museum, castle and theater. Get there early. They close at 5 ",50,"Pleasant Hill, California",
Date of experience: April 2019,Between a pearl and a diamond,"Architecturally, it's between a pearl and a diamond - one does not know how else to describe this awesome building and the treasures it hides. Especially impressive is the Treasury (Schatzkammer), and the gardens, as well as the artificial cave with stalactites and stalagmites",50,"Sarajevo, Bosnia and Herzegovina",
Date of experience: January 2020,Highlight of Visit ,"I’ve visited Munich several times over the years and somehow missed the Residenz even though it’s in the heart of the city.   From the outside it’s unassuming, but interior reveals wealth, history, and a world that has passed.    Much of the building and it’s contents were",50,"Flanders, New Jersey",
Date of experience: February 2020,Wet day,No better place to visit on a wet day. Only €9 entrance to see 130 beautifully presented rooms some of which are enormous. Easily spend a couple of hours here ,50,,
