date,title,text,rating,visitor_origin,visit
Date of experience: May 2020,Must-see for tourists,"This market is a tourist magnet, and also rightfully so. There are a lot of booths where you can try various food, you can buy flowers, drinks, and a lot of other items. It's kind of a must-see when you're visiting Munich, but be aware that most items here aren't exactly cheap at all.",40,"Munich, Germany",
Date of experience: July 2020,Don’t miss this market!,We stumbled onto this market while walking around Munich. It had 20-30 open air market stands with everything from fresh veggies & fruit to flowers to meats and cheeses to crafts. So much to see! Definitely give this place a try. A great place to casually shop and grab a bite to eat. We’d definitely go back.,40,"Stuttgart, Germany",Trip type: Traveled as a couple
Date of experience: June 2020,Lovely smells in the air!,"Walked through here on accident when roaming around the Old Town.  The aromas wafting through the air made me hungry, and I already had a full belly!  Would recommend to anyone in the area.",50,"Sumter, South Carolina",Trip type: Traveled with family
Date of experience: December 2019,Open Market,"The market is very close to Marienplatz. We walked past a day after Christmas and it was closed. We came back the next day and it was open. It is a combination of solid buildings and tents.There were quite a few stalls around the area. They sold lots of different items, from fresh produce to pretzels, to cheese. It was quite a nice market to walk around to see all the different items on offer. There are also a variety of shops around the market area. There is also a bar in the middle with seating which was a nice place to just take a break. The restaurant within the market are set in tents, but this was during winter.The area itself was also quite interesting with statues and other sculptures scattered around the area. Quite a nice place for food or some sights, particularly since it is down the road from Marienplatz.",40,"Auckland Central, New Zealand",
Date of experience: March 2020,Lovely beer in the beer garden,Nice cheap beer! Lovely atmosphere sitting in the sun drinking.We didn’t order any food from the market but it looks good!,50,"Seaham, United Kingdom",Trip type: Traveled as a couple
Date of experience: August 2020,Un peu surcoté ,"Attendu comme l’un des endroits où boire des bières, le Viktualienmarkt est animé l’après-midi où marché et stands composent le paysage de cette place. Évidemment, les bars sont presque pleins mais leurs cartes sont sans grande originalité. Le soir venu, aucun stand et autre n’est ouvert",30,,
Date of experience: August 2020,Ein Muss in München,"Immer einen  Besuch wert, Sonntag geschlossen! Wer Schick Micki will, findet das hier auch aber es gibt auch ein Stehbier und eine Leberkäsemmel.",40,"Prague, Czech Republic",
Date of experience: August 2020,Drukte,"Als toerist moet je hier eens overheen gewandeld zijn. Er is van alles te zien, te ruiken en te proeven! De echte leberkase en Muncher weisswurst. Voor wie varkensvlees kan waarderen de beste plek om het te proberen.",50,"Eindhoven, The Netherlands",Trip type: Traveled as a couple
Date of experience: July 2020,Peut mieux faire. ,Beaux étalages. Les olives et autres Aufstrich sont de qualité   En revanche les fruits et légumes sont très chers même en plein été pour une région agricole et surtout ils sont vendus peu mûrs et donc n’ont que peu de goût. Très décevant.,30,"Ormes, France",Trip type: Traveled as a couple
Date of experience: July 2020,"Marché typique, pas que pour les touristes","Un vrai marché forain à dominante alimentaire, avec ce que l’artisanat de bouche bavarois a de mieux à proposer (viandes, charcuterie, pâtisseries, vins... ) . Et plein de restaus sympas et pas chers avec terrasses.",40,"Charleville-Mezieres, France",Trip type: Traveled as a couple
Date of experience: July 2020,...einfach unvergleichlich,"Sehr schöne, wohl einmalige Atmosphäre; Einheimische und Touristen gehen sehr offen und nett miteinander um; aufmerksame, zur Umgebung passende Bedienungen; trotz des touristischen Hotspots, leckere Getränke und Speisen",50,"Ratingen, Germany",Trip type: Traveled solo
Date of experience: July 2020,Nichts besonderes mehr,"Schicki Micki geflutet.. Hummer hier, Prosecco da.. der Charme der alten Stände längt einer professionellen Budenvermarktung gewichen. Nicht mehr das Frischei aus dem Hinterland, oder der Radi ums Eck. Aufgehübscht, protzige Großmarktware in vielen Fällen. Lebt wie so vieles wohl von der Erinnerung, von Film und Fernsehen. Aber der Charme jener Tage ist längst nicht mehr präsent. Nur die protzige Aufmachung, und die geradezu exorbitanten Preise unterscheiden noch von irgendeinem Wochenmarkt. Ist nicht wirklich einen Besuch  wert, außer man will Hummer auf billigen Stühlen in praller Sonne goutieren",20,"Dresden, Germany",
Date of experience: July 2020,Sehenswert! ,Es gibt eine große Anzahl an diversen Ständen mit frischen Lebensmittel. Ist einen Besuch auf jeden Fall wert.,50,"Hannover, Germany",Trip type: Traveled with family
Date of experience: October 2019,Schön dort,Dort ist es wunderschön und ich war begeistert von dem Markt und was man da alles so entdecken konnte :),50,,
Date of experience: July 2020,Ging so ...,Hatten uns vom Viktualienmarkt ehrlich gesagt ein wenig mehr versprochen. Konnte jetzt keinen großen Unterschied zu jedem x-beliebigen anderen Markt finden. Haben an einem der Lokalitäten dort auch was gegessen bzw. getrunken was ich jetzt auch nicht wirklich weiter empfehlen würde da das Preis Leistungsverhältnis für mich definitiv nicht stimmte.,30,"Düren, Germany",Trip type: Traveled with family
Date of experience: August 2019,die gute Stube von München...,"...so wird der Viktualienmarkt im Münchener Volksmund auch genannt. Für uns ein Pflichtpunkt bei jedem Münchenbesuch. Hier kann man das bunte Treiben beobachten, ein Leberkässemmel verputzen und ein Weißbier zischen. So fühlt sich München an!",50,"Berlin, Germany",
Date of experience: May 2020,Must-see for tourists,"This market is a tourist magnet, and also rightfully so. There are a lot of booths where you can try various food, you can buy flowers, drinks, and a lot of other items. It's kind of a must-see when you're visiting Munich, but be aware that most items here aren't exactly cheap at all.",40,"Munich, Germany",
Date of experience: July 2020,Don’t miss this market!,We stumbled onto this market while walking around Munich. It had 20-30 open air market stands with everything from fresh veggies & fruit to flowers to meats and cheeses to crafts. So much to see! Definitely give this place a try. A great place to casually shop and grab a bite to eat. We’d definitely go back.,40,"Stuttgart, Germany",Trip type: Traveled as a couple
Date of experience: July 2020,Geht so,"Ich finde der Viktualienmarkt hat schon bessere Zeiten erlebt, vor allem beim Thema Sauberkeit   Hygiene und Sicherheit ist hier noch viel Luft nach oben. Die sehr sportlichen Preise werden den Produkten nur selten gerecht. Die Metzger/ Imbiss Stände sind aber durchweg alle zu empfehlen   da kommt man nur schwer vorbei,  ein Leberkäs geht immer. Ringsum den Viktualienmarkt gibt's jede Menge Gastronomie.......die meisten Corona bedingt geschlossen.",30,"Andernach, Germany",Trip type: Traveled as a couple
Date of experience: June 2020,Große Auswahl ,"Wünsche bleiben nicht offen. Hier gibt es so ziemlich alles und noch einiges mehr was man sich von einem Markt erwartet. Ob im Biergarten, an der Saftbar oder im Fischladen.... Eine große Auswahl an Antipasti am türkischen Stand. Achten sie darauf dass alles in die Tüte kommt was auf der Waage war. Fehlt leider immer wieder mal was. Ist das Zufall?",50,"Munich, Germany",
Date of experience: January 2020,נעים לשוטט בה,שיטוט בין דוכני שוק האוכל הצבעוני. מומלץ לבחור היכן שהמקומיים עומדים ואוכלים.  במערב השוק הדוכנים יותר זולים במקצת...,40,"Haifa District, Israel",
Date of experience: June 2020,Lovely smells in the air!,"Walked through here on accident when roaming around the Old Town.  The aromas wafting through the air made me hungry, and I already had a full belly!  Would recommend to anyone in the area.",50,"Sumter, South Carolina",Trip type: Traveled with family
Date of experience: June 2020,Sehr schön und macht Appetit,Der Markt hat eine sehr schöne Auswahl an Ständen. Alles sieht sehr gut und appetitlich aus. Besonders das Obst und Gemüse scheint von sehr guter Qualität zu sein. Ein Besuch lohnt sich.,50,"Bonn, Germany",
Date of experience: May 2020,Große Auswahl an leckeren Spezialitäten und vielem mehr,"Bei einem Tripp nach München lohnt sich ein Bummel über den Viktualienmarkt! Hier lassen sich viele Leckereien von Wurst, Käse, Obst, Gemüse, Pilze, Früchte, Fisch, Hönig, Säfte, Schokolade, Kaffee, Brot etc. kaufen. Aber auch Blumen oder andere Produkte werden angeboten. Es ist einfach schön zwischen den Ständen herzulaufen da die Produkte sehr hübsch präsentiert werden. Und eine Kleinigkeit zum Naschen sollte man sich auf jeden Fall gönnen.",40,"Essen, Germany",Trip type: Traveled as a couple
Date of experience: May 2020,genauso wie  erwartet,"der Viktualienmarkt präsentiert sich dem kunden, Besucher genauso wie man es nach Schilderungen bzw berichten erwartet. es gibt nichts was es hier nicht gibt. unbedingt besuchen",50,"Vienna, Austria",
Date of experience: February 2020,Mercado muy original,"El lugar es excelente para comer algunos de los platillos típicos y por supuesto beber la tradicional cerveza a un buen precio. Encuentras de todo en el mercado frutas, verduras, flores.. de todo.",50,"San Luis Potosi, Mexico",Trip type: Traveled as a couple
Date of experience: December 2019,Open Market,"The market is very close to Marienplatz. We walked past a day after Christmas and it was closed. We came back the next day and it was open. It is a combination of solid buildings and tents.There were quite a few stalls around the area. They sold lots of different items, from fresh produce to pretzels, to cheese. It was quite a nice market to walk around to see all the different items on offer. There are also a variety of shops around the market area. There is also a bar in the middle with seating which was a nice place to just take a break. The restaurant within the market are set in tents, but this was during winter.The area itself was also quite interesting with statues and other sculptures scattered around the area. Quite a nice place for food or some sights, particularly since it is down the road from Marienplatz.",40,"Auckland Central, New Zealand",
Date of experience: August 2019,"Не просто рынок, а площадка для праздников","Виктуалиенмаркт - это продовольственный рынок в старом городе, который размещается на этом месте с 1807 года. Здесь можно найти все: свежие фрукты и овощи, специи, мясные и рыбные лавки, сыры, вина и крепкие напитки, хлеб, деликатесы, цветы. Летом здесь пивной сад с празднично украшенным майским деревом. А еще на рынке 20 небольших закусочных (Imbiss-Stände) и кафе. Ежегодно на рынке проходит мероприятие - Танц дер Марктвайбер (Tanz der Marktweiber -Танец базарных торговок). Продавщицы рынка выступают в карнавальных костюмах. Еще один праздник, который проходит здесь - Праздник спаржи - Шпаргельанштих (Spargelanstich). А в  первый вторник августа празднуется Gärtnerjahrtag - День садовников. В этот день на рынке нарядные юноши и девушки дарят прохожим цветы, утром концерт традиционной баварской музыки и процессия тракторов идет от рынка до пивного ресторана Хофбройхаус. Так же в августе проводится Праздник фонтанов (Brunnenfest). Ну и, конечно же, рождественская ярмарка - Winterzauber (Зимнее волшебство). Рынок работает ежедневно, кроме воскресенья и праздничных дней.",40,"Moscow, Russia",
Date of experience: January 2020,これぞドイツ！,地元の方から観光客までたくさんの人でにぎわっています。フルーツやジャム、ソーセージ、ビールなどあらゆるものがそろっています。ミュンヘンに来たら是非立ち寄ったらいいと思います。,40,,
Date of experience: March 2020,Lovely beer in the beer garden,Nice cheap beer! Lovely atmosphere sitting in the sun drinking.We didn’t order any food from the market but it looks good!,50,"Seaham, United Kingdom",Trip type: Traveled as a couple
Date of experience: September 2019,Un mercato all'aperto,Rispetto ad altri mercati di altre città europee questo si differenzia dal fatto di non essere confinato all'interno di un edificio ma dal fatto di essere composto da tante bancarelle e gazebo fissi tutti in un'area all'aperto. Si trova tanta gastronomia e ortofrutta ed è piacevole curiosare tra i tanti prodotti spesso diversi da quelli a cui siamo abituati (specie gli ortaggi). Si trova in pieno centro città a pochi metri dalla Marienplatz.,40,,
Date of experience: April 2019,市民の憩い,ウィーンのNaschmarktと双璧と思っていたが実際行ってみると印象は全然違った。Naschmarktは駅前商店街の様だった。こちらは公園の様な広場に色々の店舗があり、確か訪問したのは平日の夕方だったが休日と間違える程沢山の人出で賑わっていた。そこここでテーブルを囲みビールをいとおしげに，うまそうに飲みながら歓談していたのが印象的だった。土産物屋もあり記念にマグネットを数点買った。都会のど真ん中にこんなゆったりとした空間があり、またまたびっくりした。は,40,"Wakayama, Japan",
Date of experience: March 2020,Ate here three times! ,We loved sitting outside even though it was chilly. The sun shines on this little spot of heaven. Beer is good and plenty of food options.,50,"Louisville, Kentucky",Trip type: Traveled as a couple
Date of experience: March 2020,Chocolate & More am Viktualienmarkt,Beste heisse Schokolade am Viktualienmarkt - Westenriederstr.15Di - SA 10.00 - 18.00 UhrBei Bedarf Hitzefrei oder Sommerpause,50,,Trip type: Traveled solo
Date of experience: December 2019,Каждый раз сюда при посещении Мюнхена.,"Добрый день! В первый раз, когда был в Мюнхене, попал на данный рынок. И с тех пор каждый раз при посещении Мюнхена иду сюда сам и веду семью, друзей, коллег. Может быть, этот рынок не такой тематический, как рождественские ярмарки и т.п., но мне нравится. Тут можно и поесть и попить, купить подарки, фрукты, овощи, сыры. Нужно только внимательно изучить время работы. К сожалению, в воскресенье он в основном не работает. Вкусно, приятно, хорошо, всегда поднимается настроение:) Особенно после похода по близлежащим магазинам. Кстати, есть туалет, что немаловажно и часто отсутствует на других рынках. К тому же рядом несколько приличных ресторанов!!! И можно до ужина принять аперитив или после - дижестив:) Всем приятного!",50,"Moscow, Russia",
Date of experience: February 2020,Comidas e comidas,"Pra quem deseja conhecer um pouco da culinária e seus artigos para cozinhar, ali é um bom lugar. Ao estilo ""mercadão de São paulo"" a céu aberto você se depara com várias comidas, lanches, cervejas, frutas doces e afins. Gastei em 2 laclnches de salsicha e 1 cerveja 11.50 euros.É bacana de ir, enche os olhos",50,"Campinas, SP",Trip type: Traveled as a couple
Date of experience: September 2019,マーケット,観光客だけでなく地元の人もたくさん利用しているマーケットです。野菜、果物、肉、惣菜、花、見ているだけでも楽しくなります。,30,"Osaka, Japan",Trip type: Traveled as a couple
