DATE,Alte Pinakothek,Olympiapark,Bayerisches Nationalmuseum,Bayerisches Staatsoper,Deutsches Museum,Kleine Olympiahalle,Museum Brandhorst,Museum Mensch und Natur,Muenchner Kammerspiele,Muenchner Stadtmuseum,Nationaltheater,Neue Pinakothek,Olympia-Eissportzentrum,Olympiahalle,Olympiastadion,Olympiaturm,Pinakothek der Moderne,Prinzregententheater,Residenztheater,Schack galerie,Lenbachhaus,Staatstheater am Gaertnerplatz,Tierpark Hellabrunn,AnzahlFall
2000-01-01,23178.0,57396.03004,23050.0,2969.1,61758.0,4600.0,0.0,0.0,0.0,10637.0,51961.1,21081.0,53358.0,40500.0,6853.0,27558.0,0.0,0.0,18730.6,3830.0,12687.0,19525.9,33033.0,0.0
2000-02-01,20684.0,57396.03004,16000.0,658.8,59371.0,57396.03004,0.0,0.0,0.0,15769.0,44496.0,17635.0,38532.0,85800.0,172987.0,32847.0,0.0,0.0,19830.1,1553.0,13433.0,18896.3,39591.0,0.0
2000-03-01,26725.0,6500.0,3827.0,4150.0,99024.0,300.0,0.0,0.0,0.0,18051.0,50777.7,25439.0,39747.0,62600.0,244351.0,44306.0,0.0,0.0,19615.3,1333.0,19288.0,19523.1,45113.0,0.0
2000-04-01,16750.0,1600.0,3491.0,4591.4,111939.0,800.0,0.0,0.0,0.0,10351.0,51246.1,14287.0,30436.0,17400.0,348904.0,81363.0,0.0,0.0,15786.0,814.0,16879.0,17381.0,152503.0,0.0
2000-05-01,21291.0,1750.0,2243.0,527.6,91902.0,450.0,0.0,0.0,0.0,13844.0,45895.5,14405.0,6039.0,97100.0,230485.0,72293.0,0.0,0.0,14613.7,587.0,14070.0,18199.2,82923.0,0.0
2000-06-01,28401.0,39000.0,5042.0,6150.3,75860.0,1000.0,0.0,0.0,0.0,14741.0,28653.6,18023.0,9668.0,48000.0,20423.0,73379.0,0.0,0.0,15231.0,754.0,12661.0,15472.1,100089.0,0.0
2000-07-01,37193.0,101500.0,10142.0,9342.8,144578.0,57396.03004,0.0,0.0,0.0,26468.0,57351.7,23785.0,13580.0,22500.0,197930.0,98156.0,0.0,0.0,16956.3,1749.0,18039.0,18774.39386,115589.0,0.0
2000-08-01,29980.0,461000.0,6378.0,11436.97475,110022.0,57396.03004,0.0,0.0,0.0,13660.0,18822.57375,25509.0,22281.0,4800.0,293106.0,110355.0,0.0,0.0,18793.47798,1264.0,13161.0,18774.39386,147673.0,0.0
2000-09-01,30711.0,121700.0,12439.0,11436.97475,81054.0,4500.0,0.0,0.0,0.0,12039.0,24402.7,14703.0,19993.0,11100.0,264932.0,79041.0,0.0,0.0,1202.3,1123.0,12239.0,6599.8,87865.0,0.0
2000-10-01,37823.0,150.0,17788.0,5229.8,99071.0,600.0,0.0,0.0,0.0,22603.0,50976.5,29675.0,33380.0,122400.0,219020.0,61924.0,0.0,0.0,20246.9,4827.0,28407.0,18009.5,72083.0,0.0
2000-11-01,22069.0,2150.0,10539.0,952.7,55319.0,57396.03004,0.0,0.0,0.0,13024.0,53944.6,23474.0,30655.0,148000.0,208177.0,45404.0,0.0,0.0,18496.3,1038.0,14790.0,17701.2,50420.0,0.0
2000-12-01,16812.0,2100.0,30894.0,3968.2,56429.0,57396.03004,0.0,0.0,0.0,10795.0,48236.3,14519.0,45316.0,74900.0,155996.0,39339.0,0.0,0.0,20595.7,695.0,13412.0,21360.2,32955.0,0.0
2001-01-01,19988.0,57396.03004,21066.0,5549.4,64121.0,2700.0,0.0,0.0,0.0,13857.0,50435.9,25520.0,49762.0,37600.0,39000.0,33775.0,0.0,0.0,19263.5,963.0,15545.0,19166.8,30842.0,0.0
2001-02-01,54045.0,5000.0,9018.0,4916.9,56968.0,3000.0,0.0,0.0,0.0,14256.0,48132.6,24152.0,34640.0,84700.0,156504.0,34124.0,0.0,0.0,18433.7,1023.0,18271.0,16701.6,35044.0,0.0
2001-03-01,70567.0,57396.03004,6139.0,4987.5,83484.0,2300.0,0.0,0.0,0.0,15469.0,47383.8,34109.0,33820.0,61100.0,243017.0,43491.0,0.0,0.0,22059.6,1050.0,21122.0,19840.8,37511.0,0.0
2001-04-01,56436.0,13800.0,5484.0,3493.2,127512.0,57396.03004,0.0,0.0,0.0,11948.0,49767.0,35327.0,34640.0,47000.0,253221.0,68802.0,0.0,0.0,17756.1,803.0,19290.0,17172.4,73310.0,0.0
2001-05-01,31642.0,2150.0,3314.0,7243.8,68935.0,57396.03004,0.0,0.0,0.0,9598.0,45355.4,27492.0,6607.0,47300.0,225037.0,60340.0,0.0,0.0,19894.6,980.0,16457.0,18582.3,100689.0,0.0
2001-06-01,32068.0,36500.0,3952.0,11436.97475,108501.0,900.0,0.0,0.0,0.0,12112.0,27596.5,22297.0,7237.0,27500.0,149815.0,65574.0,0.0,0.0,19662.1,626.0,14824.0,15944.8,104400.0,0.0
2001-07-01,39101.0,43300.0,3612.0,7634.1,122411.0,57396.03004,0.0,0.0,0.0,14317.0,62170.4,21802.0,8220.0,67100.0,132095.0,91481.0,0.0,0.0,4417.6,645.0,15394.0,16975.3,125044.0,0.0
2001-08-01,47023.0,509500.0,3162.0,11436.97475,111440.0,57396.03004,0.0,0.0,0.0,9501.0,18822.57375,27620.0,9573.0,57396.03004,179986.0,98968.0,0.0,0.0,18793.47798,752.0,12854.0,18774.39386,169785.0,0.0
2001-09-01,24144.0,20150.0,4228.0,11436.97475,102080.0,4400.0,0.0,0.0,0.0,23257.0,18822.57375,21816.0,22568.0,83000.0,264425.0,59295.0,0.0,0.0,18793.47798,733.0,18231.0,10162.8,69790.0,0.0
2001-10-01,18936.0,6600.0,3305.0,3902.7,82346.0,57396.03004,0.0,0.0,0.0,20156.0,5509.6,16196.0,22945.0,69200.0,245681.0,72935.0,0.0,0.0,16217.7,535.0,22001.0,18160.1,110838.0,0.0
2001-11-01,21798.0,100.0,8067.0,4843.1,54556.0,57396.03004,0.0,0.0,0.0,12704.0,46077.1,21578.0,40086.0,140900.0,214867.0,38185.0,0.0,0.0,21672.2,891.0,16763.0,21247.5,39594.0,0.0
2001-12-01,20738.0,4800.0,19433.0,4126.2,53243.0,57396.03004,0.0,0.0,0.0,14671.0,52169.3,12606.0,41421.0,96800.0,119350.0,30761.0,0.0,0.0,23092.3,651.0,12483.0,23912.0,26573.0,0.0
