
Olympiapark
Spiridon-Louis-Ring 21, 80809 Munich, Germany

 Sunday   ,  4:00 AM   ,   1 , Usually not busy
 Sunday   ,  5:00 AM   ,   1 , Usually not busy
 Sunday   ,  6:00 AM   ,   1 , Usually not busy
 Sunday   ,  7:00 AM   ,   1 , Usually not busy
 Sunday   ,  8:00 AM   ,   4 , Usually not busy
 Sunday   ,  9:00 AM   ,  10 , Usually not busy
 Sunday   ,  10:00 AM  ,  21 , Usually not too busy
 Sunday   ,  11:00 AM  ,  36 , Usually not too busy
 Sunday   ,  12:00 PM  ,  54 , Usually a little busy
 Sunday   ,  1:00 PM   ,  70 , Usually a little busy
 Sunday   ,  2:00 PM   ,  83 , Usually as busy as it gets
 Sunday   ,  3:00 PM   ,  91 , Usually as busy as it gets
 Sunday   ,  4:00 PM   ,  94 , Usually as busy as it gets
 Sunday   ,  5:00 PM   ,  89 , Usually as busy as it gets
 Sunday   ,  6:00 PM   ,  77 , Usually a little busy
 Sunday   ,  7:00 PM   ,  61 , Usually a little busy
 Sunday   ,  8:00 PM   ,  43 , Usually not too busy
 Sunday   ,  9:00 PM   ,  27 , Usually not too busy
 Sunday   ,  10:00 PM  ,  15 , Usually not busy
 Sunday   ,  11:00 PM  ,   7 , Usually not busy
 Sunday   ,  12:00 AM  ,   2 , Usually not busy
 Sunday   ,  1:00 AM   ,   0 , 
 Sunday   ,  2:00 AM   ,   1 , Usually not busy
 Sunday   ,  3:00 AM   ,   1 , Usually not busy
 Monday   ,  4:00 AM   ,   1 , Usually not busy
 Monday   ,  5:00 AM   ,   0 , 
 Monday   ,  6:00 AM   ,   2 , Usually not busy
 Monday   ,  7:00 AM   ,   4 , Usually not busy
 Monday   ,  8:00 AM   ,   7 , Usually not busy
 Monday   ,  9:00 AM   ,  11 , Usually not busy
 Monday   ,  10:00 AM  ,  16 , Usually not busy
 Monday   ,  11:00 AM  ,  21 , Usually not too busy
 Monday   ,  12:00 PM  ,  27 , Usually not too busy
 Monday   ,  1:00 PM   ,  31 , Usually not too busy
