
Olympiaturm
Olympiapark, Spiridon-Louis-Ring 7, 80809 München, Germany

 Sunday   ,  6:00 AM   ,   0 , 
 Sunday   ,  7:00 AM   ,   0 , 
 Sunday   ,  8:00 AM   ,   0 , 
 Sunday   ,  9:00 AM   ,   0 , 
 Sunday   ,  10:00 AM  ,   8 , Usually not busy
 Sunday   ,  11:00 AM  ,  15 , Usually not busy
 Sunday   ,  12:00 PM  ,  21 , Usually not too busy
 Sunday   ,  1:00 PM   ,  28 , Usually not too busy
 Sunday   ,  2:00 PM   ,  32 , Usually not too busy
 Sunday   ,  3:00 PM   ,  32 , Usually not too busy
 Sunday   ,  4:00 PM   ,  28 , Usually not too busy
 Sunday   ,  5:00 PM   ,  21 , Usually not too busy
 Sunday   ,  6:00 PM   ,  13 , Usually not busy
 Sunday   ,  7:00 PM   ,   6 , Usually not busy
 Sunday   ,  8:00 PM   ,   4 , Usually not busy
 Sunday   ,  9:00 PM   ,   2 , Usually not busy
 Sunday   ,  10:00 PM  ,   0 , 
 Sunday   ,  11:00 PM  ,   0 , 
 Monday   ,  6:00 AM   ,   0 , 
 Monday   ,  7:00 AM   ,   0 , 
 Monday   ,  8:00 AM   ,   0 , 
 Monday   ,  9:00 AM   ,   0 , 
 Monday   ,  10:00 AM  ,   2 , Usually not busy
 Monday   ,  11:00 AM  ,   2 , Usually not busy
 Monday   ,  12:00 PM  ,   8 , Usually not busy
 Monday   ,  1:00 PM   ,  17 , Usually not busy
 Monday   ,  2:00 PM   ,  26 , Usually not too busy
 Monday   ,  3:00 PM   ,  26 , Usually not too busy
 Monday   ,  4:00 PM   ,  19 , Usually not busy
 Monday   ,  5:00 PM   ,  13 , Usually not busy
 Monday   ,  6:00 PM   ,   8 , Usually not busy
 Monday   ,  7:00 PM   ,   8 , Usually not busy
 Monday   ,  8:00 PM   ,   6 , Usually not busy
 Monday   ,  9:00 PM   ,   4 , Usually not busy
 Monday   ,  10:00 PM  ,   0 , 
 Monday   ,  11:00 PM  ,   0 , 
 Tuesday  ,  6:00 AM   ,   0 , 
 Tuesday  ,  7:00 AM   ,   0 , 
 Tuesday  ,  8:00 AM   ,   0 , 
 Tuesday  ,  9:00 AM   ,   0 , 
 Tuesday  ,  10:00 AM  ,  13 , Usually not busy
 Tuesday  ,  11:00 AM  ,  21 , Usually not too busy
 Tuesday  ,  12:00 PM  ,  28 , Usually not too busy
