,place,metric,city_district,type_door
0,Alte Pinakothek,4482188.0,Maxvorstadt,indoors
1,Olympiapark,17573175.060075093,Milbertshofen-Am Hart,outdoors
2,Bayerisches Nationalmuseum,2083514.0,Altstadt-Lehel,indoors
3,Bayerisches Staatsoper,1245927.6404833067,Altstadt-Lehel,indoors
4,Deutsches Museum,21190113.0,Ludwigsvorstadt-Isarvorstadt,indoors
5,Kleine Olympiahalle,7347908.093867339,Milbertshofen-Am Hart,indoors
6,Museum Brandhorst,1299893.0,Maxvorstadt,indoors
7,Museum Mensch und Natur,2026312.0,Neuhausen-Nymphenburg,indoors
8,Muenchner Kammerspiele,2894572.5336898575,Altstadt-Lehel,indoors
9,Muenchner Stadtmuseum,2758253.0,Altstadt-Lehel,indoors
10,Nationaltheater,9922654.643640362,Altstadt-Lehel,indoors
11,Neue Pinakothek,3666480.0,Maxvorstadt,indoors
12,Olympia-Eissportzentrum,6308169.0300375465,Schwabing-West,indoors
13,Olympiahalle,14927786.450563205,Milbertshofen-Am Hart,indoors
14,Olympiastadion,19151940.0,Milbertshofen-Am Hart,outdoors
15,Olympiaturm,12047965.0,Milbertshofen-Am Hart,outdoors
16,Pinakothek der Moderne,6098656.439093484,Maxvorstadt,indoors
17,Prinzregententheater,3891157.684082161,Au-Haidhausen,indoors
18,Munich Residenz,4086764.042275536,Altstadt-Lehel,indoors
19,Schack galerie,350999.58545797924,Altstadt-Lehel,indoors
20,Lenbachhaus,4960035.935851786,Maxvorstadt,indoors
21,Staatstheater am Gaertnerplatz,3938562.0084717283,Ludwigsvorstadt-Isarvorstadt,indoors
22,Tierpark Hellabrunn,19695250.0,Untergiesing-Harlaching,outdoors
