place_name,provenance_EU apart from GER,provenance_Munich,provenance_Outisde EU,provenance_outside Munich,visit_Traveled as a couple,visit_Traveled on business,visit_Traveled solo,visit_Traveled with family,visit_Traveled with friends
Allianz Arena,0,0,1,0,0,0,0,0,0
Eisbach,0,0,1,0,0,0,0,0,0
Museum Brandhorst,1,0,0,0,0,0,0,0,0
Neues Rathaus Munich,0,0,1,0,1,0,0,0,0
Asamkirche Munich,1,0,0,0,0,0,0,0,0
Asamkirche Munich,0,0,0,1,0,0,0,0,0
Pinakothek der Moderne,0,0,1,0,0,0,0,0,0
Pinakothek der Moderne,0,0,1,0,1,0,0,0,0
Pinakothek der Moderne,1,0,0,0,1,0,0,0,0
Lenbachhaus,1,0,0,0,0,0,0,0,0
Eisbach,1,0,0,0,0,0,0,0,0
Eisbach,1,0,0,0,0,0,0,0,0
Eisbach,0,1,0,0,0,0,0,0,0
Munich Residenz,1,0,0,0,0,0,1,0,0
Marienplatz,0,0,1,0,0,0,0,0,0
Eisbach,1,0,0,0,0,0,0,0,0
Marienplatz,0,0,1,0,1,0,0,0,0
Marienplatz,1,0,0,0,0,0,0,0,0
Marienplatz,0,1,0,0,1,0,0,0,0
Marienplatz,0,0,1,0,1,0,0,0,0
Marienplatz,0,0,0,1,0,0,0,0,0
Marienplatz,0,1,0,0,0,0,0,0,0
Marienplatz,0,0,1,0,0,0,0,0,0
Marienplatz,0,0,1,0,1,0,0,0,0
Olympiapark,1,0,0,0,0,0,0,0,0
Olympiapark,0,0,0,1,1,0,0,0,0
English Garden,1,0,0,0,0,0,0,0,0
English Garden,0,0,1,0,0,0,0,0,0
BMW Museum,1,0,0,0,0,0,0,0,0
BMW Museum,1,0,0,0,0,0,0,0,0
Olympiaturm,1,0,0,0,0,0,0,1,0
Olympiaturm,0,0,1,0,1,0,0,0,0
Olympiaturm,1,0,0,0,0,0,0,1,0
Olympiaturm,1,0,0,0,0,0,0,0,0
Olympiapark,0,0,1,0,0,0,0,0,0
English Garden,1,0,0,0,0,0,1,0,0
English Garden,0,0,1,0,1,0,0,0,0
English Garden,1,0,0,0,1,0,0,0,0
English Garden,0,0,0,1,1,0,0,0,0
English Garden,1,0,0,0,0,0,0,0,0
English Garden,0,0,0,1,1,0,0,0,0
English Garden,0,1,0,0,1,0,0,0,0
English Garden,1,0,0,0,0,0,0,0,0
