date,title,text,rating,visitor_origin,visit
Date of experience: August 2020,Groot!!!,Echt een heel mooi stadion. Parkeren als bezoeker kan gewoon voor de deur. We hadden een stadion tour geboekt en museum tour. Zo’n combi ticket kost €19. Op het eind kom je in de shop. Al met al wel leuk om te doen!,40,"Bergen op Zoom, The Netherlands",
Date of experience: July 2020,Stadion,"Voetbalstadion...😐 van Bayern München... heel groot, maar niet zo groot als dat van BD.   Toegang duurder dan een bioscoopkaartje. ",20,,
Date of experience: July 2020,Toller Einblick in die Geschichte des FCB + der Allianz Arena,"Trotz einiger Coronabedingter Einschränkungen bei der Besichtigung der Allianz Arena, ist es sehr imposant in das Stadion zu blicken, auf der Videoleinwand, auf Infotafeln oder von den Guides die ganzen Informationen zu bekommen. Der nachfolgende Besuch des FCB Museums ist zeigt",50,"Salem, Germany",
Date of experience: July 2020,Arena Tour ohne Arena-Tour,"Eine absolute Frechheit bietet die Allianz-Arena Stadion-Tour. Es ist zwar auf der Seite des FC Bayern beschrieben, dass eine Besichtigung der Zeit nicht möglich ist. Nichts desto trotz wird diese vor Ort für 8 Euro pro Person angeboten. Das einzige was man für dieses Geld",10,"Siegen, Germany",
Date of experience: June 2020,FC Bayern,Schönes 🏟 Stadion Ist wirklich einen Besuch Wert . Werde wieder kommen wenn es wieder spiele mit Zuschauern gibt ,50,,
Date of experience: August 2020,Groot!!!,Echt een heel mooi stadion. Parkeren als bezoeker kan gewoon voor de deur. We hadden een stadion tour geboekt en museum tour. Zo’n combi ticket kost €19. Op het eind kom je in de shop. Al met al wel leuk om te doen!,40,"Bergen op Zoom, The Netherlands",Trip type: Traveled with family
Date of experience: July 2020,Stadion,"Voetbalstadion...😐 van Bayern München... heel groot, maar niet zo groot als dat van BD. Toegang duurder dan een bioscoopkaartje.",20,,
Date of experience: July 2020,Toller Einblick in die Geschichte des FCB + der Allianz Arena,"Trotz einiger Coronabedingter Einschränkungen bei der Besichtigung der Allianz Arena, ist es sehr imposant in das Stadion zu blicken, auf der Videoleinwand, auf Infotafeln oder von den Guides die ganzen Informationen zu bekommen. Der nachfolgende Besuch des FCB Museums ist zeigt die komplette Historie des Vereins und war für alle Familienmitglieder interessant, auch ohne das wir ""Fußballverückte"" sind.",50,"Salem, Germany",Trip type: Traveled with family
Date of experience: July 2020,Arena Tour ohne Arena-Tour,"Eine absolute Frechheit bietet die Allianz-Arena Stadion-Tour. Es ist zwar auf der Seite des FC Bayern beschrieben, dass eine Besichtigung der Zeit nicht möglich ist. Nichts desto trotz wird diese vor Ort für 8 Euro pro Person angeboten. Das einzige was man für dieses Geld machen kann, ist sich auf einen kleinen abgesperrten Teil der Trübune zu setzen. Wie man eine Stadion- Führung auch in Corona Zeit durchführt zeigt das Olympia-Stadion.",10,"Siegen, Germany",Trip type: Traveled as a couple
Date of experience: June 2020,FC Bayern,Schönes 🏟 StadionIst wirklich einen Besuch Wert .Werde wieder kommen wenn es wieder spiele mit Zuschauern gibt,50,,
Date of experience: August 2019,Es ist einen Besuch wert.,"Auch für Menschen,  die nicht viel mit dem Fußball zu tun haben, ist diese Anlage atemberaubend! Von außen ist schon besonders schön, aber von innen wirklich beeindruckend. Wir haben das Stadion mit einer Führung besucht, dass man hier Einblick in viele Bereiche bekommen kann, in die Presseboxen, die Gästekabine und so weiter. Man kann aus dem Spielertunnel heraus sehr nah an den Rasen herangehen und sich auf die Gästebank setzen, ein tolles Gefühl! Beeindruckendes Bauwerk direkt an der Autobahn und auch mit der S-Bahn gut zu erreichen.",40,"Mutters, Austria",
Date of experience: February 2020,Estadio👌,"Es un templo para los amantes del fútbol, Su arquitectura es magnífica. Al verlo de lejos no te imaginas lo impresionante que puede ser tanto por dentro como por fuera.",50,"San Luis Potosi, Mexico",Trip type: Traveled as a couple
Date of experience: October 2019,Esempio di stadio,"Da prendere come modello. Uno stadio con la s maiuscola.   Da vedere anche di notte, quando i pannelli di rivestimento si illuminano . E' possibile fare un tour all interno al prezzo di 20 euro circa.",50,"Ravenna, Italy",Trip type: Traveled solo
Date of experience: February 2020,Munich bayern tour ,I had a nice time on the bayern Munich tour and museum lovely stadium once again lovely walk from trainstation to the stadium lol,50,"Newcastle upon Tyne, United Kingdom",Trip type: Traveled solo
Date of experience: April 2019,steril,"nicht zu empfehlen , Parkplätze zu teuer , am Ende der Welt , keine Fantrennung , zu steril innen drin , nicht zu empfehlen",10,"Munich, Germany",
