date,title,text,rating,visitor_origin,visit
Erlebnisdatum: Juli 2020,Toller Einblick in die Geschichte des FCB + der Allianz Arena,"Trotz einiger Coronabedingter Einschränkungen bei der Besichtigung der Allianz Arena, ist es sehr imposant in das Stadion zu blicken, auf der Videoleinwand, auf Infotafeln oder von den Guides die ganzen Informationen zu bekommen. Der nachfolgende Besuch des FCB Museums ist zeigt",50,"Salem, Deutschland",
Erlebnisdatum: Juli 2020,Arena Tour ohne Arena-Tour,"Eine absolute Frechheit bietet die Allianz-Arena Stadion-Tour. Es ist zwar auf der Seite des FC Bayern beschrieben, dass eine Besichtigung der Zeit nicht möglich ist. Nichts desto trotz wird diese vor Ort für 8 Euro pro Person angeboten. Das einzige was man für dieses Geld",10,"Siegen, Deutschland",
Erlebnisdatum: Juni 2020,FC Bayern,Schönes 🏟 Stadion Ist wirklich einen Besuch Wert . Werde wieder kommen wenn es wieder spiele mit Zuschauern gibt ,50,,
Erlebnisdatum: August 2019,Es ist einen Besuch wert.,"Auch für Menschen,  die nicht viel mit dem Fußball zu tun haben, ist diese Anlage atemberaubend! Von außen ist schon besonders schön, aber von innen wirklich beeindruckend. Wir haben das Stadion mit einer Führung besucht, dass man hier Einblick in viele Bereiche bekommen kann,",40,"Mutters, Österreich",
Erlebnisdatum: April 2019,steril,"nicht zu empfehlen , Parkplätze zu teuer , am Ende der Welt , keine Fantrennung , zu steril innen drin , nicht zu empfehlen",10,"München, Deutschland",
Erlebnisdatum: Juli 2020,Toller Einblick in die Geschichte des FCB + der Allianz Arena,"Trotz einiger Coronabedingter Einschränkungen bei der Besichtigung der Allianz Arena, ist es sehr imposant in das Stadion zu blicken, auf der Videoleinwand, auf Infotafeln oder von den Guides die ganzen Informationen zu bekommen. Der nachfolgende Besuch des FCB Museums ist zeigt die komplette Historie des Vereins und war für alle Familienmitglieder interessant, auch ohne das wir ""Fußballverückte"" sind.",50,"Salem, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: Juli 2020,Arena Tour ohne Arena-Tour,"Eine absolute Frechheit bietet die Allianz-Arena Stadion-Tour. Es ist zwar auf der Seite des FC Bayern beschrieben, dass eine Besichtigung der Zeit nicht möglich ist. Nichts desto trotz wird diese vor Ort für 8 Euro pro Person angeboten. Das einzige was man für dieses Geld machen kann, ist sich auf einen kleinen abgesperrten Teil der Trübune zu setzen. Wie man eine Stadion- Führung auch in Corona Zeit durchführt zeigt das Olympia-Stadion.",10,"Siegen, Deutschland",Reiseart: als Paar
Erlebnisdatum: Juni 2020,FC Bayern,Schönes 🏟 StadionIst wirklich einen Besuch Wert .Werde wieder kommen wenn es wieder spiele mit Zuschauern gibt,50,,
Erlebnisdatum: August 2019,Es ist einen Besuch wert.,"Auch für Menschen,  die nicht viel mit dem Fußball zu tun haben, ist diese Anlage atemberaubend! Von außen ist schon besonders schön, aber von innen wirklich beeindruckend. Wir haben das Stadion mit einer Führung besucht, dass man hier Einblick in viele Bereiche bekommen kann, in die Presseboxen, die Gästekabine und so weiter. Man kann aus dem Spielertunnel heraus sehr nah an den Rasen herangehen und sich auf die Gästebank setzen, ein tolles Gefühl! Beeindruckendes Bauwerk direkt an der Autobahn und auch mit der S-Bahn gut zu erreichen.",40,"Mutters, Österreich",
Erlebnisdatum: April 2019,steril,"nicht zu empfehlen , Parkplätze zu teuer , am Ende der Welt , keine Fantrennung , zu steril innen drin , nicht zu empfehlen",10,"München, Deutschland",
