date,title,text,rating,visitor_origin,visit
Erlebnisdatum: März 2020,Architektonisches Vorbild für die Eremitage,"König Ludwig I. war dem Ideal der Volksbildung verpflichtet. Er wollte die Kunstwerke aus der von Kurfürst Karl Theodors gegründeten Galerie im Hofgarten und die auf verschiedene Schlösser verteilten Bilder der Wittelsbacher, ergänzt durch zahlreiche Meisterwerke, die er durch",50,"München, Deutschland",
Erlebnisdatum: Juli 2020,Einfach prachtvoll,"Einfach phantastisch, man ist schier erschlagen von der Fülle der hochkarätigen Kunst. Meisterhaft präsentiert, das Cafe eine wohltuende Oase um Kraft zu schöpfen. Wunderschöne, passende Architektur. Ich kann nicht nachvollziehen, wie man das als "" Durcheinander"" bezeichnen",50,"Dresden, Deutschland",
Erlebnisdatum: Oktober 2019,Sehr viele verschiedene schöne werke sind hier versammelt.,Wir kamen mit der Straßenbahn an und haben fast den ganzen Tag (über 5 Stunden) in den Pinotheken verbracht. Viele verschiedene schöne Werke sind hier ausgestellt!!!,50,"Baden-Baden, Deutschland",
Erlebnisdatum: Juni 2020,"Immer wieder schön, die AltenMeister","Wir dachten, dass die Cortona-Beschränkungen uns behindern würden, aber so wenig Besucher haben wir in der Alten Pinakothek noch nie gesehen.War ein wunderbares Wiedersehen mit unseren Lieblingsbildern!",50,"Salzweg, Deutschland",
Erlebnisdatum: Juni 2020,Masse statt Klasse,"Hier hängen sehr viele Bilder durcheinander und manche über einander.  Dies wirkt sehr unübersichtlich.  Zudem sind natürlich die Aufsichtspersonal Chaoten.  Wenn man gerne in einer Flohmarkt geht, ist man hier gut aufgehoben.  Ja, es gibt ein paar Schätze zwischen den Gruscht.",40,"Stuttgart, Deutschland",
Erlebnisdatum: März 2020,Architektonisches Vorbild für die Eremitage,"König Ludwig I. war dem Ideal der Volksbildung verpflichtet. Er wollte die Kunstwerke aus der von Kurfürst Karl Theodors gegründeten Galerie im Hofgarten und die auf verschiedene Schlösser verteilten Bilder der Wittelsbacher, ergänzt durch zahlreiche Meisterwerke, die er durch seine Kunstberater aufkaufen ließ, der Öffentlichkeit zugänglich machen. König Ludwig I. beauftragte seinen Hofarchitekten Leo von Klenze mit dem Bau eines Museumsgebäudes nördlich des Königsplatzes. So entstand von 1826 bis 1836 die Alte Pinakothek mit Gemälden von Malern des Mittelalters bis zur Mitte des 18. Jahrhunderts. Sie ist eine der bedeutendsten Gemäldegalerien der Welt. Die Bestände sind Teil der Bayerischen Staatsgemäldesammlungen. König Ludwig selbst liebte besonders die altdeutschen Gemälde und Meisterwerke der italienischen Renaissance. Der Architekt Leo von Klenze hat mit der Pinakothek einen wegweisenden Museumsbau geschaffen, der mit seiner Aneinanderreihung von großen, durch Oberlicht beleuchteten Sälen besticht. Zar Nikolaus I. fand bei einem Besuch in München solchen Gefallen an der Alten Pinakothek, dass er Leo von Klenze den Auftrag zur Planung der Neuen Eremitage in Sankt Petersburg gab, die zwischen 1839 und 1852 entstand. Wir Münchner, Zugereiste und Touristen lieben es die Werke von Rubens, Dürer und Altdorfer in der Alten Pinakothek zu bestaunen. Auf meiner Reisewebsite toeightycountries.com  finden sie mehr über die klassizistischen Gebäude von Ludwig I. in München.",50,"München, Deutschland",
Erlebnisdatum: Juli 2020,Einfach prachtvoll,"Einfach phantastisch, man ist schier erschlagen von der Fülle der hochkarätigen Kunst. Meisterhaft präsentiert, das Cafe eine wohltuende Oase um Kraft zu schöpfen. Wunderschöne, passende Architektur. Ich kann nicht nachvollziehen, wie man das als "" Durcheinander"" bezeichnen kann, denn es werden ja Epochen präsentiert, und keine Katalogausstellung eines einzelnen Meisters.  Wir waren jedenfalls rundherum begeistert, auch von der zwanglosen Leichtigkeit, die das Museum mit sonnenbadenden auf dem gepflegten Rasen einrahmt. Alles andere als verknöchert akademisch. Und noch etwas : am Sonntag für 1€ pro Person in eine solch hochkarätige Sammlung eingelassen zu werden ( betrifft auch die neue Pin. und die Pin der Moderne ) ist einfach grandios. Da sollten sich mal Städte wie das sogenannte Elbflorenz Dresden eine Scheibe von abschneiden. So kann man auch als Familie mit Kindern Kunst genießen. Sehr gut !!!!",50,"Dresden, Deutschland",
Erlebnisdatum: Oktober 2019,Sehr viele verschiedene schöne werke sind hier versammelt.,Wir kamen mit der Straßenbahn an und haben fast den ganzen Tag (über 5 Stunden) in den Pinotheken verbracht. Viele verschiedene schöne Werke sind hier ausgestellt!!!,50,"Baden-Baden, Deutschland",
Erlebnisdatum: Juni 2020,"Immer wieder schön, die AltenMeister","Wir dachten, dass die Cortona-Beschränkungen uns behindern würden, aber so wenig Besucher haben wir in der Alten Pinakothek noch nie gesehen.War ein wunderbares Wiedersehen mit unseren Lieblingsbildern!",50,"Salzweg, Deutschland",
Erlebnisdatum: Juni 2020,Masse statt Klasse,"Hier hängen sehr viele Bilder durcheinander und manche über einander.  Dies wirkt sehr unübersichtlich.  Zudem sind natürlich die Aufsichtspersonal Chaoten.  Wenn man gerne in einer Flohmarkt geht, ist man hier gut aufgehoben.  Ja, es gibt ein paar Schätze zwischen den Gruscht.",40,"Stuttgart, Deutschland",
