date,title,text,rating,visitor_origin,visit
Erlebnisdatum: August 2020,Als Autoliebhaber eine Reise wert ,Direkt am Olympiapark gelegen und für jeden Autoliebhaber ein Muss auf der Münchenreise. Verschiedene Modelle sind ausgestellt und schön in Szene gesetzt,40,"München, Deutschland",
Erlebnisdatum: August 2020,Beeindruckendes Gebäude,"Die BMW Welt ist über eine Fußgängerbrücke vom BMW-Museum aus zu erreichen, sie ist kostenfrei und bietet einen Überblick über sämtliche aktuellen BMW Modelle. Zusätzlich gibt es einen riesigen BMW Shop, eine Brasserie sowie ein Gourmet-Restaurant. Insgesamt ein lohnender",40,"Mainz, Deutschland",
Erlebnisdatum: August 2020,Ähnelt einer BMW-Halle auf der IAA,"Auf Grund von Empfehlungen waren wir in der kostenlosen BMW-Welt.   Für kostenlos ist es sehr zu empfehlen. Insgesamt ähnelt es einer BMW Halle auf der IAA. Der Fokus liegt aktuell ganz klar auf E-Fahrzeugen, sowie den jeweiligen M-Linien von BMW.  Die Motorräder im Obergeschoss",40,"Hammersbach, Deutschland",
Erlebnisdatum: Juli 2020,Architektonisches Glanzstück ,Das Gebäude besticht mit seiner modernen Architektur. Der riesige Raum mit den diversen Ebenen. Den separat befahrbaren Bereich lässt staunen. Alles ist schön aufgebaut. Für Interessenten wären Probefahrten möglich gewesen. Uns reichten die Einblicke.,30,"Zürich, Schweiz",
Erlebnisdatum: Juli 2020,Für BMW Fans ein MUSS,Für echte BMW Fans ein Muss - wer die aktuellen Fahrzeuge anfassen möchte - nur zu! Leider waren nicht beide Cafés geöffnet,30,"Velden am Wörhtersee, Österreich",
Erlebnisdatum: Oktober 2019,Ein Muss.,"Wer in München war, sollte auch hier gewesen sein. Historie und Gegenwart treffen aufeinander. Wir sind auf den Genuss gekommen, unser neues PKW hier abzuholen. Super Service, wie man es von BMW erwartet.",40,,Reiseart: mit der Familie
Erlebnisdatum: Februar 2020,Der Name ist Programm: BMW Welt ,"Das Gebäude der BMW Welt ist atemberaubend und bietet von innen und außen unzählige interessante Blicke. Der Eintritt ist kostenlos. Im Innenraum geht es um das Produktprogramm von BMW. Es ist ein Ausschnitt der aktuellen Modellpalette gezeigt, aber auch Spezielles wie Rennautos in Wechselausstellungen. Zudem gibt es Motorräder und Mini und Rolls-Royce Motor Cars. In dem Restaurant kann eine gute Pause eingelegt werden, wenn man einen Sitzplatz findet.",50,"Moosinning, Deutschland",Reiseart: als Paar
Erlebnisdatum: Juni 2019,Tolle Design,"In architektonischen Higlieght in München, tolles Design und viele schöne neue und alte Fahrzeuge von BMW. Auch das Gastroangebot ist gut.",50,,
Erlebnisdatum: Februar 2020,Die Welt der Bayerischen Motorenwerke,"Kostenfrei zu besichtigen. Viele aktuelle Modelle von BMW (Auto und Motorräder), Mini und Rolls Royce zu bestaunen. Kann sich auch reinsetzen, wenn man sich beim Personal meldet. Großer Shop und Gastronomie vorhanden. Sehr saubere Toilettenanlage. Auf jeden Fall einen Besuch Wert!",40,"Forchheim, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: Februar 2020,Alles neu alles schick ,"Hier kann man Essen; verweilen; staunen und anfassen.Einige Besucher holen hier sogar ihr Fahrzeug ab, die separat auf einer Bühne präsentiert werden.Fanshops von Mini und BMW gibt es natürlich auch. Man darf die Fahrzeuge anfassen und zum teil probesitzen wie in einem Autohaus.Leider sind die Parkgebühre etwas hoch. Man gelangt von dort in BMW Museum über eine Brücke. Dies habe ich in einem anderen Beitrag separat bewertet.Viel Spaß M Power 🏁",40,"Reutlingen, Deutschland",Reiseart: als Paar
Erlebnisdatum: Februar 2020,Interessant ,Hier präsentiert BMW die neuesten Modelle in einer ansprechenden Umgebung. Werksführungen können hier auch gebucht  und ein Snack und Kaffee zu sich genommen werden. Auf jeden Fall einen Besuch wert!,50,,Reiseart: geschäftlich
Erlebnisdatum: Januar 2020,Ambiente wirkt eine Nummer zu groß für das Gezeigte!,Leider ist die aktuelle Modellpalette BMW - Mini - Rolls-Royce nicht in vollem Umfang zu besichtigen.,40,,
Erlebnisdatum: Januar 2020,Einfach sehenswert ,"Die Architektur ist beeindruckend und innen werden die neuesten Autos von BMW, Mini und Rollse Royce gezeigt.Der Eintritt ist kostenlos.Abgerundet wird es durch einen Shop und tolle Restaurants insbesondere in der ersten Etage.Man kann dort auch bei Auslieferungen bzw Fahrzeugübergaben zuschauen.",50,"Düsseldorf, Deutschland",Reiseart: mit Freunden
Erlebnisdatum: Januar 2020,Schöne Architektur mit einer handvoll Autos,"Ehrlich gesagt war ich erstaunt, dass in einem derart großen (protzigen?) Gebäude nur eine handvoll Autos steht und die sind nicht einmal besonders gut präsentiert, das machen so manche Autohäuser deutlich besser. Mir hat sich der Sinn dieses Gebäudes nicht ganz erschlossen: es waren nicht annähernd alle Modelle ausgestellt und ein Mensch, der um 150.-200.T ein Auto kauft, wird das doch nicht vor Publikum machen?Ein so schönes, spannendes Gebäude sollte eine bessere Nutzung haben. In Kombination mit dem Olympiapark war der Ausflug trotzdem lohnenswert. Ein Tip: nach Einbruch der Dunkelheit wird die BMW-Welt wunderbar beleuchtet - sehenswert!",30,"Salzburg, Österreich",
Erlebnisdatum: Januar 2020,Unbedingt einen Besuch wert,"Vor dem Besuch des BMW Museum, wollten wir auch noch die neusten Modelle und die neusten Trends kennenlernen.BMW Welt hat nicht gespart am Gebäude, was für ein Schmuckstück! ( man will sicher gegen Stuttgart gleichziehen😎)Ambiente: coolPreis / Leistung : gratisZum weiterempfehlen: unbedingt",50,Schweiz,Reiseart: mit der Familie
Erlebnisdatum: Dezember 2019,Spontaner Besuch der BMW Welt,"An einem regnerischen Nachmittag im Urlaub ging meine Frau mir zuliebe mit in die BMW Welt. Die Anfahrt direkt in das Parkhaus unter den Ausstellungsräumen war perfekt. Kurze Wege nach oben, gemeinsamer Rundgang durch die BMW  Ausstellung und Shop’s und dann nahm die Bessere Hälfte Platz in der Cafeteria und ich hatte Muse mir alles nochMal genauer im Detail anzusehen. Die ausgestellten Fahrzeuge von BMW ,RR und Mini sind in der Original Lackierung noch schöner. Die Interaktiven Möglichkeiten mit IPad konnte ich ausführlich benutzen.  Meine Nachfrage nach der Funktion von Assistenzsystemen und der Zukunft des autonomen Fahrens sowie der E-Mobilität und (Firmen und Verkehrs-) Politik wurden von dem anwesenden Mitarbeiter am Stand super gut beantwortet.  Vielen Dank für diese persönliche Gesprächsmöglichkeit. Einige Verunsicherung was die Automobile Zukunft mir bringt, sehe ich jetzt weniger verunsichert.",50,"Hamburg, Deutschland",
Erlebnisdatum: Dezember 2019,Weitläufig und vor allem GRATIS Eintritt ,"Großer Showroom mit allen aktuellen Modellen in verschiedenen Versionen. Rolls Royce , BMW und Mini Cooper Ausstellung. Kostet kein Eintritt, nettes Personal, tolle Fotomotive. M-Varianten die teilweise noch nicht im Laden verfügbar sind. Toll für Autofans zum anschauen und auch für Pärchen geeignet. Rollstuhlfahrer haben auch keinerlei Probleme. Tolle Architektur. Aufenthalt circa 30-60 min mindestens;)",50,"State of Bremen, Deutschland",Reiseart: als Paar
Erlebnisdatum: Dezember 2019,Imposante Präsentation der BMW Modellpalette,BMW hat hier eine beeindruckende Präsentation der aktuellen Modellpalette geschaffen und das in sehr großzügigen Räumlichkeiten und bevorzugter Lage. Ein Kurzbesuch neben dem Olympiagelände ist auf jeden Fall lohnenswert.,40,"Jork, Deutschland",
Erlebnisdatum: November 2019,Neufahrzeugabholung in der BMW Welt,"Wir haben in der BMW-Welt wieder einen Neuwagen abgeholt und waren wie schon beim vorherigen Fahrzeug, von dem Gebotenen angetan. Das Museum, die Werksführung und die Lounge machen dem Besucher klar, dass man sich hier bei einem Premiumhersteller dieser Branche befindet. Jeder der Gelegenheit hat, sollte zu einer Neuwagenabholung hier her kommen.Was man aber absolut nicht tun sollte, ist das Kooperationsangebot der BMW Welt und SIXT Autovermietung, das BMW anbietet, annehmen. Diese Kooperation nützt Sixt aus. Sixt bietet hier bei Buchung eines Mietwagens 50% Rabatt auf den Tagespreis für einen Mietwagen und lockt mit der problemlosen Rückgabe des Fahrzeugs direkt bei der BMW Welt. Das Fahrzeug ist nur für einen Tag sowie Online mit besonderem Code buchbar. Wenn man das Angebot online bucht und es mit einem normalen Tagesangebot der Firma vergleicht, stellt man fest, dass man hier keinesfalls das Mietfahrzeug zum erhofften, halben Gesamtpreis bekommt!!!Begründung:  In unserem Fall war der Fahrzeugpreis ungefähr 70 € (50% = 35€),                      die Vollkaskoversicherung (mit 950€ Eigenbeteiligung) im normal Tarif                       ca 9,01€ teuer, incl. 300 Freikilometer.                      Beim BMW-Angebot verlangt Sixt aber dann 23,99€ für                       die Vollkasko mit 950€ Eigenbeteiligung!!!!Dann erfährt man am Ende, dass die Ermäßigung nur für den Mietwagentages-preis gilt und nicht wie an einigen Stellen suggeriert wird auf den Gesamtpreis.Einweggebühr, Versicherungen etc. sind von der Ermäßigung ausgeschlossen.Auf der Abschlußrechnung findet sich dann im Nachhinein noch eine Position ""flexibler Rückgabeort"" mit ca 17,-€ von dem vorher nirgendwo auch nur ein Wort erwähnt wurde. Und das, um das Mietfahrzeug zur ca 500m entfernten Sixt-Station zu bringen.Das heißt, die teurere Vollkasko plus die flexible Rückgabe machen das Angebot genauso teuer wie man den Mietwagen auch im NORMAL-Tarif bekommen hätte.Wie nennt man ein solches Geschäftsgebahren im Volksmund? Richtig hier wird man von Sixt mit Unterstützung von BMW .............  BMW wird mich nie mehr animieren können, um diese Sixtpraktik zu unterstützen. Sixt versucht hier mit dem, über Jahrzehnte erarbeiteten, guten Namen von BMW ein Geschäft zu machen. Leider scheinen die Verantwortlichen der BMW-Welt aber an dem Umgang von SIXT mit ihren BMW-Kunden kein besonderes Interesse zu haben, sonst hätte man längst intervenieren müssen, um diese Geschäftspraktiken zu verhindern oder gar die Zusammenarbeit zu überdenken. Unsere Empfehlung für eine Abholung ist eindeutig die Bahn, um so dem Handelnvon Sixt von der Kundenseite her Einhalt zu gebieten.Der Abholungstermin wird von BMW frühzeitig mitgeteilt (und wurde bei uns auch immer eingehalten), so dass bei der Bahn ein sehr günstiger Fahrpreis (etwa 1/3 des Mietwagenpreises!!!) für zwei Personen weit im Voraus gebucht werden kann.",30,,
Erlebnisdatum: Oktober 2019,Netter Sonntagsausflug für Klein und Groß,"Wenn das Wetter nicht so gut, eine sehr nette Gelegenheit für einen Familienausflug. Mit allem, was dazu gehört, Schöne Autos und Motorräder, schöne Architektur, Kaffee und Kuchen. Sehr freundliche und offene Atmosphäre. Aber sehr voll.",50,"München, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: November 2019,Für Autoliebhaber...,Wir haben hier ein Führung genossen und alles war sehr professionell! Wer sich für Autos und Motorräder interessiert ist hier genau richtig! Es waren kurzweilige 45min und vielleicht ist mein nächster Wagen ein BMW der dann von mir dort abgeholt wird! :-),40,"Frankfurt am Main, Deutschland",Reiseart: geschäftlich
Erlebnisdatum: Oktober 2019,BMW - ein Muss in Bayern:,"Wellig geformte, moderne auf Spekulation zielende Architektur, in verschiedenen Farben beleuchtet. Innen eine Ausstellung von - BMWs ...",40,"Berlin, Deutschland",
Erlebnisdatum: November 2019,Schöne Ausstellung ,"Ist zwar eine schöne Ausstellung aber doch noch sehr „Old School“ mit dem M City Werbefilm mit kreischenden Motoren und Flammen aus dem Auspuff.Die Autos sind wunderschön, wenn auch der Kühler immer protziger wird.Elektromobilität kommt zu kurz, da ist noch etwas Aufholbedarf.Man kann aber gratis CCS Laden vor dem Eingang, danke an BMW für diese Grosszügigkeit!",40,"Buchs St. Gallen, Schweiz",
Erlebnisdatum: November 2019,BMW Welt ,Wir haben das Olympiazentrum besucht und auch einen kurzen Besuch in der BMW Welt gemacht.Der Eintritt ist kostenfrei und man kann die neuesten BMW Modelle bestaunen.Es gibt auch ein kleines Kaffee mit leckeren Kuchen und Kaffee.,40,"Niederösterreich, Österreich",Reiseart: als Paar
Erlebnisdatum: November 2019,Topp!,"Für jeden etwas; Autos, Motorräder,  Geschenke, essen und trinken. Sehr modern, hell, topp! Sehenswert.",50,"Bornheim, Deutschland",Reiseart: als Paar
Erlebnisdatum: Oktober 2019,Lohnenswert ,"Sehr gutes Erlebnis. Die neuen Modelle mit guter Erklärung. Grosses Merchandising der Marken BMW, Mini. Leider hatten die Restaurants am Sonntag nicht geöffnet. Gerade an einem der besucherreichsten Tage....",40,"St. Gallen, Schweiz",
Erlebnisdatum: Oktober 2019,Bei schlechtem Wetter,"Bei schlechtem Wetter einen kurzen Abstecher wert, aber viel geboten wird nicht, selbst für einen BMW Fahrer.Man sieht die neuesten Modelle incl. Motorräder aber leider kann man sich nicht in alle Fahrzeuge reinsetzen.Wäre aus meiner Sicht eine deutliche Aufwertung der Ausstellung.Auch ein Bobby Car Parcours wäre doch was, wenn man schon eigene Bobby Cars im Angebot hat. Da können sich die Münchner von VW noch was abgucken.",30,"Parsberg, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: Oktober 2019,Einfach Weltklasse,Eine Fahrzeugabholung die man nicht besser machen kann. Freundliches Personal überall und ein toller Service. Auch das Restaurant Bavarie war sehr gut.,50,"Kappelrodeck, Deutschland",
Erlebnisdatum: Juli 2019,BMW Welt München,Ich war im Juli 2019 in der BMW Welt in München. Im Gegensatz zum BMW Museum geht es hier mehr um die neuen Modelle (Autos und Motoräder) und die neuen Entwicklungen (z.B. neue E-Autos Technologien). Bei den meisten Autos und Motorädern kann man auch Probe sitzen. Es gibt aber auch ein paar alte Modelle. Wer BMWs mag sollte einmal dagewesen sein. Es gibt auch ein kleinen Souvenirladen. Ich fande es sehr interessant und gut um sich über die neuen Modelle zu informieren.,50,"Berlin, Deutschland",Reiseart: mit Freunden
Erlebnisdatum: September 2019,Architektonisches Highlight am Olympiapark,"Ein guter Startpunkt für eine Tour durch den Olympiapark. Architektonisch ein Highlight, viel Potential zum gucken, Fotografieren und auch (interaktive) Erlebnisse im Innern. Eintritt frei, also reinschauen!",50,"Essen, Deutschland",Reiseart: als Paar
Erlebnisdatum: September 2019,Eine Auto Welt,Am Olympia Turm ist diese Welt von BMWImposant wie der Turm. Hier ist die Welt von BMW zu Hause. Vom Anfang bis zur Gegenward,40,"Frankfurt am Main, Deutschland",
Erlebnisdatum: August 2019,Toller Einblick in aktuelle und zukünftige BMW Modelle,"Ich war hier mit meinem Sohn, und wir waren sehr begeistert! Man kann bei der Anreise unter dem Gebäude prima parken. Auf einer absolut grosszügigen, mehrstöckigen Fläche werden alle derzeitigen BMW-Modelle, Minis, Rolls-Royce, Motorräder und Zukunftsstudien gezeigt. Es gibt einen Shop für Zubehör/Souvenirs und Führungen. Und auf einer speziellen Etage kann man seinen neuen BMW abholen. Alles sehr großzügig gestaltet und der Eintritt ist frei! Ein ""Muss"" für alle BMW-FAns.",50,"Hamburg, Deutschland",
Erlebnisdatum: August 2019,BMW Liebhaber ,"Ideal für BMW Liebhaber oder generell Autofans. Eintritt in die allgemeine Ausstellung ist kostenfrei, nur das Museum kostet extra. Leider war es geschlossen da wir an einem Montag dort waren. Viel zu sehen, es können Souvenirs gekauft werden oder sogar ein Auto!",50,"Heidelberg, Deutschland",Reiseart: als Paar
Erlebnisdatum: August 2019,Hat mir gefallen ,Hier kann man viele der aktuellen Fahrzeuge besichtigen. Es gibt sogar die Möglichkeit sich in die Klein- und Mittelklasse Fahrzeuge hineinzusetzen ( Manko: die Spitzenautos bleiben einem verwehrt )Dennoch auf jeden Fall zu empfehlen,40,Deutschland,Reiseart: als Paar
Erlebnisdatum: August 2019,Werksführung ,Ein schon besonderes Erlebnis ist die zweistündige Führung durch verschiedene Bereiche der Fahrzeugherstellung. In den letzten Jahren hat sich die Fertigung erheblich verfeinert und noch mehr automatisiert.Für jeden halbwegs Autointressierten eine tolle Gelegenheit die Herstellung zu begleiten.,50,"Wardenburg, Deutschland",Reiseart: mit Freunden
Erlebnisdatum: Juni 2019,Führung durch die BMW Welt sehr empfehlenswert,Super interessant und ein tolles Gebäude! Ein Must!! Autos sind nicht nur Männerspielzeuge. Die Gruppe war begeistert.,50,"München, Deutschland",Reiseart: geschäftlich
Erlebnisdatum: August 2018,"Wer BMW mag, ist hier richtig","Viele BMWs sind zu besichtigen, teilweise auch zum „reinsetzen“, die man seltener auf der Straße sieht.Von der M- Reihe über die i-Reihe ist immer was gutes zu sehen. Wen mehr die Geschichte oder Oldtimer interessiert, der sollte über die Straße zum BMW Museum (4 Zylinder) gehen und sich da begeistern lassen",50,"Salzburg, Österreich",Reiseart: allein
Erlebnisdatum: Juli 2019,Sehenswert ,Das BMW ist ein Besuch wert (wer die Automarke mag) Ist ganz in der Nähe vom Olympia Park der auch sehr schön ist Also am besten kombinieren,50,,Reiseart: geschäftlich
Erlebnisdatum: Juli 2019,Tolles Erlebnis kostenlos,Für grosse und kleine Jungs super. Autos schauen und testen ohne Limit. Tolle Erfahrung für den Kleinen auch mal am Steuer zu sitzen.,50,"München, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: Juli 2019,Moderne Autos und Architektur,Moderne Architektur und Autos treffen hier auf einander. Schöne Ausstellung der aktuellen BMW und Mini Modelle und Rolls Royce. Genau so spannend auch die Abholung der eigenen neuen BMW. Immer einen Besuch wert.,50,Deutschland,Reiseart: mit der Familie
Erlebnisdatum: Juli 2018,BMW-Welt,"Celkom fajn možnosť stráviť chvíľu v upršaný deň v blízkosti Olympiazentra.A pretty good place to spend a while near the Olympiazentrum on a rainy day.Ein guter Ort, um eine Weile an einem regnerischen Tag in der Nähe des Olympiazentrums zu verbringen.Un buen lugar para pasar un rato en un día lluvioso cerca del Olympiazentrum.",30,Slowakei,Reiseart: mit Freunden
Erlebnisdatum: Juli 2018,Top Ausflug mit Familie und Kindern,Sehr gut gelegen und erreichbar. Gute Restaurants. Es gibt viel zu sehen. Unser Sohn hatte sehr viel Spass.,50,"Meisterschwanden, Schweiz",Reiseart: geschäftlich
Erlebnisdatum: Mai 2019,Bemerkenswerte Architektur,"Obwohl selber noch nie Eigentümer eines BMW-Autos interessierte uns deren neueste Produktpalette. Schon von außen fällt die zwar moderne, aber insgesamt sehr bemerkenswerte Architektur ins Auge. Und auch die ausgestellten Modelle und ihre zwar werbetechnische auf sich selber bezogene Beschreibung waren uns wertvoll, umso mehr als alles „volkstümlich“ verständlich war.",40,"Stuttgart, Deutschland",Reiseart: mit Freunden
Erlebnisdatum: Juni 2019,Konzert Reise ,"Wir haben uns hier ein wenig Die Zeit vertrieben.  Tolles modernes Gebäude , was keine Wünsche offen lässt . Schöner Gastrobereich , mit den entsprechenden Preisen . Sind aber für hier Ok . Wer es mag kann ein wenig Shoppen . Oder sich einfach die Ausgestellten Fahrzeuge anschauen . Do geht Erlebnis Shopping oder Auto abholen  😉😉",40,"Rastatt, Deutschland",Reiseart: mit Freunden
Erlebnisdatum: Januar 2019,Muss man gesehen haben!,"Wenn man schon im BMW Museum war, darf man diese Sehnswürdigkeit nicht auslassen. Hier sind die neuen Modelle von BMW und RR ausgestellt. Man kann live die Autoübergabe an ihre neuen Besitzer miterleben. Aber auch die Architekur ist wirklich bemerkenswert und sollte nicht auser acht gelassen werden!Und für die, die sich ein Souvenirs mit nehmen möchten, gibt es einen Shop.",50,"München, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: Juni 2019,Interessante kostenfreie Ausstellung,Ohne Einritt ist die BMW Welt schon sehr sehenswert. Wir hatten dort zuerst einen einblick erhalten bevor wir auf die andere Seite zum Museum wechselten. In die BMW Welt kommen wir gerne wieder,50,"Ober-Ramstadt, Deutschland",Reiseart: als Paar
Erlebnisdatum: Mai 2019,Sehenswert,Klasse Architektur - Autos zum Anfassen - tolle Kulinarik - toller Platz für klasse Events. Zuvorkommende  Mitarbeiter,50,,Reiseart: geschäftlich
Erlebnisdatum: April 2019,Nach dem Museum ,"Mal rüber in die BMW Welt beides ist mit einer Brücke verbunden. Recht spektakuläre Architektur und die Ausstellung von neuen Fahrzeugen. In der mittleren Ebene die Auslieferung von Neuwagen.Alles ist recht nett anzusehen, allerdings sind die etwas teureren Fahrzeuge nur nach Kontakt mit einem Mitarbeiter zu besichtigen (ansonsten steht man vor einer Kordel) manches könnte man sicher besser darstellen, insbesondere die Fertigungstechnik zB des I3 aber egal, wenn man schon mal da ist kann man sich alles anschauen.",40,"Hamburg, Deutschland",Reiseart: mit Freunden
Erlebnisdatum: Mai 2019,Dickes Autohaus mit interessanter Architektur mit vielen Neuwägen,"Leider war ohne Ankündigung auf der Website das Parkhaus für eine private Veranstaltung gesperrt. Nachdem ich einen Parkplatz gefunden und einen kleinen Fußmarsch in Kauf genommen hatte, konnte ich mir die BMW Welt ansehen. Und ich muss sagen das das interessanteste das Gebäude selbst war. Für einen Fan der Marke wird es hier sicher mehr zu sehen geben. Wer aber schon mal die Mega Autohäuser in den USA oder Japan gesehen hat wird hier nicht wirklich was neues finden.Und vielleicht liegt es nur an mir, aber die Preise im Gift und Souvenir Shop waren meiner Meinung nach extrem teuer.",30,"Steiermark, Österreich",Reiseart: allein
Erlebnisdatum: November 2018,BMW Welt muss man gesehen haben,Die BMW Welt ist einen Ausflug wert. BMW zeigt alle aktuellen Modelle vom Kleinwagen über Mittelklasse bis zu den Großen und M-Modellen...auch Mini und Rolls-Royce sind vertreten...sehr interessant,50,"Moosburg, Deutschland",Reiseart: mit Freunden
Erlebnisdatum: April 2019,"wer sein Fahrzeug abholt, wird natürlich auch verwöhnt","ein perfekter Tag! Alle Mitarbeiter der BMW-Welt sind außerordentlich freundlich und hilfsbereit; vom Empfang, über die Übergabe, die Werksführung,selbst im Shop und im Museum, nur nette Leute!ein gelungener Tag !Schade, dass man so selten neue, schöne Autos kauft !!",50,"Werneck, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: April 2019,BMW-Welt erleben,"Faszination Auto. Gucken, Staunen , Anfassen. In einer faszinierenden Architektur werden Autos mit höchsten Ansprüchen stilvoll präsentiert. Auch wenn man kein Autofan ist macht es Spass, sich hier treiben zu lassen",40,,
Erlebnisdatum: Februar 2019,Viel zu sehen,Die BMW Welt ist öffentlich zugänglich - kein Eintritt. Es gibt neben Architektur und Motoren ein Restaurant und einen Shop. Es ist eher ein Ort für jung gebliebene als für kleine Kinder.,50,,Reiseart: mit der Familie
Erlebnisdatum: April 2019,Mehr erwartet,"Nach einem Besuch in der Autostadt Wolfsburg hatten wir mehr erwartet. Es ist ganz nett, noch besser ist aber, dass man das Auto im Parkhaus stehen lassen kann (gegen Gebühr) und von der BMW-Welt aus den Olympiapark erkunden kann. Die BMW -Welt ist kostenlos, der Besuch gehört auch irgendwie zum München-Besuch dazu.",30,,Reiseart: mit der Familie
Erlebnisdatum: März 2019,Ein muss für BMW Fans,Ein muss für BMW FansLeicht zu erreichen direkt an der S Bahn und neben dem OlympiageländeInformation zu den aktuellen Modellen,40,"Würzburg, Deutschland",Reiseart: als Paar
Erlebnisdatum: April 2019,Spontaner Besuch,"Spontaner Besuch... Da ich ein Mini Fan bin, durften hier meine Augen leuchten. Einfach nur toll....was es alles so gibt..Auch BMW Fans kommen hier auf ihre Kosten.",40,"Alsfeld, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: März 2019,Tolles Erlebnis,Emofehlenswert und wunderschön für jeden Autoliebhaber. Wenn man dort ist solle man auch gelich das BMW und das Rolly Royce Museum mitmachen.,50,,Reiseart: mit Freunden
Erlebnisdatum: November 2018,Wenig spannend,"Ich fand die BMW Welt als nicht ganz so spannend. Hatte deutlich mehr erwartet. Das Museum fand ich eher langweilig. Klar wenn man auf Autos steht, dann kann man schon begeistert rausgehen. Einmal und muss nicht nochmal hin...",30,"Nottuln, Deutschland",Reiseart: allein
Erlebnisdatum: März 2019,Nicht nur für Freunde der Marke BMW,"Die BMW Welt ist das Erlebnis- und Auslieferungszentrum des Unternehmens BMW. Sie begeistert durch ihre unverwechselbare, futuristische Architektur und Ihre einzigartigen Erlebniswelten aller Marken der BMW Group. (MINI, BMW, Motoräder...)Wer noch 2 Stunden Zeit hat sollte auch das BMW Museum besuchen.",50,"Ingolstadt, Deutschland",Reiseart: allein
Erlebnisdatum: März 2019,Da hat sich BMW selbst übertroffen,"Sehr schönes Gebäude mit sehr schön gestalteter Autoausstellung. Auch die Motorräder wurden hier sehr schön präsentiert.Das das ganze dann auch noch kostenlos ist, Super!",50,"Tulln, Österreich",Reiseart: als Paar
Erlebnisdatum: September 2018,Muss man gesehen haben..Grandios,"In nächster Nähe der Olympischen Anlagen  von Frei Otto und vom BMW Hochhaus des Architekten Karl Schwanzer wurde von COOP Himmel(b)lau das Gebäude für die BMW Welt gebaut. So wie schon das Stadion und das BMW Hochhaus ist dieses Gebäude ein weiterer Meilenstein der Architekturgeschichte. in Deutschland und über die Grenzen Europa's hinaus.Während das erste eine Statische, das zweite eine Technische  Meisterleistung ist so beweist dieses riesige komplizierte und fasziniernede Gebäude was heute in der Architektur  durch CAD - computer aided design"" alles möglich ist. Die verworrenen, sich zu Räumen entwickelnden Gedanken der Architekten nehmen die BMW Welt auf und die Besucher aus aller Herrenländer sind schlicht beindruckt von soviel phantastischen Räumen , Rampen und Kurven. Ein MUSS für jeden München Besucher!!!!!",50,"Luxemburg, Luxemburg",Reiseart: als Paar
Erlebnisdatum: Februar 2019,Großartiger Bau,"Alleine schon das vom österreichischen Architekturbüro Coop Himmelb(l)au entworfene Gebäude ist einen Besuch wert - selbst wenn man nicht Automobil- oder gar BMW-Fan ist! Drinnen dann die aktuellen Modelle von Bmw, Mini und Rolls Royce jeweils in Luxusausstattung. Sinn macht die 2,5stündige Kombitour inkl Werksführung.",40,"Salzburg, Österreich",Reiseart: mit der Familie
