date,title,text,rating,visitor_origin,visit
Date of experience: June 2020,Rude staff,"Beautiful building on the outside but really rude person at the ticket office. As we did not have any cash with us and we are still on an ongoing pandemic, where lots of other museums ask people to pay by card or buy tickets online, we wanted to pay by card. He was visibly very",10,"Munich, Germany",
Date of experience: February 2020,"totally fascinating, I could stay here for hours","We visited and set a time for our group to meet in the lobby, but I needed more time.  Fascinating. place.",50,"Plymouth, New Hampshire",
Date of experience: March 2019,Fascinating,"Interesting museum, covering a wide range of subjects. Small collection of late-medieval / early renaissance armour Gorgeous building. Nice cafe ",40,"Basingstoke, United Kingdom",
Date of experience: December 2019,Beautiful building interesting exhibition ,Excellent museum with interesting changing exhibitions. Beautiful building with lovely garden. This exhibition was very good. It’s great value and worth a stop on the way to the English garden. ,40,"Warrington, United Kingdom",
Date of experience: January 2020,Somewhat dissapointing,"For myself anyway, I was expecting more of a history type museum, detailing how the region and culture developed.  Instead, this is more of a cultural museum, with bits and pieces of Bavarian culture for the past say 400 years or so.  Not a bad thing really, but looking at",30,"Singapore, Singapore",
Date of experience: December 2019,one of the best museums visited in a long while / strongly recommended,we visited on a Sunday - so the entrace charge was only Euro 1 (one) - same is true for a number of Munich museums  loved the variety and quality of thousands of exhibits (furniture / pottery & porcelain / silver to name a few) all seemingly in excellent condition and many of,50,"Watford, United Kingdom",
Date of experience: October 2019,An intersting museum,"This is a small museum with some very focused exhibits on the decorative arts from the Middle Ages through the late 1800s. There are rooms and rooms full of ceramics, silver, religious objects, and other objects of decorative arts. I especially liked the rooms devoted to ivory",40,"Ashland, Oregon",
Date of experience: November 2019,Great museum ,"By far one of the best museums I have been to.  I wasn’t expecting much, and I went to see a particular object. I was pleasantly surprised to see the quality of the objects in general, mostly from the royal Bavarian families.  The restaurant too is recomendable.  ",50,"Milan, Italy",
Date of experience: October 2019,Wonderful regional museum,"Was nice to see large museum with a regional focus. Great examples of local pottery, paintings , sculptures, dinner ware and armaments. Had a great time. ",50,"Vernon Hills, Illinois",
Date of experience: August 2019,Large and interesting collection for those fluent in German,"I was really looking forward to this museum, and we got the English audio guide so we wouldn't miss out on anything. Unfortunately, many of the exhibits are not even mentioned in the audio guide - music instruments and games, for example. Many interesting exhibits here and much",40,"Bend, Oregon",
Date of experience: August 2019,HUGE collection - but not good for non-German speakers,"This museum is great in terms of its collection size and range... but unfortunately, given that there are very very few translations into English and no alternative (no audioguide / leaflet), we were left pretty disappointed not to really know what most of the items were. If you",30,"Santiago Metropolitan Region, Chile",
Date of experience: August 2019,Give yourself some extra time for this one.,"Not just a bit of everything, but a lot of everything, and a lot of stuff you may have never known about before!  It may look like a hodge-podge at times, but there is a well planned route you can follow.  Every exhibit is well displayed- dark or light, highlighted or arranged. ",40,"Copenhagen, Denmark",
Date of experience: August 2019,"Great museum, but very quiet! ","Huge museum with some amazing pieces, all beautifully presented. We went on a Wednesday afternoon in August and there were only a handful of other visitors! Only spoiled by the ridiculously expensive cafe! ",40,"Bristol, United Kingdom",
Date of experience: July 2019,Lots to see... if you can speak/read German,"Good presentation and layout. Lots of content to take in. Unfortunately only half the exhibits have English descriptions and the audio guide isn't much better. It's hard to recommend this place unless you have a good command of the German language, which is unfortunate because",20,Calgary,
Date of experience: July 2019,"Great museum with instruments, dresses, and more from the past.","There are many impressive things to see at this museum, there are musical instruments, religious sculptures, and dresses from centuries ago, knight armor, horse armor, swords, maces, and much other interesting history! Would recommend for anyone who wants to discover the past.",50,"Ordos, China",
Date of experience: July 2019,Fantastic!,"This museum only costs 1 Euro per adult on Sundays-but worth way more!     From swords and armor for knights, to royal costumes, to paintings, to elaborately caved ivory and glass to  dinner sets for 24 of your closest friends - this place was cool.  We really enjoyed our visit.",50,"Henderson, Nevada",
Date of experience: June 2019,Waste of time,1. More than half of the exhibition not translated to English.  2. There is no story told there so not very nice to walk around. 3. Staff not very nice. The lady at the counter rejected money in coins as payment! Don't waste your time. ,20,"Munich, Germany",
Date of experience: July 2018,bavarian museum,"it's a very small museum yet lovely. expected more though. overall, a very nice place to be. very quality cafe and museum shop. ",40,,
Date of experience: May 2019,"Great museum, especially on a Sunday","We really enjoyed this museum, great displays, not crowded, and only 1 Euro on Sundays.  The bummer is that the Nativity display is only open through April (even though there is a large sign on the lawn about it), so if you want to see that, go during the winter months.",40,"Cincinnati, Ohio",
Date of experience: May 2019,Armoury highlights ,This museum was very interesting. It house a huge collection with much variety that could be worth more than one visit.  In particular we came to see the armoury and the Munich sword.  My husband was very impressed. The staff here were really helpful and understanding of our non,50,"Leidschendam, The Netherlands",
Date of experience: May 2019,Excellent 3 hours (or more),I had not been here for a long whlle so I spent the better part of an afternoon wandering through the museum. The exhibits are focused on science and technology and are first wonderfully done. Be sure take the pathway through the underground mine exhibit.  The Museum is easily,50,,
Date of experience: May 2019,Extensive collection of exhibits plus Superb attitude of staff,"It was a nice experience exploring the museum, with the collection of exhibits and the quality manner of staff.   When I was entering the exhibition hall, the staff told me that my ticket is only applicable to the special exhibition on the other building, instead of the main",40,"Munich, Germany",
Date of experience: December 2018,Expansive art collection in large building,"This is a really big museum.  It’s a bit of a walk from the Old Town (more than 20 minutes).  The closest U-bahn is Lehel, which is in a nice residential area to the south.  My companion and I arrived in the evening, perhaps two hours before closing time, and we still only had",50,"Arlington, Virginia",
Date of experience: April 2019,Outstanding collection,This lovely castle near the English Garden is filled to the brim with objects of beuty and historical interest. The fact that this might not be to every one's taste was clearly attested by the fact that we were almost alone in the huge building. It is in a way an old fashioned,50,"Haifa, Israel",
Date of experience: April 2019,Nice museum ,"We enjoy this museum, lots of interesting exhibits and interesting facts, everyone in the family enjoy it very much . ",40,"Buffalo, New York",
Date of experience: May 2019,Excellent 3 hours (or more),I had not been here for a long whlle so I spent the better part of an afternoon wandering through the museum. The exhibits are focused on science and technology and are first wonderfully done. Be sure take the pathway through the underground mine exhibit.The Museum is easily accessible with a 20 minute walk from Marienplatz. It also is reachable by tram or bus.,50,,Trip type: Traveled as a couple
Date of experience: May 2019,Extensive collection of exhibits plus Superb attitude of staff,"It was a nice experience exploring the museum, with the collection of exhibits and the quality manner of staff. When I was entering the exhibition hall, the staff told me that my ticket is only applicable to the special exhibition on the other building, instead of the main one. After I bought another one in the counter, he enthusiastically asked if I needed a museum map in English and he even helped to get one for me. It's really kind of him and it helps provide a great impression towards the museum before I actually looked at the exhibits.Regarding the exhibits, they are fantastic just as mentioned by the other reviewers. However, there's one point that I need to mention: the direction of exhibition is not that clear. I went into the wrong direction for a couple of times as there were not adequate signs showing me the right way. It'd be even a better experience if the museum could add more signs to remind the guests.",40,"Munich, Germany",Trip type: Traveled solo
Date of experience: December 2018,Expansive art collection in large building,"This is a really big museum.  It’s a bit of a walk from the Old Town (more than 20 minutes).  The closest U-bahn is Lehel, which is in a nice residential area to the south.  My companion and I arrived in the evening, perhaps two hours before closing time, and we still only had time to hit the major highlights and walk quickly through certain sections.  To list a few of my favorite exhibits:Creches-on the lower level the museum has a vast display of nativity scenes (sort of like fancy dioramas), ranging from simple and austere to grand urban scenes.  The tiny details in some of the displays are amazing.Period rooms-there are several rooms recreating Gothic-era furniture and interior décor, which were much more colorful than I expected.Architectural models-a large room features architectural models of various German cities, from the very large (Munich), to the small.  Homes, churches, halls, and shops are all recreated in minute detail.  The museum has a vast collection of regional art (paintings, sculptures), artifacts (decorative and mundane, religious and secular), and weaponry from the medieval era to the present.  Most displays were provided in both German and English.  One can easily spend many hours wandering around.  As stated above, we arrived in the evening, and there were few other people, so at times it felt like we had the entire building to ourselves.  Highly recommended.",50,"Arlington, Virginia",Trip type: Traveled as a couple
Date of experience: April 2019,Outstanding collection,"This lovely castle near the English Garden is filled to the brim with objects of beuty and historical interest. The fact that this might not be to every one's taste was clearly attested by the fact that we were almost alone in the huge building. It is in a way an old fashioned museum but the objects are very well exhibited, lit and arranged.",50,"Haifa, Israel",Trip type: Traveled as a couple
Date of experience: April 2019,Nice museum ,"We enjoy this museum, lots of interesting exhibits and interesting facts, everyone in the family enjoy it very much .",40,"Buffalo, New York",Trip type: Traveled with family
Date of experience: December 2018,Excellent in every way...the Nativity Scenes  now on display were extrodinary.  The Museum Bus 100 takes you to all the,"Nativity Scenes,  now on display, were extrodinary.  The Museum Bus 100 takes you to all the Museums in Munich.",50,Culpeper,
Date of experience: December 2018,Family visit,This art 🖼 museum will definitely be a must on your visit to München. The Christmas displays and nativity scenes were varied and spectacular as was the rest of the exhibits. As we were visiting in December the main focus was Christmas and they did a superb job.,40,"Campbell River, Canada",
Date of experience: November 2018,Very odd place,This was an interesting museum. It seemed to me like it had quite a bit of potential to be a highly interesting and informative place. However the place was very inconsistent I the way it was setup. I got an English language audio guide...only a small portion of the museum had,30,"Cincinnati, Ohio",
Date of experience: September 2018,huge museum,"This museum is large  and interesting, but a bit dry; we have enjoyed other museums more; however  it is worth a visit.",30,,
Date of experience: September 2018,Much too big! Choose a section.,"There are extraordinary things here, but the size of the place is overwhelming. It would be best for the average visitor to pick a couple of time periods to see. Their German Gothic sculpture (and armor) would be a good pick, or their Baroque decorative arts. My favorite was in",40,"Columbia, Missouri",
Date of experience: December 2018,Excellent in every way...the Nativity Scenes  now on display were extrodinary.  The Museum Bus 100 takes you to all the,"Nativity Scenes,  now on display, were extrodinary.  The Museum Bus 100 takes you to all the Museums in Munich.",50,Culpeper,Trip type: Traveled with friends
Date of experience: December 2018,Family visit,This art 🖼 museum will definitely be a must on your visit to München. The Christmas displays and nativity scenes were varied and spectacular as was the rest of the exhibits. As we were visiting in December the main focus was Christmas and they did a superb job.,40,"Campbell River, Canada",Trip type: Traveled with friends
Date of experience: November 2018,Very odd place,This was an interesting museum. It seemed to me like it had quite a bit of potential to be a highly interesting and informative place. However the place was very inconsistent I the way it was setup. I got an English language audio guide...only a small portion of the museum had audio guide assistance available. This was not so bad in places because many items had a description next to them in German and English...however...and this is where the museum lacked the most for me...only about 1/2 the museum had the English signage. Some rooms were completely in German and that was all. I was hoping to get a better understanding of life in Bavaria in the past and I did not leave with that.  With that being said there were some interesting items but overall probably was not worth my time.,30,"Cincinnati, Ohio",Trip type: Traveled solo
Date of experience: September 2018,huge museum,"This museum is large  and interesting, but a bit dry; we have enjoyed other museums more; however  it is worth a visit.",30,,Trip type: Traveled as a couple
Date of experience: September 2018,Much too big! Choose a section.,"There are extraordinary things here, but the size of the place is overwhelming. It would be best for the average visitor to pick a couple of time periods to see. Their German Gothic sculpture (and armor) would be a good pick, or their Baroque decorative arts. My favorite was in the basement, a series of 18th-19th c. Bavarian rooms from the countryside, decorated in painted furniture and tiled stoves. Since my husband and I love decorative arts, we spent the entire day here and were exhausted at the end. Fortunately, there is an excellent restaurant attached to the museum, and we had lunch there.",40,"Columbia, Missouri",Trip type: Traveled as a couple
Date of experience: December 2019,متحف بافاريا الوطني,متحف بافاريا الوطني من اهم المتاحف في مدينة ميونيخ بمقاطعه بافاريا وهو مميز من حيث فن العمارة والطراز الخاص بك,30,,
Date of experience: January 2020,Somewhat dissapointing,"For myself anyway, I was expecting more of a history type museum, detailing how the region and culture developed.  Instead, this is more of a cultural museum, with bits and pieces of Bavarian culture for the past say 400 years or so.  Not a bad thing really, but looking at",30,"Singapore, Singapore",
Date of experience: December 2019,one of the best museums visited in a long while / strongly recommended,we visited on a Sunday - so the entrace charge was only Euro 1 (one) - same is true for a number of Munich museums  loved the variety and quality of thousands of exhibits (furniture / pottery & porcelain / silver to name a few) all seemingly in excellent condition and many of,50,"Watford, United Kingdom",
Date of experience: October 2019,An intersting museum,"This is a small museum with some very focused exhibits on the decorative arts from the Middle Ages through the late 1800s. There are rooms and rooms full of ceramics, silver, religious objects, and other objects of decorative arts. I especially liked the rooms devoted to ivory",40,"Ashland, Oregon",
Date of experience: November 2019,Great museum ,"By far one of the best museums I have been to.  I wasn’t expecting much, and I went to see a particular object. I was pleasantly surprised to see the quality of the objects in general, mostly from the royal Bavarian families.  The restaurant too is recomendable.  ",50,"Milan, Italy",
