date,title,text,rating,visitor_origin,visit
Date of experience: March 2020,Lovely inside and out.,"The exterior is like the British museum, the interior spscious, especially the vast circulating areas where thousands can wander around admiring the chandeliers and having a drink. Unklike Covent Garden ther does not semto be a restaurant. Having been to Vienna's eqeuivalent it",50,surrey,
Date of experience: February 2020,Guided tour of the theater,"The tour was excellent! We spent around 1 and half hour visiting the theater, not just were you can sit but also the back stage, the king's booth, the orchestra pit and even enderneth the stage. It is impressive to se how much a single performance requires and how many people",50,"Munich, Germany",
Date of experience: September 2019,Sightseeing in Munich.,"The “Bavarian State Opera” you can say that this is one of the world's leading opera houses who can look back on more than 350 years of opera and ballet history. With an amount that reaches around 600,000 guests, who visit more than 450 events a year. Within one season, over 40",40,"Santa Comba Dao, Portugal",
Date of experience: October 2019,Expensive seats with partially blocked view,"We love the Staatsoper. The building is splendid, as are the acoustics. The production of “Salome”, though burdened by confusing direction, was generally first-rate, with Marlis Petersen a stunningly effective Salome, and Wolfgang Koch in excellent vocal form as Jochanaan. The",30,"Toronto, Canada",
Date of experience: July 2019,"Go! You will enjoy this building and whichever performance you choose, excellent treasure for Munich!","I have been to Munich a few times now, and a visit to the Bavarian State Opera never fails to impress and bring joy. On this trip, we enjoyed one of the season closing performances of the Summer Oper für Alle program. Outdoor performance, top rate, with a sponsored food and",50,"San Francisco, California",
Date of experience: June 2019,Impressive building next to the palace,"This building combines well with the Residenz on the platz.  We did not get to visit the interior because there were no performances while we were in Munich.  However, we did greatly enjoy it as a backdrop for great pictures.",40,"Pensacola, Florida",
Date of experience: June 2019,Stunning,We applied for tickets in a ballot long in advance to see La Traviata with Placido Domingo. Having been successful we built a short break around this.  The Opera House was simply stunning. Impressive from the outside it’s beauty is surpassed by the interior.  We had fantastic,50,"Peterborough, United Kingdom",
Date of experience: June 2019,Stunning Quality of Opera in a Beautiful Opera House,"We specifically wanted to see a brilliant Opera Soprano called Pretty Yende in LUCIA DI LAMMAMOUR so applied for tickets extremely early. Thank goodness we did as the performance was Sold Out. Great standard , a beautiful Auditorium, well priced drinks and snacks and a very",50,"Copenhagen, Denmark",
Date of experience: June 2019,Pin-point acoustics,"We found the on-line booking process quite easy from the UK & there was no-problem with the self-printed tickets.  The instructions said to carry ID as well as the ticket, but this was not requested at the door.  For the Sunday morning (11am) orchestral concert we were in the",50,"Ilkeston, United Kingdom",
Date of experience: April 2019,"Anniversary treat, 7th April","Short visit to Munich with the opera Madame Butterfly the highlight. We were not disappointed.  The Opera House itself is amazing, breathtaking. We did a”behind the scenes” tour the previous Friday which was so interesting and gave us an insight into how the performance would be",50,"Buckinghamshire, United Kingdom",
Date of experience: June 2019,Impressive building next to the palace,"This building combines well with the Residenz on the platz.  We did not get to visit the interior because there were no performances while we were in Munich.  However, we did greatly enjoy it as a backdrop for great pictures.",40,"Pensacola, Florida",Trip type: Traveled with family
Date of experience: June 2019,Stunning,"We applied for tickets in a ballot long in advance to see La Traviata with Placido Domingo. Having been successful we built a short break around this.The Opera House was simply stunning. Impressive from the outside it’s beauty is surpassed by the interior.We had fantastic seats in the auditorium sixteen rows from the stage. The view was outstanding, seats extremely comfortable with ample leg room.Any visitor should go upstairs where they will find some impressive decor and incredible chandeliers.Whilst numerous attendees wore black tie and evening dress others wore smart casual.Unlike performances in the U.K. the doors to the auditorium are only opened shortly before the performance and when the audience take their seats promptly. Everyone is expected to leave the auditorium during intervals when once empty the doors are closed.This was a fantastic performance of La Traviata with an incredible cast.",50,"Peterborough, United Kingdom",Trip type: Traveled as a couple
Date of experience: June 2019,Stunning Quality of Opera in a Beautiful Opera House,"We specifically wanted to see a brilliant Opera Soprano called Pretty Yende in LUCIA DI LAMMAMOUR so applied for tickets extremely early. Thank goodness we did as the performance was Sold Out. Great standard , a beautiful Auditorium, well priced drinks and snacks and a very elegant audience, Worth doing a tour of the house as it's very beautiful",50,"Copenhagen, Denmark",Trip type: Traveled as a couple
Date of experience: June 2019,Pin-point acoustics,"We found the on-line booking process quite easy from the UK & there was no-problem with the self-printed tickets.  The instructions said to carry ID as well as the ticket, but this was not requested at the door.For the Sunday morning (11am) orchestral concert we were in the 3rd of the 4 balconies. The view was slightly restricted, but we moved, without problem along the row to more central seats at the interval.  We noticed that – even on a Sunday morning – most men wore jackets & women smart clothes. There were no jeans in sight. The Bavarian State Symphony Orchestra was excellent, as one would expect. They were spread out over the (covered) orchestra pit & stage area.  What we noticed most were the pin point acoustics. Even up ‘in the gods’ we could hear even the quietest notes very clearly from all parts of the stage.  Thoroughly recommended for a concert.",50,"Ilkeston, United Kingdom",Trip type: Traveled as a couple
Date of experience: April 2019,"Anniversary treat, 7th April","Short visit to Munich with the opera Madame Butterfly the highlight. We were not disappointed. The Opera House itself is amazing, breathtaking. We did a”behind the scenes” tour the previous Friday which was so interesting and gave us an insight into how the performance would be managed together with the history of thebuilding which was fascinating. The opera itself was truly magical. ( with German and English subtitles.) Congrats to my husband on such a brilliant Anniversary gift and a memory to treasure.",50,"Buckinghamshire, United Kingdom",Trip type: Traveled as a couple
Date of experience: April 2019,Wonderful ballet company,I saw two ballets: Alice in Wonderland and Anna Karenina. Both shows were wonderful with fabulous dancers. Excellent costumes and sets too. The theatre itself is stunningly pretty. Bar area is nice with good choice of snacks and drinks.,50,"Derby, United Kingdom",Trip type: Traveled as a couple
Date of experience: March 2019,A Treat for the Opera Lover,"We saw ""Don Giovanni"" and loved the performance and appreciated the unique setting/interpretation of this opera.  I noticed some Tripadvisor commentary re: ticket purchases; I purchased online Jan 21 for a March 14 performance and did not have any issues although admittedly, there were not a lot of seat options by that time.  The tickets were available for pick up 1 hour before the performance and the security guards directed us to the correct place to pick them up.  There are German and English translations on a screen over the stage.  Most people were in business/dressy attire.  You are required to check coats, so if you get cold easily bring a wrap to keep with you.  It was a beautiful opera house and a delightful experience.",40,"New York City, New York",Trip type: Traveled with family
Date of experience: February 2019,"Excellent opera house and company, challenging tickets","We wanted to see an opera here while visiting Munich in February, 2019. Check out Larry Z's review, below, with the excellent description of the online ticket purchasing process. By the time we started looking, the first batch of online tickets was sold out, so we had to log on at 10 am Munich time on the designated day for sale of the second batch. We ended up with seats on the main floor in the very last row. Despite that, the acoustics were still very good. The opera company was excellent, as were the leads - the woman performing the role of Abigail in ""Nabucco"" was astonishing! If you speak only English, be careful where you sit. The opera projects translations over the stage in both English and German, very helpful when the opera is in Italian! But the rearmost 3 or four rows on the main floor are under an overhanging balcony that cuts off view of the top of the stage. You can see the performers just fine, but not the projected translations. Instead, there are small LCD screens attached to the ceiling over you (actually, the underneath of the balcony) that show the translation but only in German. Also, the translations in both languages are NOT literal translations of the dialogue, but instead only summaries. To get the full impact of the dialogue, it is worth reading the libretto ahead of time. Dress: most attendees were in business suits for men, nice to elegant dresses for women - it tends to be a moneyed crowd. The very occasional bluejeans stood out for their rarity, and were worn by only the youngest visitors.",50,Georgia,Trip type: Traveled as a couple
Date of experience: January 2019,ticket order step by step,"Hi, I just messed up my ticket order so decided to share what I wish I'd known before:For non-locals there are two ways to get tickets: A WRITTEN order and an ONLINE order. The WRITTEN is available 3 months ahead and the ONLINE exactly 2 months ahead. Via WRITTEN you choose only the category of seats and the theater chooses the seat for you. Via ONLINE you can actually mark the seat you prefer on a map. In WRITTEN, choosing the category is tricky because the seating map available on site has a color code plus a list of prices that is not fully at sync with the map. I couldn’t figure it out entirely. So either call them or play that roulette.Now, the theater reserves tickets in two batches for the two methods. If you don’t ask for tickets early enough either way - tickets will soon run out.For WRITTEN: write a simple email. They will reply with further procedures. At this point you can also call. They answer quickly and kindly. I tried WRITTEN too late so it was sold out for me. But on the phone they instructed me how and when I should try for the second batch.The ONLINE procedure is somewhat like the black Friday sales. It's Attack and Grab and timing is crucial. My advice: on sales day, connect on every electronic device you have about one hour before the sale begins – enter the Staatsoper site –then Schedule – then find your show- then hit ""Tickets"". You will be forwarded to a clock countdown page and into a queue. When the Gong hits each device will tell you your place in line. Continue with the device of best position. Wait and relax because you only have one chance at this. When your turn comes, the seating map will appear along with that doomed category list again. Zoom into the map with the mouse scroll. Chose a seat, mark it with a mouse click. I was early in queue and I marked dream seats! But here's when I messed it all up – you see, below the map are two buttons ""Chose by map"" or ""Get best seat for category"". DO NOT TOUCH THAT. Instead, scroll back to the TOP of the page to ""Add to cart"" and advance from there. Obvious isn't it? ""Get best seat for category"" is another search altogether that has nothing to do with the map. It's that roulette again. I wasn't expecting to find it so I advanced with it because it flashed. Why is it there anyway?! Totally illogical.I clicked it thinking it would get me further, instead I got lost in the system, lost my dream seats and accepting worse instead that were arbitrarily chosen for me. I then got stressed out because they only give you 15 minutes for the process or you lose your position. I hope to enjoy the show nevertheless, going to pay a danm lot for it, flight, hotel and all… Al least I hope to spare this despair from you.",20,"Modiin, Israel",Trip type: Traveled as a couple
Date of experience: December 2018,Disappointing nutcracker performance ,"Bought two expensive tickets as a Christmas present to see the nutcracker. It seemed to be a modern interpretation and the only link I saw to the original nutcracker was that Clara (or some other name they changed it to) held a nutcracker toy every few scenes. The costumes were boring, the ballet undramatic. I left the ballet completely undazzled. I was incredibly looking forward to the sugar plum fairy, but most of the acts and music were taken from other Tchaikovsky productions i.e swan lake. Super disappointed, shouldn’t have been allowed to call it the nutcracker.",10,,Trip type: Traveled as a couple
Date of experience: July 2018,Unforgettable evening,We were lucky enough to hear a gala performance by Edita Gruberova at the opera house. The venue is of surreal beauty and the singing was hauntingly thrilling. We shall never forget her performance of the Don Giovanni aria - singing like that takes decades of experience and,50,"Silver Spring, Maryland",
