date,title,text,rating,visitor_origin,visit
Date of experience: August 2020,Mines! Who knew?,"The size of this place should not be underestimated,  it is vast.  I'm certain we missed loads. Highlights were the enigma machine and surprisingly the mining section. The kids and all the hands on sections were closed due to covid  19 restrictions, understandably, and we would",40,"Kinross, United Kingdom",
Date of experience: August 2020,Trop cher et vieillot ,29€ le pack famille alors que la salle pour les enfants était fermée... Ils pourraient le dire avant... Quelques descriptions en anglais sinon tout est en allemand. ,20,"Thonon-les-Bains, France",
Date of experience: August 2020,Groß und vielseitig,"Es ist groß und vielseitig aber irgendwie nicht spannend, ich weiß nicht ob es an corona lag aber es hat uns jedenfalls nicht gefesselt.",30,"Rottweil, Germany",
Date of experience: July 2020,"interessant, aber in Corona-Zeiten anstrengend","unbedingt empfehlenswert, allerdings braucht man sehr viel Zeit (ich war 4 Stunden dort und habe alles im Schnelldurchlauf gemacht) und mit Maske ist es anstrengend.",40,"Babenhausen, Germany",
Date of experience: August 2020,"Super museum, très complet","De nombreuses collections sur les différentes sciences, vous trouverez forcément un domaine d’intérêt. Cependant malheureusement aucune traduction en français, celles en anglais sont trop rares et assez techniques...",40,"Toulouse, France",
Date of experience: August 2020,Mines! Who knew?,"The size of this place should not be underestimated,  it is vast.  I'm certain we missed loads. Highlights were the enigma machine and surprisingly the mining section. The kids and all the hands on sections were closed due to covid  19 restrictions, understandably, and we would go back to find all the bits we missed again.",40,"Kinross, United Kingdom",
Date of experience: August 2020,Trop cher et vieillot ,29€ le pack famille alors que la salle pour les enfants était fermée... Ils pourraient le dire avant... Quelques descriptions en anglais sinon tout est en allemand.,20,"Thonon-les-Bains, France",Trip type: Traveled with family
Date of experience: August 2020,Groß und vielseitig,"Es ist groß und vielseitig aber irgendwie nicht spannend, ich weiß nicht ob es an corona lag aber es hat uns jedenfalls nicht gefesselt.",30,"Rottweil, Germany",Trip type: Traveled as a couple
Date of experience: July 2020,"interessant, aber in Corona-Zeiten anstrengend","unbedingt empfehlenswert, allerdings braucht man sehr viel Zeit (ich war 4 Stunden dort und habe alles im Schnelldurchlauf gemacht) und mit Maske ist es anstrengend.",40,"Babenhausen, Germany",
Date of experience: August 2020,"Super museum, très complet","De nombreuses collections sur les différentes sciences, vous trouverez forcément un domaine d’intérêt. Cependant malheureusement aucune traduction en français, celles en anglais sont trop rares et assez techniques...",40,"Toulouse, France",Trip type: Traveled with family
Date of experience: August 2020,Einfach nur toll!,Das deutsche Museum ist definitiv eines der schönsten Museen Münchens. Besonders das Bergwerk fanden wir sehr authentisch und schön dargestellt. Man sollte sich 4-5 Stunden für das komplette Museum Zeit nehmen.,50,"Hammersbach, Germany",Trip type: Traveled as a couple
Date of experience: August 2020,"Enorme, ben fatto, da sistemare","Meraviglioso museo, ricco di potenzialeNecessita di un po' di manutenzione, specie nel settore delle nanotecnologie e fisica. In molte parti, come nelle miniere, mancano le scritte in ingleseLa parte ambientale è ferma al 2010, quindi per quanto ben fatta è decisamente obsoletaStudenti 4,50€La visita richiede un giorno minino",40,,Trip type: Traveled with friends
Date of experience: August 2020,Enttäuscht,"Wir waren heute mit unseren Enkeln 7 und 13 Jahre im Museum.Ich glaube ich war das letzte Mal in den 90Jahren dort und ich muss leider sagen,daß sich nicht viel geändert hat. Es wirkt alles sehr altbacken.Das DeutscheMuseum hat seine beste Zeit hinter sich. Mit den Museen weltweit kann es nicht mit-halten.Vielleicht wird es nach dem langjährigen Umbau besser. Wir werden es dannnochmals versuchen.",30,landsberg,
Date of experience: June 2020,In die Jahre gekommen,Ich war vom Museum enttäuscht. Mit Museen in anderen Weltstädten kann das DM nicht mit halten. In weiten Teilen wirkt es altbacken und auch nicht gut gepflegt. Vieles funktioniert nicht mehr. Insgesamt zu wenig zum Mitmachen und selbst erfahren. Es gibt jede Menge Bedarf für Modernisierung.,30,"Freiburg im Breisgau, Germany",Trip type: Traveled with family
Date of experience: July 2020,Spannende Auststellungen,Das Museum bietet eine unfassbar vielfältige Auwahl an interessanten Ausstellungen die ganz viele verschiedene Schwerpunkte haben. Da ist für jeden etwas dabei!,50,,
Date of experience: July 2020,Boeiend museum over techniek ,"We waren vooral onder de indruk van de opstellingen mijnbouw, schepen en vliegtuigen. Mijn man heeft zich vermaakt bij de machinerie. We zijn vier uur binnen geweest en nog niet elke verdiepingen gehad. Heel mooie plek voor een regenachtige dag, wel van tevoren online kaartjes kopen, het is een populair museum. Voor het planetarium moet je een apart kaartje kopen en de elektriciteitsshow konden we niet in: je moet muntjes regelen.",50,"Heino, The Netherlands",Trip type: Traveled with family
Date of experience: July 2020,Immer wieder sehenswert und interessant,"dieses Museum ist unbeschreiblich und verfügt über eine Vielzahl verschiedener interessante Ausstellung. Immer wieder von Interesse ist die starkstrom Abteilung Punkt leider war die Kaffee Ausstellung wegen Corona nur eingeschränkt möglich. hier wäre es gut, wenn die landesregierung endlich abtreten würde und den Platz wieder frei macht für eine naturwissenschaftlich ausgerichtete Politik",50,"Ettlingen, Germany",Trip type: Traveled as a couple
