date,title,text,rating,visitor_origin,visit
Date of experience: August 2020,Fun to watch,Allow time to idle and watch the local young folk try and ride/surf the waves. Quite fun to watch as you pass on your way somewhere.,50,"Maidenhead, United Kingdom",
Date of experience: July 2020,Wow,You just have to visit this wave surfing in a park.  Grab a Wetsuits and a board queue up either side of this FAST flowing river jump in and see how many seconds you can stand before catapulted down the river very entertaining for the onlookers. ,40,"Glasgow, United Kingdom",
Date of experience: August 2020,Surfer’s Den in Munich,"🌊 🏄 𝗦𝘂𝗿𝗳𝗲𝗿’𝘀 𝗗𝗲𝗻 🏄 🌊  𝖮𝗇 𝗌𝗎𝗇𝗇𝗒 𝖽𝖺𝗒𝗌 𝗅𝗂𝗄𝖾 𝗍𝗈𝖽𝖺𝗒, 𝗉𝖾𝗈𝗉𝗅𝖾 𝗂𝗇 𝖬𝗎𝗇𝗂𝖼𝗁 𝗀𝖺𝗍𝗁𝖾𝗋 𝗂𝗇 𝖺𝗇𝖽 𝖺𝗋𝗈𝗎𝗇𝖽 𝖤𝗇𝗀𝗅𝗂𝗌𝖼𝗁𝖾𝗋 𝖦𝖺𝗋𝖽𝖾𝗇 𝖻𝗒 𝗍𝗁𝖾 𝖨𝗌𝖺𝗋 𝖱𝗂𝗏𝖾𝗋, 𝖽𝗂𝗉 𝗍𝗁𝖾𝗂𝗋 𝗍𝗈𝖾𝗌 𝗂𝗇 𝗍𝗁𝖾 𝗐𝖺𝗍𝖾𝗋, 𝗈𝗋",50,"Munich, Germany",
Date of experience: July 2020,Cool,Really cool to watch this . We enjoyed it . If you can surf it would be better ! Friendly family atmosphere ,40,,
Date of experience: October 2019,River Surfing,A very unique sport in a setting! These athletes are super talented and put on a great show for viewers. Also the English garden is stunning. ,40,Canada,
Date of experience: December 2019,Watch them go,We went after Christmas and was pleasantly surprised there were people there. Brother went ahead to check and we came after he found them surfing. It was quite interesting to watch them surf the canal. It was also quite orderly so there wasn't any applications.  It would be,40,"Auckland Central, New Zealand",
Date of experience: July 2019,Unexpected surprise!,"While in Munich this is a must see!  And better yet, if you're a surfer, a must try!  My son is a surfer and when we found that this river is a spot for surfers, we had to check it out.  We rented a board and he got to experience surfing in Germany!  It was a unique wonderful",50,"New Smyrna Beach, Florida",
Date of experience: February 2020,Really cool to watch.,It was really cool to watch the surfers (male and female) surf in the river.  Very impressive.  We watched them following a walk in the park and before we popped into the lovely museum cafe for a coffee.,50,"Royal Wootton Bassett, United Kingdom",
Date of experience: November 2019,Surfin' in the City!,So much fun watching the surfers ride these decent sized waves up close. Great fun trying to get that one awesome photo!,50,Mississauga,
Date of experience: February 2020,Surfing in the middle of Munich,We visited mid-morning in a cold February and watched as a group of surfers successfully rode the tricky waves at the Eisbach. Don't miss this when visiting the English Garden,50,"Manchester, United Kingdom",
Date of experience: January 2020,Manmade surfer's wave in the local park!,"This is worth a visit, it is very strange to see someone surfing on a river in the park! This is a short walk from the centre of Munich, and had a small crowd watching the surfers. I believe the river is man made, with the generation of the swell designed into its construction.",50,"Chelmsford, United Kingdom",
Date of experience: June 2019,I enjoyed alot here,"People do surfing in this place. You have to go inside the garden, and can enjoy the people doing different....",50,,
