date,title,text,rating,visitor_origin,visit
Erlebnisdatum: Juli 2020,Macht Spaß für Surfer und Beobachter,Die Eisbachwelle findet man an einem der Eingänge des Englischen Gartens. Quer über die Straße befindet sich in etwa 5 Minuten Entfernung auch der Hofgarten. Hier lässt sich München von seiner entspannten Seite erleben. Sich an das Ufer zu setzen oder an die Brücke zu stellen,50,"Kassel, Deutschland",
Erlebnisdatum: August 2020,Einfach mal abschalten,"Die Surfer an der Eisbachwelle sind definitiv ein Must-See in München.  Hier kann man sich einfach mal ans Ufer setzen und dem Treiben für eine gewisse Zeit zuschauen.   Von Alt - Jung Von Anfänger - Profi  Alles ist dabei, ein bunter Haufen und schön zu betraxhteb",50,"Hammersbach, Deutschland",
Erlebnisdatum: August 2020,Must see!,Cooler Platz mit coolen Leuten. Beim nächsten München Besuch unbedingt wieder. Und danach in den Englischen Garten. Perfekt.,50,"Berlin, Deutschland",
Erlebnisdatum: August 2020,Ein Ausflug lohnt sich.,Mein Lebensgefährte und ich sind bei einen Spaziergang durch den Park an der Eisbachwelle vorbeigelaufen.  Es lohnt sich auf jeden Fall dort mal kurz anzuhalten und den Surfern zuzugucken.,50,"Bielefeld, Deutschland",
Erlebnisdatum: Juli 2020,Sehenswert,"Ich weigere mich zwar es auszuprobieren, doch ich schaue sehr gerne zu, eine schöne Abwechselung und vor dem ein oder anderen Wellenreiter kann ich nur in Ehrfurcht den Hut ziehen",50,"Dortmund, Deutschland",
Erlebnisdatum: Juli 2020,Macht Spaß für Surfer und Beobachter,"Die Eisbachwelle findet man an einem der Eingänge des Englischen Gartens. Quer über die Straße befindet sich in etwa 5 Minuten Entfernung auch der Hofgarten.Hier lässt sich München von seiner entspannten Seite erleben. Sich an das Ufer zu setzen oder an die Brücke zu stellen und den Surfern zuzuschauen, ist entspannend und interessant. Auch den Surfern selbst scheint es Spaß zu machen, die Welle dort so gut es geht zu reiten.Anschließend kann man durch den Englischen Garten spazieren oder in den Hofgarten wechseln. Dort findet man auch die U-Bahn-Anbindung ""Odeonsplatz"".",50,"Kassel, Deutschland",
Erlebnisdatum: August 2020,Einfach mal abschalten,"Die Surfer an der Eisbachwelle sind definitiv ein Must-See in München.Hier kann man sich einfach mal ans Ufer setzen und dem Treiben für eine gewisse Zeit zuschauen. Von Alt - JungVon Anfänger - ProfiAlles ist dabei, ein bunter Haufen und schön zu betraxhteb",50,"Hammersbach, Deutschland",Reiseart: als Paar
Erlebnisdatum: August 2020,Must see!,Cooler Platz mit coolen Leuten. Beim nächsten München Besuch unbedingt wieder. Und danach in den Englischen Garten. Perfekt.,50,"Berlin, Deutschland",
Erlebnisdatum: August 2020,Ein Ausflug lohnt sich.,Mein Lebensgefährte und ich sind bei einen Spaziergang durch den Park an der Eisbachwelle vorbeigelaufen. Es lohnt sich auf jeden Fall dort mal kurz anzuhalten und den Surfern zuzugucken.,50,"Bielefeld, Deutschland",Reiseart: als Paar
Erlebnisdatum: Juli 2020,Sehenswert,"Ich weigere mich zwar es auszuprobieren, doch ich schaue sehr gerne zu, eine schöne Abwechselung und vor dem ein oder anderen Wellenreiter kann ich nur in Ehrfurcht den Hut ziehen",50,"Dortmund, Deutschland",
Erlebnisdatum: Juli 2020,Superwelle mitten in der Stadt,"Für Surf-Anfänger bis Profis findet jeder hier die richtige Welle an der Eisbachwelle. Von der Brücke beobachtet man die Surferboys am Besten. Für Touristen sicher, ob es für die Surfer genau so ist wissen wir nicht. Es ist idyllisch dort mit dem Zugang zum englischen Garten. Es wirkt zwar künstlich die Welle doch da auf jeder Bachseite standen je fünf Surfer Schlange. Sie hatten offensichtlich Spass, vor allem jene, welche nicht gleich umkippten.",50,"Zürich, Schweiz",Reiseart: mit der Familie
Erlebnisdatum: Juli 2020,"Bei Hochwasser Hut ab , sie sind spitze","unbedingt !! muss man gesehen haben !!! man kann dann auch noch im Englischem Garten schländern  , sich den  Moropterus witmen  oder a Mass am Chinesischem Turm trinken",50,,
Erlebnisdatum: Juli 2020,Großartiges Erlebnis ,"Wer es kann übt hier seine Surffähigkeiten und trainiert die Standhaftigkeit auf der Eisbachwelle. Sehr spannend und unterhaltsam anzusehen,  auch wie reibungslos der Ablauf funktioniert.....einer links,  einer rechts,  kein Gedränge. Super Sache   hat mich gefreut mal hier zu sein.",50,"Andernach, Deutschland",Reiseart: als Paar
Erlebnisdatum: Juli 2019,"Die Sonne scheint, das Surfen geht auf","In einer leichten Abweichung vom englischen Garten können sich sogar Surfer üben: Direkt neben dem Kunstmuseum Haus der Kunst testen erfahrene Surfer aus nah und fern ihr Durchhaltevermögen gegen die meterhohe stehende Welle, die durch die künstliche Flussmündung erzeugt wird  des Eisbachs.Ich verbringe Stunden damit, die Surfer hier zu beobachten.  Manchmal ist es lustig zu sehen, wie sie fallen.",50,"Berlin, Deutschland",
Erlebnisdatum: Dezember 2019,"Ein künstlich geschaffenes Phänomen aus Wasser, ganzjährig im Park.","Die stehende Welle im Eisbach am Rande des Englischen Gartens funktioniert ganzjährig und lockt Surfer und Zuschauer gleichermaßen an. Auf der stehenden Welle, die im Eisbach künstlich angelegt wurde, trainieren Surfer ihre Geschicklichkeit und zeigen sie dann auch dem Publikum, was fast immer zugegen zu sein scheint.",50,"Celle, Deutschland",
