date,title,text,rating,visitor_origin,visit
Erlebnisdatum: August 2020,Sehenswert,"Der englische Garten erstreckt sich über mehrere Kilometer. Er ist sehr schön angelegt. Leider werden die Corona Regelungen absolut nicht berücksichtigt. Dies scheint aber in der gesamten Stadt recht locker gesehen zu werden. Schade, die Zahl der Infektionen steigt wieder ",40,"München, Deutschland",
Erlebnisdatum: August 2020,Schöm angelegter Park,"Es ist nicht schön Sauber aber das habe ich bei der Menge an Menschen, in einer Großstadt nicht erwartet. Es gibt sogar die möglichkeit ins Wasser zu gehen. Wer mit einem der escooter hingekommen sein sollte, sollte wissen, dass man denen der marke Tier zügig wie gewohnt",40,"Rottweil, Deutschland",
Erlebnisdatum: August 2020,Urlaubsgefühle mitten in München,Der Englische Garten gehört definitiv zu den Must-See-Spots in München.  An einem schönen Tag kann man gut und gerne den ganzen Tag dort verweilen und dem Treiben zuschauen.   Es gibt Teile mit vielen Menschen wo Spiel und Spaß im Vordergrund steht. Nicht weit weg gibt es aber,50,"Hammersbach, Deutschland",
Erlebnisdatum: Juli 2020,Eine Oase,"Lange Spaziergänge sind hier genauso möglich wie Sonnenbaden, Spielen auf den endlosen Wiesen und natürlich zünftige Pausen in den Biergärten. Eine Empfehlung ist ein Besuch am Eisbach. Achtung, die Radfahrer sind teilweise sehr rücksichtslos.",50,"Bensheim, Germany",
Erlebnisdatum: Juli 2020,Lustwandeln in München,Sehr schön zum spazieren gehen. Gemütlich und doch Zentral.  Ein Bierchen im dortigen Biergarten darf natürlich auch nicht fehlen. Ich lebe diesen Park!,50,"Dortmund, Deutschland",
Erlebnisdatum: Juli 2020,"Lebt vom Renommee der guten alten Zeit, nicht mehr","Zuerst : was dort unter dem chinesischen Turm geboten wird ist einfach grottig. Zum abgewöhnen. Und hat absolut nichts mehr mit der Gastlichkeit zu tun, die man früher dort genießen konnte. Der Park als solcher gut gepflegt, groß, mit vielen Sitzmöglichkeiten ( ist nicht in",30,"Dresden, Deutschland",
Erlebnisdatum: Juli 2020,Erfrischende Gaudi! ,"Einfach schön dort im Sommer! Man kann sich durchs Wasser treiben lassen! Am besten Mit Luftmatratze- klar, kalt ist das Wasser schon -bei hitze: sehr erfrischend!!! Unbedingt Besuch einplanen!",50,"Stuttgart, Deutschland",
Erlebnisdatum: Juni 2020,Grüne Lunge Münchens,"Weniger Park, als viel mehr gemähte Wiesen und Bäume. Toll zum Relaxen. Biergärten zum Erfrischen. Die Verordnung für diese lässt das Mitbringen und den Verzehr von Speisen ausdrücklich zu. Man muss also nur die teuren Getränke dort kaufen.  Die Ausschilderung an den Wegen ist",30,"Nalbach, Deutschland",
Erlebnisdatum: Juli 2020,Ein Highlight von München.,"Wir haben den südlichen Englischen Garten im Rahmen einer Rikscha-Fahrt erlebt und waren sehr beeindruckt. Die Fläche ist riesig, die Surfer einmalig und die Atmosphäre, vor allem bei schönem Wetter, sehr ausgelassen.  Definitiv ein Highlight von München.",50,"Troisdorf, Deutschland",
Erlebnisdatum: August 2019,Ideal für Erholungssuchende,"Sehr schöner, weitläufiger Park. Ideal zum Flanieren, Ausruhen und Verpflegen. Bekannt ist der Biergarten beim Chinesischen Turm. Dies ist auch den Wespen bekannt, die einem den Spass an Schweinshaxe und Bier ganz schön verderben können.",50,"Basel, Schweiz",
