date,title,text,rating,visitor_origin,visit
Date of experience: July 2020,Interesting history,"Unfortunately, most of the rooms have been reconstructed as it was almost all destroyed during WWII. I'd still recommend for anyone who loves royal history",40,"Spring, Texas",
Date of experience: July 2020,Great ,We enjoyed the vastness of this palace . It was difficult to find the entrance . Lots of lovely clocks . We didn’t see the theatre but everything else was o,50,,Trip type: Traveled with family
Date of experience: July 2020,Don't miss this palace!,"We visited Munich's Residenz after finding it on TA. You can choose to tour the Treasury or Palace/Residenz or both (~€18/person). I recommend you do both. The Treasury portion provides an audio device in multiple languages.  Each of the exhibits has a number and you simply type it in to listen about it. The artifacts include crowns, swords, crosses and many/many it's really a must-see! The palace is really exceptional as well. Room after room of antiques used by the Bavarian royal families. Again, we loved this place--dont miss it! Wear comfortable walking shoes!!",50,"Stuttgart, Germany",Trip type: Traveled as a couple
Date of experience: June 2020,Was exactlz what you expect,"Love the place, however due to corona virus, will not be back.  I recommend visit once, but nothing special.",30,"Sicily, Italy",
Date of experience: June 2020,Beautiful palace,"Such a beautiful palace in the middle of Munich! The staff was friendly even though still a bit confused about the whole new system they had to put in place for dealing with the new covid health restrictions.The rooms are beautiful, lots of things to see. I thought it's very good value for the money. We actually decided to buy the annual Schloss card and we're looking forward to visit other places :)",50,"Munich, Germany",Trip type: Traveled as a couple
Date of experience: August 2020,A voir,"La Residenz a souffert des bombardements de 1944 mais à été admirablement reconstruite. Certaines salles manquent par conséquent d'authenticité. Cependant, l'architecture est magnifique et ma première salle d'époque renaissance est sublime. A faire.",40,"Ermenonville, France",Trip type: Traveled solo
Date of experience: August 2020,Très joli,"Palais vraiment très joli certaines salles sont vraiment superbes, dommage qu’il n’y ait pas plus de meubles, le parc est très agréable aussi.",40,"Paris, France",Trip type: Traveled as a couple
Date of experience: July 2020,Grandiose ,"Grandiose est le mot qui me vient spontanément à l’esprit.  La tai du bâtiment, la splendeur de la décoration tout était fait pour imposer la puissance de l’occupant des lieux à ses visiteurs.",40,,Trip type: Traveled as a couple
Date of experience: July 2020,Gaunerei,Sperrt tatsächlich schon um 17:30 zu. Danach wird man schleunigst hinausbugstiert. Eine echte Frechheit. Solch eine Arbeitsmoral. Dabei zahlt man den vollen Eintritt. Verstehe warum niemand mehr in ein Museum gehen will... Schade.,10,"Graz, Austria",Trip type: Traveled as a couple
Date of experience: July 2020,Sehenswert,"Nicht der zu erwartende Protz und Prunk faszinieren, insbesondere wenn man Herrenchiemsee hinter sich hat.. sondern der Mut, die Wunden zu zeigen, die der Größenwahn der Nazis diesem herrlichen Bauwerk und Kulturdenkmal geschlagen haben. Hoffentlich verfällt man nicht in den gleichen Fehler wie Dresden, das ja bemüht ist, in einer Art potemkinscher Raserei alles wegzuhübschen.",40,"Dresden, Germany",
Date of experience: July 2020,Immer sehenswert ,Die Geschichte der aktuellen Heimat immer wieder neu erleben ist richtig schön. Zu sehen wie der Wandel der Zeit war ist faszinierend ,40,"Munich, Germany",
Date of experience: July 2020,Don't miss this palace!,"We visited Munich's Residenz after finding it on TA. You can choose to tour the Treasury or Palace/Residenz or both (~€18/person). I recommend you do both. The Treasury portion provides an audio device in multiple languages.  Each of the exhibits has a number and you simply type it in to listen about it. The artifacts include crowns, swords, crosses and many/many it's really a must-see! The palace is really exceptional as well. Room after room of antiques used by the Bavarian royal families. Again, we loved this place--dont miss it! Wear comfortable walking shoes!!",50,"Stuttgart, Germany",Trip type: Traveled as a couple
Date of experience: June 2020,Prunk und Pomp,"Sehr weitläufig   und prachtvoll ausgestattet   zeigt dieses Museum das Leben als König oder Herrschaft in der Residenz. Über Geschmack lässt sich bekanntlich streiten,  daher sollte man der Schatzkammer viel Zeit widmen,  und wenn man Zeit hat die Menschen ein bisschen bedauern",50,"Andernach, Germany",
Date of experience: June 2020,Einen Besuch wert,"Sehr eindrucksvoll, man muss ein paar Stunden mitbringen, aber es lohnt sich, alles anzuschauen. Der Preis ist für die Größe des Museums angemessen.",50,"Wilnsdorf, Germany",
Date of experience: June 2020,Was exactlz what you expect,"Love the place, however due to corona virus, will not be back.  I recommend visit once, but nothing special.",30,"Sicily, Italy",
Date of experience: July 2020,Immer sehenswert ,Die Geschichte der aktuellen Heimat immer wieder neu erleben ist richtig schön. Zu sehen wie der Wandel der Zeit war ist faszinierend,40,"Munich, Germany",Trip type: Traveled as a couple
Date of experience: July 2020,Don't miss this palace!,"We visited Munich's Residenz after finding it on TA. You can choose to tour the Treasury or Palace/Residenz or both (~€18/person). I recommend you do both. The Treasury portion provides an audio device in multiple languages.  Each of the exhibits has a number and you simply type it in to listen about it. The artifacts include crowns, swords, crosses and many/many it's really a must-see! The palace is really exceptional as well. Room after room of antiques used by the Bavarian royal families. Again, we loved this place--dont miss it! Wear comfortable walking shoes!!",50,"Stuttgart, Germany",Trip type: Traveled as a couple
Date of experience: June 2020,Prunk und Pomp,"Sehr weitläufig   und prachtvoll ausgestattet   zeigt dieses Museum das Leben als König oder Herrschaft in der Residenz. Über Geschmack lässt sich bekanntlich streiten,  daher sollte man der Schatzkammer viel Zeit widmen,  und wenn man Zeit hat die Menschen ein bisschen bedauern die sich der Zeit unterwerfen , und diesen unbequemen Protz und Prunk tragen mussten.Also wirklich sehr lehrreich und interessant. 😇.......und nicht vergessen den Löwen vor der Residenz das Schnäuzchen zu streicheln. 🥳",50,"Andernach, Germany",Trip type: Traveled as a couple
Date of experience: June 2020,Einen Besuch wert,"Sehr eindrucksvoll, man muss ein paar Stunden mitbringen, aber es lohnt sich, alles anzuschauen. Der Preis ist für die Größe des Museums angemessen.",50,"Wilnsdorf, Germany",Trip type: Traveled solo
Date of experience: June 2020,Was exactlz what you expect,"Love the place, however due to corona virus, will not be back.  I recommend visit once, but nothing special.",30,"Sicily, Italy",
Date of experience: December 2019,Not to be missed! ,"Make time for this palace!! It was amazing to see, even with no prior knowledge of the history. Tourist information in Munich really underplays how stunning this place is. And it’s an easy walk from Marienplatz. My only regret is that we had only reserved a few hours to see it. Plan to spend way too long in line for a ticket, but make sure to get a ticket to see the treasury as well. Some gorgeous crowns, etc there.",50,"Chicago, Illinois",
Date of experience: March 2020,Huge- and quite magnificent!,"So, I got really lost in here. It is huge. If you were to take the long tour and listen to every part of the audio tour I think that you could easily spend the whole day exploring it. The main part of the tour was incredibly interesting, with a large selection of items to few and learn about. If- like me- you enjoy exploring palaces then I can definitely recommend  a visit (however I must admit that Nymphenberg is more Instagram-able).",50,"Glasgow, United Kingdom",
Date of experience: March 2020,bella la residenza... la sala del tesoro non è niente di che,Residenza molto ampia con diverse stanze in diversi stili.sicuramente da visitare se fate tappa a monaco.La sala del tesoro invece è molto deludente.poca roba e niente di eccezionale.,30,"Gualtieri, Italy",
