date,title,text,rating,visitor_origin,visit
Date of experience: August 2020,Fabulous views. Well worth a visit ,Great attraction. Super views over Munich. No rush once up top so take your time. The Rock museum is a non event but that is fine.,50,"Huddersfield, United Kingdom",Trip type: Traveled with family
Date of experience: August 2019,An incredible sight over Munich and the surrounding area,"A visit to the Olympic Tower is a must when visiting the Olympic Stadium.The view at 190 meters is fantastic. All of Munich can be seen - especially the Olympic site and the BMW buildings.In good weather you can see the Allianz Arena. But much further. The view to the Alps is fascinating.Be sure to go to the top platform with no windows, even if there are bars, and just enjoy the expanse.To the tower and elevator:The € 9 is more than worth it. At 7 meters / second the elevator races up or falls down. You can feel this acceleration! Pressure builds up in your ears as if you were sitting on an airplane at takeoff.There is a restaurant on the Olympia tower, but I did not eat there.",50,,
Date of experience: February 2020,"Great view of the city, well worth a visit","Fantastic 360 degree view of the city, particularly the adjacent Olympiapark, Olympiastadion and BMW Welt. Cheap entry; elevator takes just a few seconds to get to the top and then there’s plenty of space up there even if it’s busy. We got there via a short Uber ride (15-20 mins) out of the centre, and very glad that we did before leaving Munich. Can be very windy at the top though, so wrap up warm!",50,"West Bromwich, United Kingdom",Trip type: Traveled as a couple
Date of experience: September 2019,Excellent,"Brilliant panoramic views of Munich and the Olympic Park! It also boasts a little rock musuem at the very top of the tower, which is also quite interesting!",50,"England, United Kingdom",
Date of experience: February 2020,Fantastic views,Visited in May 2019 and February 2020. Excellent views in May.One of the best observation towers we have visited.Highly recommend.,50,"O'Fallon, Illinois",
Date of experience: August 2020,Restaurant gesloten vanwege Corona regels ,Mooie toren en schitterend 360 uitzicht maar best aan de prijs (9€/pp) als je alleen omhoog en omlaag kunt. Het restaurant is gesloten.Boven is overigens wel een mini koffie shop en het obligate souvenirwinkeltje,30,"The Hague, The Netherlands",Trip type: Traveled as a couple
Date of experience: August 2020,Fabulous views. Well worth a visit ,Great attraction. Super views over Munich. No rush once up top so take your time. The Rock museum is a non event but that is fine.,50,"Huddersfield, United Kingdom",Trip type: Traveled with family
Date of experience: August 2020,Vue incroyable sur Munich,Le panorama est vraiment génial et vaut à lui seul le coup d'œil! Cela doit être encore plus beau quand il fait beau! On doit voir encore plus loin! Peut-être un peu cher (quasiment le prix du musée BMW!) mais il faut parfois faire un effort!,40,"Brussels, Belgium",
Date of experience: July 2020,Da müsst ihr hoch!,"Eine tolle Aussicht, aus 181 Metern Höhe, durch die Scheiben oder etwas höher unter freiem Himmel. Aber haltet Eure Hüte fest!",50,"Düsseldorf, Germany",
Date of experience: August 2019,An incredible sight over Munich and the surrounding area,"A visit to the Olympic Tower is a must when visiting the Olympic Stadium.The view at 190 meters is fantastic. All of Munich can be seen - especially the Olympic site and the BMW buildings.In good weather you can see the Allianz Arena. But much further. The view to the Alps is fascinating.Be sure to go to the top platform with no windows, even if there are bars, and just enjoy the expanse.To the tower and elevator:The € 9 is more than worth it. At 7 meters / second the elevator races up or falls down. You can feel this acceleration! Pressure builds up in your ears as if you were sitting on an airplane at takeoff.There is a restaurant on the Olympia tower, but I did not eat there.",50,,
Date of experience: September 2019,Unglaublicher Ausblick,Wer sich hier die Mühe macht der wird dafür belohnt. Der Ausblick ist überraschend und überwältigend. Bei klarem Wetter kann MSN fast bis in die Berge schauen. ,50,"Gelsenkirchen, Germany",
Date of experience: February 2020,Espléndida vista de Munich en 360 grados.,"Pensé que sería complicado visitar esta torre, pero fue sumamente sencillo. Se toma el metro en el centro en dirección norte, y al bajarse, el Parque Olímpico se encuentra a pocos metros en dirección sur, y más encima, la torre es lo primero que uno ve. Se ingresa a una tienda,",50,"Valparaiso, Chile",
Date of experience: March 2020,Forrygende udsigt,Olympic Tower kan anbefales! Helst i klart vejr. Man kommer næsten 200 m op til en udsigt over hele München og kan se alperne i det fjerne. Der er både mulighed for at gå rundt inden for bag glasruder samt udenfor.,50,"Frederiksberg, Denmark",
Date of experience: February 2020,"Great view of the city, well worth a visit","Fantastic 360 degree view of the city, particularly the adjacent Olympiapark, Olympiastadion and BMW Welt. Cheap entry; elevator takes just a few seconds to get to the top and then there’s plenty of space up there even if it’s busy. We got there via a short Uber ride (15-20 mins) out of the centre, and very glad that we did before leaving Munich. Can be very windy at the top though, so wrap up warm!",50,"West Bromwich, United Kingdom",Trip type: Traveled as a couple
Date of experience: September 2019,Excellent,"Brilliant panoramic views of Munich and the Olympic Park! It also boasts a little rock musuem at the very top of the tower, which is also quite interesting!",50,"England, United Kingdom",
Date of experience: September 2019,Unglaublicher Ausblick,Wer sich hier die Mühe macht der wird dafür belohnt. Der Ausblick ist überraschend und überwältigend. Bei klarem Wetter kann MSN fast bis in die Berge schauen.,50,"Gelsenkirchen, Germany",
Date of experience: February 2020,Espléndida vista de Munich en 360 grados.,"Pensé que sería complicado visitar esta torre, pero fue sumamente sencillo. Se toma el metro en el centro en dirección norte, y al bajarse, el Parque Olímpico se encuentra a pocos metros en dirección sur, y más encima, la torre es lo primero que uno ve. Se ingresa a una tienda, se compra el ticket para subir en ascensor, y listo. Arriba, se puede mirar todo Munich en 360 grados desde una plataforma cerrada con vidrios, y si se desea, se sube a otra plataforma sin vidrios, pero con una gran baranda de protección muy segura.",50,"Valparaiso, Chile",
Date of experience: March 2020,Forrygende udsigt,Olympic Tower kan anbefales! Helst i klart vejr. Man kommer næsten 200 m op til en udsigt over hele München og kan se alperne i det fjerne. Der er både mulighed for at gå rundt inden for bag glasruder samt udenfor.,50,"Frederiksberg, Denmark",
Date of experience: February 2020,"Great view of the city, well worth a visit","Fantastic 360 degree view of the city, particularly the adjacent Olympiapark, Olympiastadion and BMW Welt. Cheap entry; elevator takes just a few seconds to get to the top and then there’s plenty of space up there even if it’s busy. We got there via a short Uber ride (15-20 mins) out of the centre, and very glad that we did before leaving Munich. Can be very windy at the top though, so wrap up warm!",50,"West Bromwich, United Kingdom",Trip type: Traveled as a couple
Date of experience: September 2019,Excellent,"Brilliant panoramic views of Munich and the Olympic Park! It also boasts a little rock musuem at the very top of the tower, which is also quite interesting!",50,"England, United Kingdom",
Date of experience: January 2020,Обязательно поднимитесь на башню,"Определенно стоит подняться на смотровую площадку башни и рассмотреть весь Мюнхен с высоты птичьего полета. Вверху есть 2 уровня: закрытый стеклами и о крытый, так что в любую погоду будет комфортно. На окнах есть указатели того, что вы видите и описан е этих обьектов. ",50,"Kyiv (Kiev), Ukraine",
Date of experience: December 2019,Surprisingly enjoyable,"It was New Years Eve, not much was open so we decided to be all touristy and go up the Olympic Tower.  My husband had been there in 1972 and had even had dinner in the revolving restaurant but I had never been.  The line for tickets moved surprisingly quickly and we got in the",50,"Warrington, Pennsylvania",
Date of experience: April 2019,Faszinierend,"Wir waren total begeistert von dieser Aussicht! Man sieht so weit und München von oben ist so schön! Außerdem wurden Sticker mit Namen von Großstädten und umliegenden, kleineren Städten sowie Sehenswürdigkeiten von München am Fenster angebracht und so weiß man genau in welcher",50,"Bad Bleiberg, Austria",
Date of experience: January 2020,Weitblick,"Wenn man in der Gegend ist, lohnt es sich, auf den Turm zu fahren und den Ausblick über München samt Umland bis in die Alpen hinein zu genießen. Sehr interessant, mit Beschriftung auf den Fenstern zur Orientierung.",50,"Salzburg, Austria",
Date of experience: December 2019,Un restaurant de qualité,"Même si le temps n'était pas au beau, le repas fut le meilleur de tout notre séjour. Finesse, qualité de la marchandise, excellents vins, service soigné, à recommander sans réserve",50,"Crissier, Switzerland",
Date of experience: January 2020,Обязательно поднимитесь на башню,"Определенно стоит подняться на смотровую площадку башни и рассмотреть весь Мюнхен с высоты птичьего полета. Вверху есть 2 уровня: закрытый стеклами и о крытый, так что в любую погоду будет комфортно. На окнах есть указатели того, что вы видите и описан е этих обьектов.",50,"Kyiv (Kiev), Ukraine",Trip type: Traveled with friends
Date of experience: December 2019,Surprisingly enjoyable,"It was New Years Eve, not much was open so we decided to be all touristy and go up the Olympic Tower.  My husband had been there in 1972 and had even had dinner in the revolving restaurant but I had never been.  The line for tickets moved surprisingly quickly and we got in the elevator.  You go up so quickly your ears pop.  There are 2 viewing levels up top- one enclosed and one open.  We did both.  The views are amazing- we could see the Alps in the distance.  The info for the Tower kept talking about a Rock Museum inside and I assumed it was a geology museum but it was a small but enjoyable Rock and Roll museum on the enclosed viewing level.  There are bathrooms up there as well.  The restaurant was closed because they were setting up for the big New Years Eve party that night.  We ate lunch on a bench outside the tower by a lake.  with a small waterfall.  It was fun and relaxing.",50,"Warrington, Pennsylvania",
