,country,flux density,latitude,longitude
38,United Kingdom,10.465116279069768,54.7023545,-3.2765753
37,Turkey,2.3255813953488373,38.9597594,34.9249653
34,Switzerland,2.3255813953488373,46.7985624,8.2319736
33,Spain,12.790697674418604,39.3262345,-4.8380649
30,Slovakia,1.1627906976744187,48.7411522,19.4528646
27,Poland,1.1627906976744187,52.215933,19.134422
25,Norway,1.1627906976744187,64.5731537,11.52803643954819
20,Lebanon,1.1627906976744187,33.8750629,35.843409
19,Japan,1.1627906976744187,36.5748441,139.2394179
18,Italy,26.74418604651163,42.6384261,12.674297
17,Israel,2.3255813953488373,31.5313113,34.8667654
16,Indonesia,1.1627906976744187,-2.4833826,117.8902853
15,India,1.1627906976744187,22.3511148,78.6677428
14,Hungary,1.1627906976744187,47.1817585,19.5060937
13,Germany,13.953488372093023,51.0834196,10.4234469
12,France,8.13953488372093,46.603354,1.8883335
10,Egypt,1.1627906976744187,26.2540493,29.2675469
9,Denmark,2.3255813953488373,55.670249,10.3333283
6,Croatia,1.1627906976744187,45.5643442,17.0118954
5,Costa Rica,1.1627906976744187,10.2735633,-84.0739102
4,China,2.3255813953488373,35.000074,104.999927
3,Chile,1.1627906976744187,-31.7613365,-71.3187697
2,Canada,1.1627906976744187,61.0666922,-107.9917071
0,Austria,1.1627906976744187,47.2000338,13.199959
