,country,flux density,latitude,longitude
37,United States,1.8867924528301887,39.7837304,-100.4458825
36,United Kingdom,7.547169811320755,54.7023545,-3.2765753
35,Turkey,3.7735849056603774,38.9597594,34.9249653
33,Switzerland,3.7735849056603774,46.7985624,8.2319736
32,Sweden,1.8867924528301887,59.6749712,14.5208584
31,Spain,1.8867924528301887,39.3262345,-4.8380649
30,Singapore,3.7735849056603774,1.2904753,103.8520359
29,Serbia,1.8867924528301887,44.024322850000004,21.07657433209902
18,Malaysia,3.7735849056603774,4.5693754,102.2656823
17,Japan,5.660377358490566,36.5748441,139.2394179
16,Italy,15.09433962264151,42.6384261,12.674297
14,Greece,1.8867924528301887,38.9953683,21.9877132
13,Germany,26.41509433962264,51.0834196,10.4234469
12,France,5.660377358490566,46.603354,1.8883335
10,Finland,1.8867924528301887,63.2467777,25.9209164
9,Denmark,1.8867924528301887,55.670249,10.3333283
6,China,1.8867924528301887,35.000074,104.999927
5,Chile,1.8867924528301887,-31.7613365,-71.3187697
4,Canada,1.8867924528301887,61.0666922,-107.9917071
1,Austria,1.8867924528301887,47.2000338,13.199959
0,Australia,3.7735849056603774,-24.7761086,134.755
