,country,flux density,latitude,longitude
28,United States,1.7857142857142858,39.7837304,-100.4458825
27,United Kingdom,12.5,54.7023545,-3.2765753
26,Turkey,7.142857142857143,38.9597594,34.9249653
23,Switzerland,3.5714285714285716,46.7985624,8.2319736
22,Spain,5.357142857142857,39.3262345,-4.8380649
21,Singapore,1.7857142857142858,1.2904753,103.8520359
12,Japan,3.5714285714285716,36.5748441,139.2394179
11,Italy,21.428571428571427,42.6384261,12.674297
10,Indonesia,1.7857142857142858,-2.4833826,117.8902853
9,India,7.142857142857143,22.3511148,78.6677428
8,Germany,14.285714285714286,51.0834196,10.4234469
7,France,7.142857142857143,46.603354,1.8883335
3,Croatia,1.7857142857142858,45.5643442,17.0118954
2,China,8.928571428571429,35.000074,104.999927
1,Canada,1.7857142857142858,61.0666922,-107.9917071
