,country,flux density,latitude,longitude
45,United States,1.694915254237288,39.7837304,-100.4458825
44,United Kingdom,30.508474576271187,54.7023545,-3.2765753
43,United Arab Emirates,5.084745762711864,24.0002488,53.9994829
41,Thailand,1.694915254237288,13.03876215,101.70017611907599
37,South Africa,3.389830508474576,-28.8166236,24.991639
35,Romania,3.389830508474576,45.9852129,24.6859225
34,Qatar,1.694915254237288,25.3336984,51.2295295
30,New Zealand,3.389830508474576,-41.5000831,172.8344077
28,Mexico,1.694915254237288,19.4326296,-99.1331785
26,Malaysia,1.694915254237288,4.5693754,102.2656823
23,Lebanon,1.694915254237288,33.8750629,35.843409
22,Kuwait,1.694915254237288,29.2733964,47.4979476
21,Italy,1.694915254237288,42.6384261,12.674297
20,Israel,1.694915254237288,31.5313113,34.8667654
19,India,3.389830508474576,22.3511148,78.6677428
16,Greece,1.694915254237288,38.9953683,21.9877132
15,Germany,10.169491525423728,51.0834196,10.4234469
14,France,1.694915254237288,46.603354,1.8883335
11,Estonia,1.694915254237288,58.7523778,25.3319078
7,China,1.694915254237288,35.000074,104.999927
6,Canada,8.474576271186441,61.0666922,-107.9917071
3,Austria,1.694915254237288,47.2000338,13.199959
2,Australia,8.474576271186441,-24.7761086,134.755
