,country,flux density,latitude,longitude
54,United States,2.857142857142857,39.7837304,-100.4458825
53,United Kingdom,17.142857142857142,54.7023545,-3.2765753
52,United Arab Emirates,2.857142857142857,24.0002488,53.9994829
51,Ukraine,1.4285714285714286,49.4871968,31.2718321
50,Turkey,5.714285714285714,38.9597594,34.9249653
48,Thailand,1.4285714285714286,13.03876215,101.70017611907599
46,Switzerland,1.4285714285714286,46.7985624,8.2319736
45,Sweden,1.4285714285714286,59.6749712,14.5208584
44,Slovenia,1.4285714285714286,45.8133113,14.4808369
43,Saudi Arabia,1.4285714285714286,25.6242618,42.3528328
41,Romania,1.4285714285714286,45.9852129,24.6859225
40,Puerto Rico,1.4285714285714286,18.2214149,-66.41328179513847
39,Philippines,1.4285714285714286,12.7503486,122.7312101
34,New Zealand,1.4285714285714286,-41.5000831,172.8344077
30,Mauritius,1.4285714285714286,-20.2759451,57.5703566
28,Malaysia,1.4285714285714286,4.5693754,102.2656823
25,Italy,1.4285714285714286,42.6384261,12.674297
24,Ireland,1.4285714285714286,52.865196,-7.9794599
23,India,8.571428571428571,22.3511148,78.6677428
22,Iceland,1.4285714285714286,64.9841821,-18.1059013
21,Hungary,2.857142857142857,47.1817585,19.5060937
20,Greece,2.857142857142857,38.9953683,21.9877132
19,Germany,2.857142857142857,51.0834196,10.4234469
18,France,4.285714285714286,46.603354,1.8883335
16,Finland,1.4285714285714286,63.2467777,25.9209164
15,Egypt,1.4285714285714286,26.2540493,29.2675469
13,Denmark,1.4285714285714286,55.670249,10.3333283
10,Cyprus,1.4285714285714286,34.9823018,33.1451285
9,Croatia,1.4285714285714286,45.5643442,17.0118954
8,China,2.857142857142857,35.000074,104.999927
6,Canada,7.142857142857143,61.0666922,-107.9917071
3,Belgium,1.4285714285714286,50.6402809,4.6667145
2,Austria,1.4285714285714286,47.2000338,13.199959
1,Australia,8.571428571428571,-24.7761086,134.755
