,country,flux density,latitude,longitude
26,United Kingdom,4.878048780487805,54.7023545,-3.2765753
25,Turkey,2.4390243902439024,38.9597594,34.9249653
24,Switzerland,2.4390243902439024,46.7985624,8.2319736
23,Sweden,4.878048780487805,59.6749712,14.5208584
22,Spain,9.75609756097561,39.3262345,-4.8380649
17,Japan,2.4390243902439024,36.5748441,139.2394179
16,Italy,31.70731707317073,42.6384261,12.674297
15,Israel,2.4390243902439024,31.5313113,34.8667654
14,Ireland,2.4390243902439024,52.865196,-7.9794599
13,Greece,2.4390243902439024,38.9953683,21.9877132
12,Germany,12.195121951219512,51.0834196,10.4234469
11,France,2.4390243902439024,46.603354,1.8883335
10,Estonia,2.4390243902439024,58.7523778,25.3319078
9,Denmark,2.4390243902439024,55.670249,10.3333283
8,Croatia,2.4390243902439024,45.5643442,17.0118954
7,China,2.4390243902439024,35.000074,104.999927
4,Belgium,2.4390243902439024,50.6402809,4.6667145
3,Bahrain,2.4390243902439024,26.1551249,50.5344606
2,Argentina,4.878048780487805,-34.9964963,-64.9672817
