,country,flux density,latitude,longitude
44,United States,0.9803921568627451,39.7837304,-100.4458825
43,United Kingdom,2.9411764705882355,54.7023545,-3.2765753
42,United Arab Emirates,0.9803921568627451,24.0002488,53.9994829
41,Ukraine,0.9803921568627451,49.4871968,31.2718321
40,Turkey,2.9411764705882355,38.9597594,34.9249653
39,Thailand,0.9803921568627451,14.8971921,100.83273
38,Switzerland,1.9607843137254901,46.7985624,8.2319736
36,Spain,3.9215686274509802,39.3262345,-4.8380649
34,Saudi Arabia,0.9803921568627451,25.6242618,42.3528328
31,Norway,0.9803921568627451,64.5731537,11.52803643954819
30,New Zealand,1.9607843137254901,-41.5000831,172.8344077
29,Nepal,0.9803921568627451,28.1083929,84.0917139
27,Malta,0.9803921568627451,35.8885993,14.4476911
24,Japan,0.9803921568627451,36.5748441,139.2394179
23,Italy,16.666666666666668,42.6384261,12.674297
22,Israel,2.9411764705882355,31.5313113,34.8667654
21,Indonesia,0.9803921568627451,-2.4833826,117.8902853
18,Hungary,1.9607843137254901,47.1817585,19.5060937
17,Greece,1.9607843137254901,38.9953683,21.9877132
16,Germany,31.372549019607842,51.0834196,10.4234469
15,Georgia,0.9803921568627451,41.6934591,44.8014495
14,France,5.882352941176471,46.603354,1.8883335
13,Finland,1.9607843137254901,63.2467777,25.9209164
9,Croatia,0.9803921568627451,45.5643442,17.0118954
8,China,0.9803921568627451,35.000074,104.999927
7,Canada,1.9607843137254901,61.0666922,-107.9917071
5,Bulgaria,0.9803921568627451,42.6073975,25.4856617
4,Bosnia and Herzegovina,0.9803921568627451,44.3053476,17.5961467
2,Austria,3.9215686274509802,47.2000338,13.199959
1,Australia,1.9607843137254901,-24.7761086,134.755
0,Argentina,0.9803921568627451,-34.9964963,-64.9672817
