,country,flux density,latitude,longitude
29,United Kingdom,17.46031746031746,54.7023545,-3.2765753
28,Turkey,3.1746031746031744,38.9597594,34.9249653
25,Switzerland,3.1746031746031744,46.7985624,8.2319736
24,Spain,4.761904761904762,39.3262345,-4.8380649
21,Poland,4.761904761904762,52.215933,19.134422
18,Norway,3.1746031746031744,64.5731537,11.52803643954819
17,New Zealand,3.1746031746031744,-41.5000831,172.8344077
12,Japan,1.5873015873015872,36.5748441,139.2394179
11,Italy,11.11111111111111,42.6384261,12.674297
10,Israel,4.761904761904762,31.5313113,34.8667654
9,India,1.5873015873015872,22.3511148,78.6677428
7,Germany,19.047619047619047,51.0834196,10.4234469
6,France,6.349206349206349,46.603354,1.8883335
4,Canada,7.936507936507937,61.0666922,-107.9917071
3,Belgium,1.5873015873015872,50.6402809,4.6667145
2,Australia,4.761904761904762,-24.7761086,134.755
0,Argentina,1.5873015873015872,-34.9964963,-64.9672817
