,country,flux density,latitude,longitude
67,Uruguay,1.0050251256281406,-32.8755548,-56.0201525
66,United States,1.5075376884422111,39.7837304,-100.4458825
65,United Kingdom,11.557788944723619,54.7023545,-3.2765753
64,United Arab Emirates,1.0050251256281406,24.0002488,53.9994829
63,Turkey,1.5075376884422111,38.9597594,34.9249653
60,Switzerland,1.5075376884422111,46.7985624,8.2319736
59,Sweden,2.512562814070352,59.6749712,14.5208584
56,Spain,5.527638190954774,39.3262345,-4.8380649
54,Slovenia,0.5025125628140703,45.8133113,14.4808369
53,Singapore,0.5025125628140703,1.2904753,103.8520359
51,Saudi Arabia,0.5025125628140703,25.6242618,42.3528328
47,Romania,0.5025125628140703,45.9852129,24.6859225
40,Norway,0.5025125628140703,64.5731537,11.52803643954819
35,Malta,1.0050251256281406,35.8885993,14.4476911
32,Lebanon,0.5025125628140703,33.8750629,35.843409
31,Kenya,0.5025125628140703,1.4419683,38.4313975
29,Japan,0.5025125628140703,36.5748441,139.2394179
28,Italy,21.105527638190956,42.6384261,12.674297
27,Israel,2.512562814070352,31.5313113,34.8667654
26,Ireland,2.0100502512562812,52.865196,-7.9794599
23,India,1.0050251256281406,22.3511148,78.6677428
19,Greece,1.0050251256281406,38.9953683,21.9877132
18,Germany,24.12060301507538,51.0834196,10.4234469
16,France,5.025125628140704,46.603354,1.8883335
14,El Salvador,0.5025125628140703,13.8000382,-88.9140683
10,Colombia,0.5025125628140703,2.8894434,-73.783892
9,Chile,0.5025125628140703,-31.7613365,-71.3187697
8,Canada,2.0100502512562812,61.0666922,-107.9917071
6,Brazil,0.5025125628140703,-10.3333333,-53.2
4,Belgium,1.5075376884422111,50.6402809,4.6667145
3,Belarus,0.5025125628140703,53.4250605,27.6971358
2,Australia,5.025125628140704,-24.7761086,134.755
1,Argentina,1.0050251256281406,-34.9964963,-64.9672817
