,country,flux density,latitude,longitude
79,United States,0.4048582995951417,39.7837304,-100.4458825
78,United Kingdom,13.765182186234817,54.7023545,-3.2765753
77,United Arab Emirates,1.214574898785425,24.0002488,53.9994829
76,Turkey,4.4534412955465585,38.9597594,34.9249653
71,Switzerland,2.834008097165992,46.7985624,8.2319736
70,Sweden,2.0242914979757085,59.6749712,14.5208584
68,Spain,10.121457489878543,39.3262345,-4.8380649
64,Singapore,0.8097165991902834,1.2904753,103.8520359
63,Serbia,0.4048582995951417,44.024322850000004,21.07657433209902
62,Saudi Arabia,1.6194331983805668,25.6242618,42.3528328
55,Portugal,1.214574898785425,40.0332629,-7.8896263
53,Panama,0.4048582995951417,8.559559,-81.1308434
48,Norway,0.8097165991902834,64.5731537,11.52803643954819
39,Mexico,0.4048582995951417,19.4326296,-99.1331785
38,Malaysia,0.4048582995951417,4.5693754,102.2656823
32,Japan,1.214574898785425,36.5748441,139.2394179
31,Italy,11.336032388663968,42.6384261,12.674297
29,Israel,0.4048582995951417,31.5313113,34.8667654
28,Ireland,0.8097165991902834,52.865196,-7.9794599
25,India,1.214574898785425,22.3511148,78.6677428
23,Hungary,0.4048582995951417,47.1817585,19.5060937
22,Greece,4.4534412955465585,38.9953683,21.9877132
21,Germany,19.4331983805668,51.0834196,10.4234469
20,France,5.668016194331984,46.603354,1.8883335
18,Egypt,0.4048582995951417,26.2540493,29.2675469
16,Denmark,0.8097165991902834,55.670249,10.3333283
13,Costa Rica,0.4048582995951417,10.2735633,-84.0739102
11,China,0.4048582995951417,35.000074,104.999927
10,Canada,3.2388663967611335,61.0666922,-107.9917071
7,Bulgaria,0.4048582995951417,42.6073975,25.4856617
6,Belgium,0.8097165991902834,50.6402809,4.6667145
4,Austria,0.4048582995951417,47.2000338,13.199959
3,Australia,6.477732793522267,-24.7761086,134.755
2,Armenia,0.4048582995951417,40.7696272,44.6736646
1,Argentina,0.4048582995951417,-34.9964963,-64.9672817
