,country,flux density,latitude,longitude
16,United Kingdom,5.2631578947368425,54.7023545,-3.2765753
15,Sweden,5.2631578947368425,59.6749712,14.5208584
14,Spain,5.2631578947368425,39.3262345,-4.8380649
10,Nepal,5.2631578947368425,28.1083929,84.0917139
8,Japan,5.2631578947368425,36.5748441,139.2394179
7,Italy,5.2631578947368425,42.6384261,12.674297
5,Germany,42.10526315789474,51.0834196,10.4234469
4,Georgia,5.2631578947368425,41.6934591,44.8014495
3,Denmark,5.2631578947368425,55.670249,10.3333283
2,Azerbaijan,5.2631578947368425,40.3936294,47.7872508
1,Austria,5.2631578947368425,47.2000338,13.199959
0,Australia,5.2631578947368425,-24.7761086,134.755
