,country,flux density,latitude,longitude
48,United States,2.197802197802198,39.7837304,-100.4458825
47,United Kingdom,8.791208791208792,54.7023545,-3.2765753
42,Spain,9.89010989010989,39.3262345,-4.8380649
41,Slovenia,1.098901098901099,45.8133113,14.4808369
40,Singapore,1.098901098901099,1.2904753,103.8520359
36,Romania,1.098901098901099,45.9852129,24.6859225
33,Norway,1.098901098901099,64.5731537,11.52803643954819
25,Mexico,1.098901098901099,19.4326296,-99.1331785
24,Malaysia,2.197802197802198,4.5693754,102.2656823
21,Kuwait,1.098901098901099,29.2733964,47.4979476
20,Jordan,1.098901098901099,31.1667049,36.941628
19,Japan,3.2967032967032965,36.5748441,139.2394179
18,Italy,28.571428571428573,42.6384261,12.674297
15,Greece,1.098901098901099,38.9953683,21.9877132
14,Germany,5.4945054945054945,51.0834196,10.4234469
13,France,15.384615384615385,46.603354,1.8883335
11,Finland,1.098901098901099,63.2467777,25.9209164
10,Croatia,1.098901098901099,45.5643442,17.0118954
7,China,1.098901098901099,35.000074,104.999927
6,Canada,2.197802197802198,61.0666922,-107.9917071
2,Belgium,1.098901098901099,50.6402809,4.6667145
1,Australia,8.791208791208792,-24.7761086,134.755
