,country,flux density,latitude,longitude
27,United Kingdom,13.157894736842104,54.7023545,-3.2765753
26,United Arab Emirates,2.6315789473684212,24.0002488,53.9994829
24,Spain,15.789473684210526,39.3262345,-4.8380649
21,Norway,2.6315789473684212,64.5731537,11.52803643954819
18,Malta,2.6315789473684212,35.8885993,14.4476911
14,Japan,13.157894736842104,36.5748441,139.2394179
13,Italy,15.789473684210526,42.6384261,12.674297
12,Israel,2.6315789473684212,31.5313113,34.8667654
10,Hungary,2.6315789473684212,47.1817585,19.5060937
9,Germany,2.6315789473684212,51.0834196,10.4234469
8,France,10.526315789473685,46.603354,1.8883335
5,Croatia,2.6315789473684212,45.5643442,17.0118954
4,Canada,5.2631578947368425,61.0666922,-107.9917071
2,Belgium,5.2631578947368425,50.6402809,4.6667145
1,Australia,2.6315789473684212,-24.7761086,134.755
