,country,flux density,latitude,longitude
53,United Kingdom,12.878787878787879,54.7023545,-3.2765753
52,United Arab Emirates,0.7575757575757576,24.0002488,53.9994829
51,Ukraine,0.7575757575757576,49.4871968,31.2718321
50,Turkey,3.787878787878788,38.9597594,34.9249653
45,Switzerland,6.0606060606060606,46.7985624,8.2319736
44,Sweden,1.5151515151515151,59.6749712,14.5208584
43,Spain,3.0303030303030303,39.3262345,-4.8380649
42,South Africa,1.5151515151515151,-28.8166236,24.991639
36,Oman,0.7575757575757576,21.0000287,57.0036901
34,Norway,0.7575757575757576,64.5731537,11.52803643954819
29,Mexico,1.5151515151515151,19.4326296,-99.1331785
28,Mauritius,0.7575757575757576,-20.2759451,57.5703566
25,Malaysia,0.7575757575757576,4.5693754,102.2656823
23,Kuwait,0.7575757575757576,29.2733964,47.4979476
21,Japan,1.5151515151515151,36.5748441,139.2394179
20,Italy,23.484848484848484,42.6384261,12.674297
19,Indonesia,1.5151515151515151,-2.4833826,117.8902853
18,India,4.545454545454546,22.3511148,78.6677428
16,Hungary,0.7575757575757576,47.1817585,19.5060937
15,Greece,1.5151515151515151,38.9953683,21.9877132
14,Germany,17.424242424242426,51.0834196,10.4234469
13,France,3.787878787878788,46.603354,1.8883335
11,Egypt,0.7575757575757576,26.2540493,29.2675469
7,Chile,0.7575757575757576,-31.7613365,-71.3187697
6,Canada,0.7575757575757576,61.0666922,-107.9917071
4,Austria,2.272727272727273,47.2000338,13.199959
3,Australia,4.545454545454546,-24.7761086,134.755
1,Albania,0.7575757575757576,41.000028,19.9999619
