,country,flux density,latitude,longitude
52,United States,1.0416666666666667,39.7837304,-100.4458825
51,United Kingdom,15.625,54.7023545,-3.2765753
50,Turkey,3.125,38.9597594,34.9249653
45,Sweden,3.125,59.6749712,14.5208584
42,Spain,4.166666666666667,39.3262345,-4.8380649
41,Slovenia,1.0416666666666667,45.8133113,14.4808369
40,Singapore,1.0416666666666667,1.2904753,103.8520359
36,Romania,1.0416666666666667,45.9852129,24.6859225
34,Puerto Rico,1.0416666666666667,18.2214149,-66.41328179513847
31,Norway,1.0416666666666667,64.5731537,11.52803643954819
29,Mexico,1.0416666666666667,19.4326296,-99.1331785
24,Japan,4.166666666666667,36.5748441,139.2394179
23,Italy,16.666666666666668,42.6384261,12.674297
21,Indonesia,1.0416666666666667,-2.4833826,117.8902853
20,India,2.0833333333333335,22.3511148,78.6677428
18,Hungary,1.0416666666666667,47.1817585,19.5060937
17,Greece,1.0416666666666667,38.9953683,21.9877132
16,Germany,16.666666666666668,51.0834196,10.4234469
15,France,7.291666666666667,46.603354,1.8883335
12,Denmark,1.0416666666666667,55.670249,10.3333283
10,Croatia,1.0416666666666667,45.5643442,17.0118954
8,Canada,2.0833333333333335,61.0666922,-107.9917071
3,Belgium,1.0416666666666667,50.6402809,4.6667145
2,Austria,3.125,47.2000338,13.199959
1,Australia,8.333333333333334,-24.7761086,134.755
