,country,flux density,latitude,longitude
39,Uruguay,2.73972602739726,-32.8755548,-56.0201525
38,United Kingdom,10.95890410958904,54.7023545,-3.2765753
37,United Arab Emirates,1.36986301369863,24.0002488,53.9994829
36,Turkey,2.73972602739726,38.9597594,34.9249653
31,Switzerland,2.73972602739726,46.7985624,8.2319736
30,Sweden,1.36986301369863,59.6749712,14.5208584
28,Spain,5.47945205479452,39.3262345,-4.8380649
26,Slovakia,1.36986301369863,48.7411522,19.4528646
25,Saudi Arabia,1.36986301369863,25.6242618,42.3528328
18,Norway,1.36986301369863,64.5731537,11.52803643954819
15,Malta,1.36986301369863,35.8885993,14.4476911
13,Italy,9.58904109589041,42.6384261,12.674297
12,Israel,1.36986301369863,31.5313113,34.8667654
11,Ireland,1.36986301369863,52.865196,-7.9794599
10,India,1.36986301369863,22.3511148,78.6677428
9,Greece,4.109589041095891,38.9953683,21.9877132
8,Gibraltar,1.36986301369863,36.140807,-5.3541295
7,Germany,32.87671232876713,51.0834196,10.4234469
6,France,8.219178082191782,46.603354,1.8883335
4,Egypt,1.36986301369863,26.2540493,29.2675469
3,Denmark,2.73972602739726,55.670249,10.3333283
1,Brazil,1.36986301369863,-10.3333333,-53.2
0,Belgium,1.36986301369863,50.6402809,4.6667145
