,country,flux density,latitude,longitude
43,United Kingdom,15.254237288135593,54.7023545,-3.2765753
42,Ukraine,1.694915254237288,49.4871968,31.2718321
41,Turkey,3.389830508474576,38.9597594,34.9249653
38,Switzerland,5.084745762711864,46.7985624,8.2319736
37,Sweden,1.694915254237288,59.6749712,14.5208584
35,Spain,1.694915254237288,39.3262345,-4.8380649
33,Slovakia,1.694915254237288,48.7411522,19.4528646
32,Saudi Arabia,1.694915254237288,25.6242618,42.3528328
29,Poland,1.694915254237288,52.215933,19.134422
20,Mauritius,1.694915254237288,-20.2759451,57.5703566
18,Japan,1.694915254237288,36.5748441,139.2394179
17,Italy,8.474576271186441,42.6384261,12.674297
16,Israel,1.694915254237288,31.5313113,34.8667654
15,Indonesia,1.694915254237288,-2.4833826,117.8902853
14,India,3.389830508474576,22.3511148,78.6677428
13,Greece,1.694915254237288,38.9953683,21.9877132
12,Germany,23.728813559322035,51.0834196,10.4234469
11,France,6.779661016949152,46.603354,1.8883335
10,Denmark,1.694915254237288,55.670249,10.3333283
7,China,1.694915254237288,35.000074,104.999927
6,Chile,1.694915254237288,-31.7613365,-71.3187697
5,Canada,1.694915254237288,61.0666922,-107.9917071
3,Belgium,1.694915254237288,50.6402809,4.6667145
2,Austria,3.389830508474576,47.2000338,13.199959
1,Argentina,1.694915254237288,-34.9964963,-64.9672817
0,Albania,1.694915254237288,41.000028,19.9999619
