,country,flux density,latitude,longitude
24,United Kingdom,20.833333333333332,54.7023545,-3.2765753
23,Ukraine,4.166666666666667,49.4871968,31.2718321
22,Turkey,4.166666666666667,38.9597594,34.9249653
21,Switzerland,4.166666666666667,46.7985624,8.2319736
18,Norway,2.0833333333333335,64.5731537,11.52803643954819
15,Mauritius,4.166666666666667,-20.2759451,57.5703566
14,Italy,8.333333333333334,42.6384261,12.674297
13,Ireland,4.166666666666667,52.865196,-7.9794599
12,India,2.0833333333333335,22.3511148,78.6677428
10,Greece,4.166666666666667,38.9953683,21.9877132
9,Germany,16.666666666666668,51.0834196,10.4234469
8,France,2.0833333333333335,46.603354,1.8883335
7,Finland,2.0833333333333335,63.2467777,25.9209164
5,Chile,4.166666666666667,-31.7613365,-71.3187697
4,Belgium,2.0833333333333335,50.6402809,4.6667145
3,Austria,4.166666666666667,47.2000338,13.199959
2,Australia,8.333333333333334,-24.7761086,134.755
0,Argentina,2.0833333333333335,-34.9964963,-64.9672817
