,country,flux density,latitude,longitude
13,United Kingdom,10.344827586206897,54.7023545,-3.2765753
12,Ukraine,3.4482758620689653,49.4871968,31.2718321
10,Switzerland,3.4482758620689653,46.7985624,8.2319736
9,Sweden,3.4482758620689653,59.6749712,14.5208584
7,Italy,10.344827586206897,42.6384261,12.674297
6,Israel,3.4482758620689653,31.5313113,34.8667654
5,Greece,17.24137931034483,38.9953683,21.9877132
4,Germany,34.48275862068966,51.0834196,10.4234469
3,France,3.4482758620689653,46.603354,1.8883335
2,Finland,6.896551724137931,63.2467777,25.9209164
0,Australia,3.4482758620689653,-24.7761086,134.755
