,country,flux density,latitude,longitude
45,United States,1.7543859649122806,39.7837304,-100.4458825
44,United Kingdom,15.789473684210526,54.7023545,-3.2765753
42,Turkey,1.7543859649122806,38.9597594,34.9249653
40,Thailand,1.7543859649122806,14.8971921,100.83273
38,Switzerland,1.7543859649122806,46.7985624,8.2319736
37,Spain,14.035087719298245,39.3262345,-4.8380649
34,Romania,1.7543859649122806,45.9852129,24.6859225
33,Portugal,1.7543859649122806,40.0332629,-7.8896263
32,New Zealand,1.7543859649122806,-41.5000831,172.8344077
27,Mexico,1.7543859649122806,19.4326296,-99.1331785
23,Japan,12.280701754385966,36.5748441,139.2394179
22,Italy,7.017543859649122,42.6384261,12.674297
21,Israel,1.7543859649122806,31.5313113,34.8667654
20,Ireland,1.7543859649122806,52.865196,-7.9794599
19,Indonesia,1.7543859649122806,-2.4833826,117.8902853
16,Hungary,1.7543859649122806,47.1817585,19.5060937
15,Germany,7.017543859649122,51.0834196,10.4234469
14,France,3.508771929824561,46.603354,1.8883335
11,Croatia,1.7543859649122806,45.5643442,17.0118954
8,Chile,1.7543859649122806,-31.7613365,-71.3187697
7,Canada,7.017543859649122,61.0666922,-107.9917071
5,Belgium,1.7543859649122806,50.6402809,4.6667145
4,Austria,1.7543859649122806,47.2000338,13.199959
3,Australia,1.7543859649122806,-24.7761086,134.755
1,Argentina,3.508771929824561,-34.9964963,-64.9672817
