,country,flux density,latitude,longitude
47,United Kingdom,11.864406779661017,54.7023545,-3.2765753
46,Turkey,3.389830508474576,38.9597594,34.9249653
43,Switzerland,1.694915254237288,46.7985624,8.2319736
42,Spain,3.389830508474576,39.3262345,-4.8380649
39,Singapore,1.694915254237288,1.2904753,103.8520359
35,Portugal,1.694915254237288,40.0332629,-7.8896263
29,Nepal,1.694915254237288,28.1083929,84.0917139
25,Malta,1.694915254237288,35.8885993,14.4476911
24,Malaysia,1.694915254237288,4.5693754,102.2656823
23,Kuwait,1.694915254237288,29.2733964,47.4979476
22,Japan,6.779661016949152,36.5748441,139.2394179
21,Italy,20.338983050847457,42.6384261,12.674297
20,Israel,1.694915254237288,31.5313113,34.8667654
19,Ireland,1.694915254237288,52.865196,-7.9794599
18,India,1.694915254237288,22.3511148,78.6677428
16,Hungary,1.694915254237288,47.1817585,19.5060937
15,Greece,1.694915254237288,38.9953683,21.9877132
14,Germany,15.254237288135593,51.0834196,10.4234469
13,Georgia,1.694915254237288,41.6934591,44.8014495
12,France,6.779661016949152,46.603354,1.8883335
11,Finland,1.694915254237288,63.2467777,25.9209164
6,China,3.389830508474576,35.000074,104.999927
4,Canada,1.694915254237288,61.0666922,-107.9917071
2,Austria,1.694915254237288,47.2000338,13.199959
1,Argentina,1.694915254237288,-34.9964963,-64.9672817
