,country,flux density,latitude,longitude
14,United Kingdom,2.9411764705882355,54.7023545,-3.2765753
12,Slovenia,2.9411764705882355,45.8133113,14.4808369
10,Norway,8.823529411764707,64.5731537,11.52803643954819
9,Italy,26.470588235294116,42.6384261,12.674297
8,Ireland,2.9411764705882355,52.865196,-7.9794599
6,Greece,5.882352941176471,38.9953683,21.9877132
5,Germany,23.529411764705884,51.0834196,10.4234469
4,France,2.9411764705882355,46.603354,1.8883335
3,Denmark,2.9411764705882355,55.670249,10.3333283
2,Croatia,2.9411764705882355,45.5643442,17.0118954
1,China,2.9411764705882355,35.000074,104.999927
0,Austria,14.705882352941176,47.2000338,13.199959
