,country,flux density,latitude,longitude
49,Uruguay,1.1904761904761905,-32.8755548,-56.0201525
48,United States,1.1904761904761905,39.7837304,-100.4458825
47,United Kingdom,8.333333333333334,54.7023545,-3.2765753
46,United Arab Emirates,1.1904761904761905,24.0002488,53.9994829
44,Switzerland,3.5714285714285716,46.7985624,8.2319736
43,Spain,10.714285714285714,39.3262345,-4.8380649
42,South Africa,1.1904761904761905,-28.8166236,24.991639
41,Singapore,1.1904761904761905,1.2904753,103.8520359
36,Portugal,1.1904761904761905,40.0332629,-7.8896263
29,Mexico,1.1904761904761905,19.4326296,-99.1331785
27,Malta,1.1904761904761905,35.8885993,14.4476911
21,Japan,1.1904761904761905,36.5748441,139.2394179
20,Italy,20.238095238095237,42.6384261,12.674297
19,Israel,2.380952380952381,31.5313113,34.8667654
16,Greece,1.1904761904761905,38.9953683,21.9877132
15,Germany,20.238095238095237,51.0834196,10.4234469
14,France,3.5714285714285716,46.603354,1.8883335
11,Denmark,1.1904761904761905,55.670249,10.3333283
9,Cyprus,1.1904761904761905,34.9823018,33.1451285
8,Croatia,1.1904761904761905,45.5643442,17.0118954
6,Canada,1.1904761904761905,61.0666922,-107.9917071
4,Belgium,2.380952380952381,50.6402809,4.6667145
2,Austria,3.5714285714285716,47.2000338,13.199959
1,Australia,5.9523809523809526,-24.7761086,134.755
0,Argentina,2.380952380952381,-34.9964963,-64.9672817
