date,title,text,rating,visitor_origin,visit
Date of experience: June 2020,Not allowed in because cashier did not know how to sell a year membership,I will start by saying that I love the Munich zoo and for the past two years have been an annual card holder. Today's experience is what led to this review   Today my husband was taking our small son to the zoo so I can have a few hours alone (8.5 months pregnant here :)). Due,10,"Bozeman, Montana",
Date of experience: September 2019,A good time,We had a good time. A very nice zoo with lots of great animals. There were good descriptions. A great pastime for the whole family.,40,"Novi Pazar, Serbia",
Date of experience: August 2019,good contisions of animals,nice zoo a lot of animal much of green and trees .the anomals are in a very good situation and you have a lot to see. nice food german food in the resaturants ! lost in the map! in hot summer days you can rest in the forests!!,50,"Khalkis, Greece",
Date of experience: February 2020,Big zoo,"Absolutely lovely zoo and a great price at €15, spent 4 hours here but could easily spend longer. The pizza in the restaurant was excellent. The reason for only 4 out of 5 was because drinks were pricey €3.50 for a bottle of coke, but my biggest complaint would be the very small",40,,
Date of experience: January 2020,Best zoo,"If not the best, top 3 for sure. So many animals so many species. Easy to walk around without getting lost or not seeing something.(like in Vienna) Clean, a lot of resting places, but at some point there were no toilets and the 2-3 i found were out of order. Otherwise the",50,"Veroia, Greece",
Date of experience: September 2019,Sunny day - date in the zoo,Very cool place to visit ! Full day activity for 4-6 hours. A lot of shows and informative sessions. Highly recommended. Especially for families and dates. Plan lunch inside too. ,50,"Munich, Germany",
Date of experience: December 2019,Amazing Zoo ,Large and beautifully kept Zoo.  A large variety of animals- all the main breeds you’d hope to see.  It also has a petting zoo and large adventure playground.  Plenty of stops for food/drink.   We all had a lovely day and would recommend. Definitely worth a visit.  ,50,"London, United Kingdom",
Date of experience: December 2019,Brilliant place,We visited this zoo in the late afternoon and were astounded at how much there was to see. Even for 2 adults it took 3 hours walking quickly and missing some animals. This was a highlight of our trip. This is great value for money.  Easy to find and has quick transport links.,50,"Edenbridge, United Kingdom",
Date of experience: November 2019,a Day out,this park well was great the lions and lionesses were so lovely to look at and other animals we were enjoying it and yes come along will not be disappointed ,50,,
Date of experience: November 2019,Nice zoo,Nice place to visit and see lots of animals from all over the world. There is some english but alot of the place is in German. Easy to get to by underground.,50,"Perth, Australia",
Date of experience: September 2019,Sunny day - date in the zoo,Very cool place to visit ! Full day activity for 4-6 hours. A lot of shows and informative sessions. Highly recommended. Especially for families and dates. Plan lunch inside too.,50,"Munich, Germany",Trip type: Traveled as a couple
Date of experience: December 2019,Amazing Zoo ,Large and beautifully kept Zoo. A large variety of animals- all the main breeds you’d hope to see. It also has a petting zoo and large adventure playground. Plenty of stops for food/drink. We all had a lovely day and would recommend. Definitely worth a visit.,50,"London, United Kingdom",Trip type: Traveled as a couple
Date of experience: December 2019,Brilliant place,We visited this zoo in the late afternoon and were astounded at how much there was to see. Even for 2 adults it took 3 hours walking quickly and missing some animals. This was a highlight of our trip. This is great value for money.  Easy to find and has quick transport links.,50,"Edenbridge, United Kingdom",Trip type: Traveled as a couple
Date of experience: November 2019,a Day out,this park well was great the lions and lionesses were so lovely to look at and other animals we were enjoying it and yes come along will not be disappointed,50,,
Date of experience: November 2019,Nice zoo,Nice place to visit and see lots of animals from all over the world. There is some english but alot of the place is in German. Easy to get to by underground.,50,"Perth, Australia",
Date of experience: August 2020,Unverschämt!!!,"Unter aller Sau!!! Habe Karten gebucht, leider hat es sehr geregnet, mit einem 4. Monate alten Baby natürlich blöd. Na gut angerufen und gefragt ob man zwei Tage später umbuchen kann. „Funktioniert nicht.“ versteh ich natürlich irgendwo, also habe ich neu gebucht und habe aus Versehen wieder den gleichen Tag gebucht. Dann habe ich nochmal angerufen und trotzdem wurde nicht gemacht, keine Kulanz oder sonstiges!!! Man hätte die Karten nur 2 Tage später eingeben müssen. Nun habe ich 4 Erwachsenen Tickets bezahlt und kann keine davon nutzen! Sehr schwach und meiner Meinung nach unter aller würde!!!!",10,,Trip type: Traveled solo
Date of experience: July 2020,Schöner großer Zoo,"Der Tierpark München ist ein schöner großer Zoo. Wir wussten als wir die Eintrittskarten gekauft haben, dass aufgrund der Coronaregeln aktuell die Tierhäuser gesperrt sind. Aber auch in den Außengehgen sind genug Tiere zu sehen. Also lohnt sich auch zur Zeit ein Besuch! Allerdings machten einige (leere?) Gehge einen relativ ungepflegten Eindruck. Zumal die Schilder noch dran hingen und man veruscht hat das Tier zu finden. Aber vermutlich war es in manchen Gehegen tatsächlich nicht da.",40,"Essen, Germany",
