place,latitude,longitude,city_district
Allianz Arena,48.21880845,11.624664151799873,Schwabing-Freimann
Alte Pinakothek,48.1482861,11.569970907138872,Maxvorstadt
Asamkirche Munich,48.13513575,11.569318485876174,Sendling
BMW Museum,48.176902600000005,11.559069230836359,Milbertshofen-Am Hart
Bayerisches Nationalmuseum,48.1433855,11.5911498,Altstadt-Lehel
Bayerisches Staatsoper,48.1396162,11.579513288504806,Altstadt-Lehel
Deutsches Museum,48.13003865,11.582888488551909,Ludwigsvorstadt-Isarvorstadt
Eisbach,48.1532473,11.5983076,Schwabing-Freimann
English Garden,35.007081,-81.2181288,Schwabing-Freimann
Lenbachhaus,48.14693990000001,11.563502650813499,Maxvorstadt
Marienplatz,48.137031750000006,11.575924590567384,Altstadt-Lehel
Munich Residenz,48.1411608,11.57904463904056,Altstadt-Lehel
Museum Brandhorst,48.1476318,11.57385874695941,Maxvorstadt
Neues Rathaus Munich,48.137788,11.575343667017169,Altstadt-Lehel
Nymphenburg Palace,48.1582569,11.5032967,Neuhausen-Nymphenburg
Olympiapark,48.16875265,11.55032660696114,Milbertshofen-Am Hart
Olympiaturm,48.17441755,11.553739717731808,Milbertshofen-Am Hart
Pinakothek der Moderne,48.14716025,11.572227101401982,Maxvorstadt
St-Peter Munich,48.13644495,11.576030455223243,Altstadt-Lehel
Tierpark Hellabrunn,48.096281149999996,11.554196865190177,Untergiesing-Harlaching
Viktualienmarkt,48.1352964,11.5749958,Altstadt-Lehel
